id,name<jpn>,ruby<jpn>,area,rarity,ratio,category,tag,type,arg0,arg1,arg2,arg3,variable,accessory,speak,sound,utilizeSound,weight,inventoryLimit,context,trash,lost,stack,mergeable,catalog,description<jpn>
cooking20,チーズサンド,ちーずさんど,-,-1,0,heal,cooking,cooking,30,30,sweets,,,,-,eat00,-,1,-,-,true,true,1,true,true,チーズをビスケットで挟んだ一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking21,じゃがいものポタージュ,じゃがいものぽたーじゅ,-,-1,0,heal,cooking,cooking,40,20,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,じゃがいものスープ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking22,じゃがチーズ焼き,じゃちーずやき,-,-1,0,heal,cooking,cooking,20,40,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,溶けたチーズとじゃがいもを絡めた一品。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking23,肉じゃが,にくじゃが,-,-1,0,heal,cooking,cooking,30,30,meat,,,,-,eat00,-,1,-,-,true,true,1,true,true,肉やじゃがいもを煮込んだ家庭料理。<br>使用すると体力を{0}回復、空腹度を{1}回復。
cooking24,ポテトサラダ,ぽてとさらだ,-,-1,0,heal,cooking,cooking,20,40,vegetable,,,,-,eat00,-,1,-,-,true,true,1,true,true,潰したじゃがいもと野菜のサラダ。<br>使用すると体力を{0}回復、空腹度を{1}回復。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuit00,乾パン,かんぱん,-,1,0.5,heal,food,cooking,0,15,,,,,-,eat00,-,1,-,-,true,true,1,true,true,保存用のビスケット。<br>使用すると空腹度を15回復。
biscuit01,チョコレートバー,ちょこれーとばー,-,1,0.5,heal,food,cooking,0,15,,,,,-,eat00,-,1,-,-,true,true,1,true,true,保存用のチョコレート。<br>使用すると空腹度を15回復。
biscuit02,ぶどう味のゼリー飲料,ぶどうあじのぜりーいんりょう,-,1,0.5,heal,food,cooking,0,15,,,,,-,eat00,-,1,-,-,true,true,1,true,true,飲むタイプのゼリー。無果汁。<br>使用すると空腹度を15回復。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
gun00,ハンドガン,はんどがん,-,5,0.5,equip,gun,weapon,10,0.08,ammo00,2,random10,weapon,equip,weapon00,gun00,1,-,equip,true,true,1,true,true,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1}
gun01,ショットガン,しょっとがん,-,10,0.4,equip,gun,weapon,20,0.08,ammo01,1,random10,weapon,equip,weapon00,gun01,1,-,equip,true,true,1,true,true,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1}
gun03,ライフル,らいふる,-,15,0.3,equip,gun,weapon,30,0.08,ammo02,3,random10,weapon,equip,weapon00,gun02,1,-,equip,true,true,1,true,true,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1}
gun04,サブマシンガン,さぶましんがん,-,25,0.3,equip,gun,weapon,40,0.08,ammo03,2,random10,-,equip,weapon00,gun03,1,,equip,true,true,1,true,true,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1}
-,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer00,金づち,かなづり,-,1,0.5,equip,hammer,weapon,2,0.1,,0,-,weapon,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0}
hammer01,クギバット,くぎばっと,-,-1,0,equip,hammer,weapon,3,0.1,,0,random10,weapon,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}
hammer02,鉄パイプ,てつぱいぷ,-,10,0.5,equip,hammer,weapon,5,0.1,,0,random10,weapon,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}
hammer03,バール,ばーる,-,20,0.5,equip,hammer,weapon,8,0.1,,0,random10,weapon,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}
hammer04,ガラスの破片,がらすのはへん,-,-1,0,equip,hammer,weapon,2,0.3,,0,-,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。
hammer05,包丁,ほうちょう,-,-1,0,equip,hammer,weapon,3,0.3,,0,-,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。
hammer06,お手製の槍,おてせいのやり,-,-1,0,equip,hammer,weapon,5,0.1,,0,random10,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}<br>包丁と木の棒でつくった、お手製の槍。
hammer07,穴のあいたフライパン,あなのあいたふらいぱん,-,15,0.5,equip,hammer,weapon,5,0.1,,0,random5,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}<br>穴があいてしまったフライパン。料理には使えないけれど、ちょうどいい重さで、武器になりそう。
hammer08,ゴルフクラブ,ごるふくらぶ,-,30,0.5,equip,hammer,weapon,7,0.1,,0,random5,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}
hammer09,お手製スラッパー,おてせいすらっぱー,-,-1,0,equip,hammer,weapon,4,0.1,,0,random5,-,equip,weapon00,attack00,1,-,equip,true,true,1,true,true,近接武器。装備して使う。攻撃 + {0} + {1}<br>先端に重りの入ったこん棒。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
ammo00,ハンドガンの弾,はんどがんのたま,-,1,0.8,equip,ammo,ammo,,,,,,,-,-,-,1,-,-,true,true,5,true,true,「ハンドガン」で使う弾薬。
ammo01,ショットガンの弾,しょっとがんのたま,-,6,0.7,equip,ammo,ammo,,,,,,,-,-,-,1,-,-,true,true,5,true,true,「ショットガン」で使う弾薬。
ammo02,ライフルの弾,らいふるのたま,-,11,0.6,equip,ammo,ammo,,,,,,,-,-,-,1,-,-,true,true,5,true,true,「ライフル」で使う弾薬。
ammo03,マガジン,まがしん,-,21,0.6,equip,ammo,ammo,,,,,,,-,-,-,1,-,-,true,true,5,true,true,「サブマシンガン」で使う弾薬。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
armor00,軍手,ぐんて,-,5,0.5,equip,armor,armor,3,0.1,default,,random5,,equip,armor00,-,1,-,equip,true,true,1,true,true,防具。装備して使う。防御 + {0} + {1}
armor01,甲手,こて,-,10,0.5,equip,armor,armor,5,0.1,default,,random5,,equip,armor00,-,1,-,equip,true,true,1,true,true,防具。装備して使う。防御 + {0} + {1}
armor02,防弾ベスト,ぼうだんべすと,-,15,0.5,equip,armor,armor,7,0.1,default,,random5,,equip,armor00,-,1,-,equip,true,true,1,true,true,防具。装備して使う。防御 + {0} + {1}
armor100,サンタのワンピース,さんたのわんぴーす,-,-1,0,equip,armor,armor,0,0,santa,,-,,equip,armor00,-,1,-,equip,true,false,1,true,true,防具。装備して使う。防御 + {0}<br>サンタクロースをモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）
armor101,小悪魔なワンピース,こあくまなわんぴーす,-,-1,0,equip,armor,armor,0,0,devil,,-,,equip,armor00,-,1,-,equip,true,false,1,true,true,防具。装備して使う。防御 + {0}<br>小悪魔をモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）
-,,,,,,,,,,,,,,,,,,,,,,,,,,
material00,木材,もくざい,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,捨てられていた木材。何かの材料になるかも。
material01,鉄くず,てつくず,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,捨てられていた鉄くず。何かの材料になるかも。
material02,布切れ,ぬのきれ,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,捨てられていた布切れ。何かの材料になるかも。
material03,電子部品,でんしぶひん,-,1,0.1,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,捨てられていた電子部品。何かの材料になるかも。
material04,火薬,かやく,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,乾いた火薬。弾薬の材料に使えるかもしれない。
material11,燃料油,ねんりょうあぶら,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,よく燃える油。このままでは使いようがない。
material12,細い糸,ほそいいと,-,1,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,少し絡まった細い糸。それなりの長さがある。<br>何かに使えるかも。
material13,ロープ,ろーぷ,-,20,0.5,material,material,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,頑丈なロープ。簡単には千切れない。<br>何かの材料になるかも。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
cookingTool00,ダッチオーブン,だっちおーぶん,-,1,0.5,material,cookingTool,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,蓋つきの分厚い鍋。ずいぶん使い込まれている。
cookingTool01,スキレット,すきれっと,-,1,0.5,material,cookingTool,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,鋳鉄製の小さなフライパン。
cookingTool02,ホットサンドメーカー,ほっとさんどめーかー,-,1,0.5,material,cookingTool,material,,,,,,,-,-,-,1,-,-,true,true,1,true,true,フライパンを向かい合わせに重ねたような構造をした、ホットサンドをつくるための器具。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
food00,塩蔵肉の缶詰,えんぞうにくのかんづめ,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,塩漬けにした牛肉の缶詰。貴重なたんぱく源。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food01,コンソメの素,こんそめのもと,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,固形タイプのコンソメスープの素。ちょっと湿気ている。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food02,米,こめ,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,少し古くなった米。でもまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food03,たまご,たまご,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,鶏の卵。たぶんまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food04,ハム,はむ,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,燻製にした豚肉。独特の風味がある。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food05,玉ねぎ,玉ねぎ,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,大きめの玉ねぎ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food06,ライ麦パン,らいむぎぱん,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,ライ麦でつくられた黒パン。ちょっと固い。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food07,小さな魚,ちいさなさかな,-,-1,0,material,food,food,1,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,小さな生魚。食べられそう。<br>使用すると空腹度を1回復するけれど、どうせなら調理してから食べたい。
food08,スライスチーズ,すらいすちーず,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,薄切りのチーズ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
food09,じゃがいも,じゃがいも,-,1,1.0,material,food,food,5,,,,,,eat_notTasty,eat00,-,1,-,-,true,true,1,true,true,まだ土のついた大きなじゃがいも。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
bell00,空き缶,あきかん,-,5,0.3,other,material,stageOption,StageOptionNoBattle,,,,,,useBell,can00,-,1,-,-,true,true,1,true,true,空っぽの缶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。
bell01,空き瓶,あきびん,-,5,0.3,other,material,stageOption,StageOptionNoBattle,,,,,,useBell,glass00,-,1,-,-,true,true,1,true,true,空っぽの瓶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。
bell02,電子ブザー,でんしぶざー,-,-1,0,other,material,stageOption,StageOptionNoBattle,,,,,,useBell,bell00,-,1,-,-,true,true,1,true,true,大きな音が鳴る電子ブザー。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。
film00,ポラロイドフィルム,ぽらろいどふぃるむ,endless,5,0.3,other,material,film,,,,,,,-,-,-,1,-,-,true,true,1,true,true,「ポラロイドカメラ」用のフィルム。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
tool00,懐中電灯,かいちゅうでんとう,-,5,0.3,other,tool,tool,light,0.1,toolInteract,,,,-,-,-,1,-,-,true,true,1,true,true,道具。所持して特定のものを調べると、勝手に使ってくれる。<br>懐中電灯の明かりで<red>収納や棚など</red>を調べれば、<red>安全に</red>物資を探し出すことができる。
tool01,ドライバー,どらいばー,-,5,0.3,other,tool,tool,driver,0.1,toolInteract,,,,-,-,-,1,-,-,true,true,1,true,true,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>ネジ</red>で絞められたものを調べると、今まで見つけられなかったものが見つかるかも。
tool02,キーピック,きーぴっく,-,5,0.3,other,tool,tool,keyPick,0.1,toolInteract,,,,-,-,-,1,-,-,true,true,1,true,true,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>机や台など</red>を調べると、引き出しに取りつけられた単純な鍵なら開けられる。
tool03,釣り竿,つりざお,-,5,0.3,other,tool,tool,fishing,0.1,-,,,,-,-,-,1,-,-,true,true,1,true,true,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>川辺や海辺など</red>を調べると、釣りをすることができる。
attack00,火炎瓶,かえんびん,-,5,0.1,other,tool,attack,20,,,,,,itemAttack,glass00,-,1,-,-,true,true,1,true,true,油を染み込ませた布を入れた瓶。敵に20ダメージを与えることができる。
attack01,手製爆弾,てせいばくだん,-,5,0.1,other,tool,attack,20,,,,,,itemAttack,explode00,-,1,-,-,true,true,1,true,true,火薬とガラス片からつくったお手製の爆弾。敵に20ダメージを与えることができる。
attack02,閃光発音筒,せんこうはつおんとう,-,1,0.5,other,tool,reserveEnemyAttack,EnemyAttackWait/EnemyAttackWait,,,,,,itemAttack,explode00,-,1,-,-,true,true,1,true,true,爆発音と閃光を放ち、一時的に敵を無力化する。<br>（戦闘中の敵の行動を一時的に止めることができる。また、敵の「溜め」を解放する）
camera00,ポラロイドカメラ,ぽらろいどかめら,-,-1,0,other,tool,event,selectionTakePhoto00,false,,,,,-,-,-,1,-,-,false,false,1,true,false,撮影するとすぐに現像されるインスタントカメラ。<br>「ポラロイドフィルム」があれば、遠くにある<red>キャンプ地</red>の写真を撮ることができる。
dismantle00,分解キット,ぶんかいきっと,-,8,0.3,other,tool,dismantle,craft,,,,,,-,-,craft00,1,-,use,true,true,1,true,true,道具を分解するための工具をまとめたキット。<br>道具を<red>クラフト前の材料</red>に戻すことができる。使用すると消費される。
trap00,くくり罠,くくりわな,-,-1,0,other,tool,trap,locationOption,LocationOptionNoBattle,,,,,-,-,-,1,-,-,true,true,1,true,true,ロープでつくった簡単な罠。<br>所持して探索に行くと、罠を設置して敵を排除できる。
trap01,まきびし,まきびし,-,-1,0,other,tool,trap,locationOption,LocationOptionNoBattle,,,,,-,-,-,1,-,-,true,true,1,true,true,割れたガラスでつくったまきびし。<br>所持して探索に行くと、罠を設置して敵を排除できる。
craft00,携帯工作台,けいたいこうさくだい,-,20,0.1,other,tool,event,selectionItemCraft02,false,,,,,-,-,-,1,-,-,true,true,1,true,true,小さな工作台。簡易なものだけれど、材料さえあれば道具をつくることができる。<br>（探索中に、所持品から<red>道具</red>を<red>クラフト</red>することができます）
craft01,携帯調理器,けいたいちょうりき,-,20,0.1,other,tool,event,selectionItemCook02,false,,,,,-,-,-,1,-,-,true,true,1,true,true,小さな調理台。簡易なものだけれど、材料さえあれば料理することができる。<br>（探索中に、所持品から<red>料理</red>を<red>クラフト</red>することができます）
-,,,,,,,,,,,,,,,,,,,,,,,,,,
box00,食材の詰まった箱,しょくざいのつまったはこ,-,5,1,other,box,box,food,8,,,,,-,-,search00,1,-,open,true,true,1,true,true,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。
box02,鉄の弾薬箱,てつのだんやくばこ,-,5,0.5,other,box,box,ammo,6,,,,,-,-,search00,1,-,open,true,true,1,true,true,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。
box03,中身の見えない黒い袋,なかみのみえないおもいふくろ,-,5,0.5,other,box,box,material,10,,,,,-,-,search00,1,-,open,true,true,1,true,true,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。
-,,,,,,,,,,,,,,,,,,,,,,,,,,
passCode00,数字の書かれたメモ,すうじのかかれためも,-,8,0.05,other,document,passCode,{0},,,,number4,,-,-,-,0,-,-,true,true,1,false,true,「{0}」と書かれたメモ。
postcard00,絵はがき,えはがき,-,20,0.1,other,document,scenario,shop1-1,true,sub-meguru1-1,,,,-,-,-,0,-,use,true,true,1,true,true,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）
postcard100,カボチャの描かれた絵はがき,かぼちゃのかかれたえはがき,-,-1,0,other,document,scenario,shop100-1,false,sub-meguru1-1,,,,-,-,-,0,-,use,true,true,1,true,true,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）
-,,,,,,,,,,,,,,,,,,,,,,,,,,
music00,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,title00,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music01,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character00,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music02,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character01,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music03,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character02,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music04,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character03,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
-,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character04,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music06,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character05,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music07,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character06,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music08,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,character07,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
music09,カセットテープ,かせっとてーぷ,-,-1,0,other,music,music,title01,,,,,,-,-,-,0,-,-,false,false,1,true,true,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）
-,,,,,,,,,,,,,,,,,,,,,,,,,,
bag00,ショルダーバッグ,しょるだーばっぐ,-,100,0,other,bag,inventory,5,,,,,,-,-,-,0,-,-,true,true,1,true,true,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）
bag01,手づくりナップサック,てづくりなっぷさっく,-,100,0,other,bag,inventory,3,,,,,,-,-,-,0,-,-,true,true,1,true,true,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）
bag02,ボストンバッグ,ぼすとんばっぐ,-,100,0,other,bag,inventory,10,,,,,,-,-,-,0,-,-,true,true,1,true,true,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）
-,,,,,,,,,,,,,,,,,,,,,,,,,,
