id,name<jpn>,type,item,variable,accessory,count,material0,material1,material2,material3,material4,recipe,selectMaterial,description,dismantleable,sound,additionalDescription<jpn>
cooking21,じゃがいものポタージュ,cooking,cooking21,-,-,1,food09,food01,,,,-,false,item,false,cook00,-
cooking22,じゃがチーズ焼き,cooking,cooking22,-,-,1,food09,food08,,,,-,false,item,false,cook00,-
cooking23,肉じゃが,cooking,cooking23,-,-,1,food00,food09,,,,-,false,item,false,cook00,-
cooking24,ポテトサラダ,cooking,cooking24,-,-,1,food09,food05,,,,-,false,item,false,cook00,-
-,,,,,,,,,,,,,,,,,
hammer01,クギバット,craft,hammer01,-,-,1,material00,material01,,,,-,false,item,true,craft00,-
hammer06,お手製の槍,craft,hammer06,-,-,1,hammer05,material00,,,,-,false,item,true,craft00,-
hammer09,お手製スラッパー,craft,hammer09,-,-,1,material02,material02,material01,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
gun00,ハンドガン（特徴なし）,craft,gun00,select_max,none,1,gun00,gun00,,,,-,true,item,false,craft00,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。
gun01,ショットガン（特徴なし）,craft,gun01,select_max,none,1,gun01,gun01,,,,-,true,item,false,craft00,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。
gun03,ライフル（特徴なし）,craft,gun03,select_max,none,1,gun03,gun03,,,,-,true,item,false,craft00,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。
gun04,サブマシンガン（特徴なし）,craft,gun04,select_max,none,1,gun04,gun04,,,,-,true,item,false,craft00,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。
-,,,,,,,,,,,,,,,,,
ammo00,ハンドガンの弾,craft,ammo00,-,-,5,material01,material04,,,,-,false,item,false,craft00,-
ammo01,ショットガンの弾,craft,ammo01,-,-,4,material01,material04,material04,,,-,false,item,false,craft00,-
-,,,,,,,,,,,,,,,,,
armor00,軍手,craft,armor00,-,-,1,material01,material02,,,,-,false,item,true,craft00,-
armor01,甲手,craft,armor01,-,-,1,material01,material02,material02,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
tool02,キーピック,craft,tool02,-,-,1,material01,material01,,,,-,false,item,true,craft00,-
tool03,釣り竿,craft,tool03,-,-,1,material00,material12,,,,-,false,item,true,craft00,-
dismantle00,分解キット,craft,dismantle00,-,-,1,material01,material03,,,,-,false,item,false,craft00,-
-,,,,,,,,,,,,,,,,,
attack00,火炎瓶,craft,attack00,-,-,1,bell01,material02,material11,,,-,false,item,true,craft00,-
attack01,手製爆弾,craft,attack01,-,-,1,hammer04,material04,,,,-,false,item,true,craft00,-
bell02,電子ブザー,craft,bell02,-,-,1,material03,material03,,,,-,false,item,true,craft00,-
trap00,くくり罠,craft,trap00,-,-,1,material13,material13,,,,-,false,item,true,craft00,-
trap01,まきびし,craft,trap01,-,-,1,hammer04,hammer04,,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
bag01,手づくりナップサック,craft,bag01,-,-,1,material02,material12,material13,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
memory-any00,頭の大きな木彫りの羊,craft,memory-any00,-,-,1,material00,material00,material01,material01,,-,false,item,true,craft00,-
memory-any01,三毛猫のぬいぐるみ,craft,memory-any01,-,-,1,material02,material02,material12,material12,,-,false,item,true,craft00,-
memory-any02,電子オルゴールの木箱,craft,memory-any02,-,-,1,material03,material03,material00,material00,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,
dismantle-gun00,ハンドガン,dismantle,gun00,-,-,1,material01,material01,,,,-,false,item,true,craft00,-
dismantle-gun01,ショットガン,dismantle,gun01,-,-,1,material01,material00,,,,-,false,item,true,craft00,-
dismantle-gun03,ライフル,dismantle,gun03,-,-,1,material01,material01,material00,,,-,false,item,true,craft00,-
dismantle-gun04,サブマシンガン,dismantle,gun04,-,-,1,material01,material01,material01,,,-,false,item,true,craft00,-
dismantle-cookingTool00,ダッチオーブン,dismantle,cookingTool00,-,-,1,material01,,,,,-,false,item,true,craft00,-
dismantle-cookingTool01,スキレット,dismantle,cookingTool01,-,-,1,material01,,,,,-,false,item,true,craft00,-
dismantle-cookingTool02,ホットサンドメーカー,dismantle,cookingTool02,-,-,1,material01,,,,,-,false,item,true,craft00,-
dismantle-craft00,携帯工作台,dismantle,craft00,-,-,1,material01,material00,,,,-,false,item,true,craft00,-
dismantle-craft01,携帯調理器,dismantle,craft01,-,-,1,material01,material11,,,,-,false,item,true,craft00,-
-,,,,,,,,,,,,,,,,,
