id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
hinase2-1,bg,scenario28
hinase2-2,talk,hinase,誰もいない故郷に戻って、悲しかったり、つからったり......したんだと思います
hinase2-2,talk,hinase,今は、そうだってわかりますけど
hinase2-2,talk,hinase,あのときの私は、自分のことばっかりで
hinase2-2,talk,hinase,シノさんのことなんて考えずに、いろいろ聞いてしまって
hinase2-2,talk,hinase,それで......
hinase2-2,talk,natsuno,......そっか
hinase2-2,talk,natsuno,故郷に戻って、でも何も思えなくて......それが最初は苦しかったって
hinase2-2,talk,natsuno,そんな感じのこと、シノ言ってたな
hinase2-2,talk,hinase,......はい
hinase2-2,talk,hinase,私、シノさんに『どうしてそんなに気になるの？』って訊き返されて
hinase2-2,talk,hinase,でも......何も答えられなくて
hinase2-2,talk,hinase,......
hinase2-2,talk,hinase,......シノさん、そういう話してました？
hinase2-2,talk,natsuno,......ううん
hinase2-2,talk,natsuno,ヒナセさんがいろいろ話してくれて、それで前向きになれたって言ってたよ
hinase2-2,talk,hinase,......そうですか
hinase2-2,talk,hinase,喧嘩したって思って、気にしてるのは......私だけなのかもしれません
hinase2-2,talk,hinase,シノさんを傷つけてしまったことも後悔してますし
hinase2-2,talk,hinase,それに......何も答えられなかったことに、なんというか、自分で驚いてしまって
hinase2-2,talk,hinase,私、どうして気になるんだろうって......ずっと考えてるんです
hinase2-2,talk,natsuno,どうしてって......
hinase2-2,talk,hinase,前にナツノさんとお話して、私、今まで見たことないいろんなものを見ようって思いました
hinase2-2,talk,hinase,本を読んでるだけじゃわからないことがたくさんある
hinase2-2,talk,hinase,でも......
hinase2-2,talk,hinase,どうしてそういうものを見たいのか、とか
hinase2-2,talk,hinase,本を読むだけじゃわからないことを知ってどうしたいのか、って訊かれると
hinase2-2,talk,hinase,『知りたいから』としか、答えられなくて......
hinase2-2,talk,natsuno,......
hinase2-2,talk,natsuno,知りたいから、じゃだめなの？
hinase2-2,talk,hinase,......だめじゃないのかもしれません
hinase2-2,talk,hinase,知りたいって思う気持ちは確かにあって
hinase2-2,talk,hinase,それは本当です。でも......
hinase2-2,talk,hinase,どうして、って訊かれて、うまく説明できないのがもどかしくて
hinase2-2,talk,hinase,何より......自分で納得できる説明ができないのが、悲しい
hinase2-2,talk,hinase,シノさんを怒らせてしまったことを後悔してるだけじゃないんです
hinase2-2,talk,hinase,私は、どうして知りたいんだろうって
hinase2-2,talk,hinase,私自身が、気になってるんです
hinase2-2,wait,2
hinase2-2,end,questSuccess
-,,,
hinase2-3,bg,scenario28
hinase2-3,playBgm,character07
hinase2-3,talk,natsuno,......あれ
hinase2-3,talk,natsuno,ヒナセさん、早起きだね
hinase2-3,fg,survivor07,right-left,0.5
hinase2-3,talk,hinase,あ
hinase2-3,talk,hinase,ナツノさん
hinase2-3,talk,hinase,おはようございます
hinase2-3,talk,natsuno,おはよう......
hinase2-3,talk,natsuno,どこか行ってたの？
hinase2-3,talk,hinase,ええ......
hinase2-3,talk,hinase,日が出て少しした頃に、人の声が聞こえて
hinase2-3,talk,hinase,ちょっと見に行ってたんです
hinase2-3,talk,natsuno,へぇ
hinase2-3,talk,natsuno,誰かいた？
hinase2-3,talk,hinase,はい
hinase2-3,talk,hinase,隣町まで行くという方々と会って、少し話をしました
hinase2-3,talk,hinase,ご家族三世帯で、いろんな町を転々とされているそうです
hinase2-3,talk,natsuno,へぇ......
hinase2-3,talk,hinase,明け方が一番静かで安全なんだそうで
hinase2-3,talk,hinase,少しだけお話してくださいましたけど、先を急ぐからと、行ってしまいました
hinase2-3,talk,natsuno,そっか
hinase2-3,talk,natsuno,どこまで行くのかわからないけど......無事に着くといいね
hinase2-3,talk,hinase,はい
hinase2-3,talk,hinase,シノさんと一緒にいる間も、何度かこうやって人とお会いすることがあって
hinase2-3,talk,hinase,なんだか不思議な感じです
hinase2-3,talk,hinase,皆さん、完全に心を開いてはくださらないんですけど、でも、穏やかに話してくださって
hinase2-3,talk,hinase,きっと......こんな風にならなかったら、会うこともなかったんだろうなと思うんです
hinase2-3,talk,natsuno,そうだね......
hinase2-3,talk,natsuno,わたしだって、あのまま暮らしてたら、ヒナセさんと会うことなかっただろうし
hinase2-3,talk,hinase,はい
hinase2-3,talk,hinase,こうしていろんな人に会って、いろんな話をすることも
hinase2-3,talk,hinase,私にとって、必要なことなんだろうって......思います
hinase2-3,wait,2
hinase2-3,fadeOut,1
hinase2-3,newPage
hinase2-3,pauseBgm
hinase2-3,fg,survivor00,right-right,0,serious
hinase2-3,fg,survivor07,right-left,0,sad
hinase2-3,wait,2
hinase2-3,fadeIn,1
hinase2-3,wait,2
hinase2-3,playBgm,scenario03
hinase2-3,talk,hinase,いろんな人とお話していて......
hinase2-3,talk,hinase,やっぱり、思うんです
hinase2-3,talk,hinase,私は、自分の思っていることを説明するのが苦手で
hinase2-3,talk,hinase,どうして、とか、なぜ、というのを考えることが......うまくできない
hinase2-3,talk,hinase,本が好きだったので、言葉はたくさん知っていると思いますし
hinase2-3,talk,hinase,知識は、それなりにあるはずだと思います
hinase2-3,talk,hinase,けど、その言葉や知識と、私の中の気持ちや感覚が、うまく結びつかなくて......
hinase2-3,talk,hinase,......
hinase2-3,talk,hinase,前にお会いしたとき、ナツノさんと話して、私自身がどうしたいのかはよくわかりました
hinase2-3,talk,hinase,私は、私の知らないものを知りたい
hinase2-3,talk,hinase,本を読んでばかりだったので、この身で感じて知れることを、たくさん知りたい
hinase2-3,talk,hinase,それから、今まで、バイクで旅をして、いろんなことを感じたと思います
hinase2-3,talk,hinase,でも......それをうまく言葉にできない
hinase2-3,talk,hinase,もちろん、本当に言葉にできないこともたくさんあると思います
hinase2-3,talk,hinase,言葉にできないから、本には書けなくて、だから自分で体験するんです
hinase2-3,talk,hinase,けど、中には、言葉にしたり説明できることだってあるはずで
hinase2-3,talk,hinase,言葉にできないというのは、理解できていないということで
hinase2-3,talk,hinase,この『理解』というものは......『知る』とはまた別のことなんですよね
hinase2-3,talk,hinase,自分が体験したことを、自分の中で噛み砕いて、腑に落ちるかたちにするということ
hinase2-3,talk,hinase,自分が納得したり、誰かに説明できるかたちにするということ
hinase2-3,talk,hinase,そんな感じなんだと......思います
hinase2-3,talk,hinase,きっと私が読んできた本は、そんな風にできているんだと思って
hinase2-3,talk,hinase,いろんな人が、体験したこととか、感じたことを、言葉にして本を書いています
hinase2-3,talk,hinase,最初から言葉があったわけじゃなくて、最初にあるのは『感じ』で
hinase2-3,talk,hinase,それを自分で分析して、噛み砕いて、説明して......
hinase2-3,talk,hinase,そういうものを私は読んでいたんだと、最近思いました
hinase2-3,talk,natsuno,......
hinase2-3,talk,natsuno,......ヒナセさんは、本を書くの？
hinase2-3,fg,survivor07,right-left,0.5,default
hinase2-3,talk,hinase,......？
hinase2-3,talk,hinase,いえ、書きませんけど......
hinase2-3,talk,natsuno,......
hinase2-3,talk,natsuno,わたしは、別に説明できなくてもいいような気がする
hinase2-3,talk,natsuno,本を書くとかなら、まぁ、言葉にできないと困るっていうのはわかるけど
hinase2-3,talk,natsuno,でも、言葉にできないことがたくさんあって
hinase2-3,talk,natsuno,それが普通だと思う
hinase2-3,talk,natsuno,......まぁ
hinase2-3,talk,natsuno,自分でうまく説明できない感じが
hinase2-3,talk,natsuno,気持ち悪かったり、不安だったりするっていうのは......ちょっとわかるけど
hinase2-3,fg,survivor00,right-right,0.5,depress
hinase2-3,talk,natsuno,この世界がコンピュータの中にあって、つくられた理由はなくて
hinase2-3,talk,natsuno,そう思うときの、なんとなく不安な感じをうまく説明できないままなのは......嫌だった
hinase2-3,fg,survivor07,right-left,0.5,sad
hinase2-3,talk,hinase,......きっと、私も同じだと思います
hinase2-3,talk,hinase,本を書くとか、誰かに説明するとか、そういうことだけじゃないんです
hinase2-3,talk,hinase,私自身が、納得して、いろんなことを飲み込むために
hinase2-3,talk,hinase,他人に説明できるくらい、言葉にできるというのが......必要なんだと思います
hinase2-3,talk,hinase,きっとそうすることで新しい発見があったり
hinase2-3,talk,hinase,心の救いになったりするんだと思います
hinase2-3,fg,survivor00,right-right,0.5,serious
hinase2-3,talk,natsuno,......そっか
hinase2-3,talk,hinase,......でも
hinase2-3,fg,survivor07,right-left,0.5,default
hinase2-3,talk,hinase,本を書く、というのも
hinase2-3,talk,hinase,いいかもしれませんね
hinase2-3,talk,natsuno,......
hinase2-3,talk,natsuno,そうなの......？
hinase2-3,wait,2
hinase2-3,end,questSuccess
-,,,
hinase2-4,bg,scenario28
hinase2-4,playBgm,character07
hinase2-4,fg,survivor07,right-left,0.5
hinase2-4,talk,hinase,ナツノさん
hinase2-4,talk,natsuno,うん？
hinase2-4,talk,hinase,私、行きますね
hinase2-4,talk,natsuno,あー......
hinase2-4,talk,natsuno,そっか
hinase2-4,talk,natsuno,次は、どこに行くの？
hinase2-4,talk,hinase,うーん
hinase2-4,talk,hinase,まだ決まってません
hinase2-4,talk,hinase,とにかく、大きい道を走ってみようと思います
hinase2-4,talk,hinase,ナツノさんと話してて、思ったんです
hinase2-4,talk,hinase,こうして誰かと話をすることで、わかることもあるんですよね
hinase2-4,talk,hinase,自分の考えが整理できたり、自分とは違う人の話を聞いてなるほどって思ったり
hinase2-4,talk,hinase,私には、そういう経験も必要なのかもって思います
hinase2-4,talk,hinase,だから......このご時世、なかなか難しいですけど、いろんな人と話してみたい
hinase2-4,talk,hinase,今度は、人のいそうなところをバイクで巡ってみようと思います
hinase2-4,talk,natsuno,そっか......
hinase2-4,talk,natsuno,わたしも、スマホの向こうのこの人と話をして、自分の気持ちを整理できたっていうか
hinase2-4,talk,natsuno,いろんなことを考え直せたり、向き合えたのかもって感じがするし
hinase2-4,talk,natsuno,一人で考えるだけじゃ気づけないことも、あるかもね
hinase2-4,talk,natsuno,でも、なんていうか、気をつけてね
hinase2-4,talk,natsuno,親切な人ばっかりじゃないと思うし
hinase2-4,talk,hinase,はい
hinase2-4,talk,hinase,それから......
hinase2-4,talk,hinase,私、本を書いてみます
hinase2-4,talk,natsuno,本......？
hinase2-4,talk,hinase,自分のための日誌というのではなくて、誰かに読んでもらうためのエッセイというか
hinase2-4,talk,hinase,誰かに、自分の気持ちや考えをわかってもらえるようなものを、書けたらいいなと思って
hinase2-4,talk,hinase,それが......自分自身を知ることにもなるだろうって思うんです
hinase2-4,talk,hinase,最初は、きっと何を書けばいいかもわからないですけど
hinase2-4,talk,hinase,少しずつ、自分のことがわかって、言葉にできるようになったら......いいなと思います
hinase2-4,talk,natsuno,なるほど......
hinase2-4,talk,natsuno,いいかもね
hinase2-4,talk,natsuno,エッセイとか、そういうのあんまり読んだことないから、どんななのかあんまり想像できないけど
hinase2-4,talk,natsuno,ヒナセさんが書いたもの、読んでみたいな
hinase2-4,fg,survivor07,right-left,0.5,shy
hinase2-4,talk,hinase,ほんとですか？
hinase2-4,talk,hinase,がんばって書きますね！
hinase2-4,fg,survivor00,right-right,0.5,zito
hinase2-4,talk,natsuno,うん......
hinase2-4,talk,natsuno,お手柔らかにお願いします......
hinase2-4,fg,survivor07,right-left,0.5,default
hinase2-4,talk,hinase,じゃあ、私、行きますね
hinase2-4,fg,survivor00,right-right,0.5,smile
hinase2-4,talk,natsuno,うん
hinase2-4,talk,natsuno,気をつけてね
hinase2-4,talk,hinase,はい
hinase2-4,talk,hinase,またどこかで会ったら、お話聞かせてください
hinase2-4,talk,hinase,ナツノさんと話していると、新しい発見がたくさんあるので
hinase2-4,talk,natsuno,まぁ、もうこの世界のこと以上の新しい発見はないだろうけど......
hinase2-4,talk,natsuno,また会えたら、わたしもうれしい
hinase2-4,talk,hinase,はい！
hinase2-4,talk,hinase,では、また！
hinase2-4,talk,natsuno,うん。またね、ヒナセさん
hinase2-4,wait,1
hinase2-4,fgRemove,survivor07,1.0
hinase2-4,wait,3
hinase2-4,removeSurvivor,hinase
hinase2-4,end,ending,hinase2
-,,,

