id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
kiko2-1,bg,scenario10
kiko2-2,talk,natsuno,わたしも最初聞いたとき、結構混乱したし
kiko2-2,talk,natsuno,いきなり言われても、信じらんないよね
kiko2-2,talk,kiko,うーん......
kiko2-2,talk,kiko,ここがコンピュータの中の世界......？
kiko2-2,talk,natsuno,聞きたかったらまた話すよ。何回でも
kiko2-2,talk,kiko,うーん......
kiko2-2,talk,kiko,うーん......？
kiko2-2,talk,natsuno,......
kiko2-2,pauseBgm
kiko2-2,talk,natsuno,......キコはさ
kiko2-2,talk,natsuno,何、してたの？
kiko2-2,talk,natsuno,あのあと......わたしと別れたあと
kiko2-2,talk,kiko,......
kiko2-2,fg,survivor01,right-left,0.5,depress,dog
kiko2-2,talk,kiko,......私
kiko2-2,playBgm,scenario02
kiko2-2,talk,kiko,ミノタローを埋めたあと......キャンプに戻るって、ナツノさんにそう言いましたよね
kiko2-2,talk,natsuno,......うん
kiko2-2,talk,kiko,......けど
kiko2-2,talk,kiko,本当は......帰るつもり、なかったんです
kiko2-2,talk,natsuno,......
kiko2-2,fg,survivor00,right-right,0.5,depress
kiko2-2,talk,natsuno,......うん
kiko2-2,talk,natsuno,......知ってる
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......そうですか
kiko2-2,talk,kiko,そうですよね
kiko2-2,talk,kiko,バレちゃってました、よね
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......本当は、もう行くところなんかなくて
kiko2-2,talk,kiko,帰るつもりもなくて
kiko2-2,talk,kiko,ミノタローのそばに......ずっといたいって思ってて
kiko2-2,talk,kiko,......だから、あのあと、しばらくあそこにいたんです
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......けど
kiko2-2,talk,kiko,少し落ち着いて、ミノタローのお墓に備えるお花を探しに行ったときに
kiko2-2,talk,kiko,偶然、この子に......カンタローに会ったんです
kiko2-2,talk,natsuno,......そう、なんだ
kiko2-2,talk,kiko,今は、こんなに元気ですけど
kiko2-2,talk,kiko,見つけたときは、かなり衰弱してて......
kiko2-2,talk,kiko,痩せてて、汚れと臭いがひどくて、歩くのも精一杯で
kiko2-2,talk,kiko,たぶん、長い間何も食べてなくて
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......首輪を
kiko2-2,talk,kiko,してたんです
kiko2-2,talk,kiko,......この子は、誰かが飼ってたわんちゃんなんです
kiko2-2,talk,kiko,私が見つけたとき
kiko2-2,talk,kiko,この子は、あるおうちの前を、ずっとうろうろしてました
kiko2-2,talk,kiko,もう誰もいない家なんですけど
kiko2-2,talk,kiko,首輪が繋がれてるわけじゃないのに、ずっとその家から離れなくて
kiko2-2,talk,kiko,きっとその家で飼われてた子だったんだと思います
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,こんな状況だから
kiko2-2,talk,kiko,一緒に逃げられなかったのか
kiko2-2,talk,kiko,逃げると途中ではぐれちゃったのか......わかんないですけど
kiko2-2,talk,kiko,この子は......家族が帰ってくるのを、ずっと待ってたんです
kiko2-2,talk,natsuno,......
kiko2-2,talk,kiko,......
kiko2-2,pauseBgm
kiko2-2,fgRemove,survivor01,1.0
kiko2-2,fgRemove,survivor00,1.0
kiko2-2,talk,kiko,......私
kiko2-2,talk,kiko,ナツノさんと別れたあと、もう何もかもどうでもよくて
kiko2-2,talk,kiko,ミノタローが死んじゃって
kiko2-2,talk,kiko,あとは、自分もいつか死ぬまでの日々を、ただ生きるだけで
kiko2-2,talk,kiko,そんななら......
kiko2-2,talk,kiko,......あそこで、ミノタローと一緒に、死んじゃってもいいって
kiko2-2,talk,kiko,そう思ってました
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......だけど
kiko2-2,talk,kiko,この子を見つけて
kiko2-2,talk,kiko,私......
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......ナツノさん
kiko2-2,talk,kiko,ごめんなさい、私
kiko2-2,playBgm,scenario03
kiko2-2,talk,kiko,あのとき......私、ナツノさんにひどいことをしました
kiko2-2,talk,kiko,最初から全部わかってて、自分の命なんてどうでもいいと思ってて
kiko2-2,talk,kiko,それなのにナツノさんを頼って......自分勝手に、さよならして
kiko2-2,talk,kiko,ごめんなさい......
kiko2-2,talk,kiko,......あのときのナツノさんが、どんなに嫌な気持ちだったか
kiko2-2,talk,kiko,この子と出会って......わかりました
kiko2-2,talk,kiko,この子も、自分は死ぬかもしれないのに、あそこでずっと飼い主を待ってた
kiko2-2,talk,kiko,いつか死んじゃうって、きっとわかってるのに......
kiko2-2,talk,kiko,だから......
kiko2-2,talk,kiko,......ごめんなさい
kiko2-2,talk,natsuno,......
kiko2-2,talk,natsuno,......ううん
kiko2-2,talk,natsuno,わたしも、ごめん
kiko2-2,talk,natsuno,あのとき、わたし......どうしたらいいわからなくて
kiko2-2,talk,natsuno,何もできなかった
kiko2-2,talk,natsuno,キコのこと......放っておくことしか、できなかった
kiko2-2,talk,natsuno,......
kiko2-2,talk,natsuno,......でも
kiko2-2,talk,natsuno,キコは
kiko2-2,talk,natsuno,その子を......助けてあげられたんだね
kiko2-2,talk,kiko,......
kiko2-2,talk,kiko,......はい
kiko2-2,wait,3
kiko2-2,end,questSuccess
-,,,
kiko2-3,bg,scenario10
kiko2-3,playBgm,character01
kiko2-3,talk,natsuno,キコは......今、何してるの？
kiko2-3,talk,natsuno,また一人で歩き回ってるみたいだけど......
kiko2-3,fg,survivor01,right-left,1.0,default,dog
kiko2-3,pauseBgm
kiko2-3,talk,kiko,......
kiko2-3,talk,kiko,......私
kiko2-3,talk,kiko,あのあと......
kiko2-3,playBgm,scenario03
kiko2-3,talk,kiko,この子を見つけたあと、この子を連れて、キャンプに戻ったんです
kiko2-3,talk,kiko,助けたいって思って、でも、私だけじゃどうしようもなくて
kiko2-3,talk,kiko,それで、両親がいるキャンプに戻りました
kiko2-3,talk,natsuno,......キャンプの場所、憶えてたんだ
kiko2-3,talk,kiko,いえ......キャンプの場所憶えてないって言ってたのは、本当です
kiko2-3,talk,kiko,無事に戻れたのは、偶然で......
kiko2-3,talk,kiko,何日もさ迷い歩いて、なんとか、キャンプの場所を見つけました
kiko2-3,talk,kiko,出ていったときより、何倍も時間がかかったと思います
kiko2-3,talk,kiko,......私もこの子も、倒れる寸前でした
kiko2-2,fg,survivor00,right-right,0.5,serious
kiko2-3,talk,natsuno,......お父さんとお母さんに、怒られた？
kiko2-3,talk,kiko,......はい
kiko2-3,talk,kiko,あんなに怒った両親を見たのは、初めてでした
kiko2-3,talk,kiko,たくさん怒られて、でも
kiko2-3,talk,kiko,お父さんとお母さんは、キャンプのみんなは、
kiko2-3,talk,kiko,私のことも、私が連れてきたこの子のことも......受け入れてくれました
kiko2-3,talk,kiko,今は、キャンプのみんなで面倒を見てます
kiko2-3,talk,kiko,みんなのおかげで、こんなに元気になって
kiko2-3,talk,natsuno,......そっか
kiko2-3,talk,natsuno,よかったね
kiko2-3,talk,kiko,はい
kiko2-3,talk,natsuno,じゃあ......結局、なんでキコはまた一人なの？
kiko2-3,talk,kiko,......
kiko2-3,talk,kiko,......この子を見つけたとき
kiko2-3,talk,kiko,私、思ったんです
kiko2-3,talk,kiko,こういう子が......
kiko2-3,talk,kiko,人に飼われてたけど、一緒にいられなくなって
kiko2-3,talk,kiko,一人ぼっちになって......
kiko2-3,talk,kiko,飼い主のことずっと待ってたり、どうしていいかわからなくてさ迷っていたり
kiko2-3,talk,kiko,家から出ることができなくてお腹を空かせてたり
kiko2-3,talk,kiko,そういう命が、たくさんあるんだって
kiko2-3,talk,kiko,......
kiko2-3,talk,kiko,......だから
kiko2-3,talk,kiko,そういう命を、ちょっとでも助けたいって思うんです
kiko2-3,talk,kiko,ときどき、町に取り残された動物たちがいないか、見て回ったりして
kiko2-3,talk,kiko,この子と同じように、そのままじゃ死んじゃう子を、探してるんです
kiko2-3,talk,natsuno,そう、なんだ
kiko2-3,talk,natsuno,それは......なんていうか、大変だね
kiko2-3,talk,natsuno,見つけた子たちは、どうしてるの？
kiko2-3,talk,kiko,この子と同じで、キャンプのみんなで一緒に面倒見てます
kiko2-3,talk,kiko,今、キャンプにいるのは、犬と猫と、鶏と......全部で五匹、かな
kiko2-3,talk,kiko,......
kiko2-3,talk,kiko,......もちろん、その子たちの分も、ごはんが必要ですし
kiko2-3,talk,kiko,お世話しないといけないことも、たくさんあります
kiko2-3,talk,kiko,毎日、大変なことばっかりです
kiko2-3,talk,kiko,......けど
kiko2-3,talk,kiko,助けるとか、面倒見てるとか言ってますけど
kiko2-3,talk,kiko,私たちの方だって、この子たちに助けられてて
kiko2-3,talk,kiko,この子たちが来てから、キャンプのみんな、よく話すようになりました
kiko2-3,talk,kiko,笑ってることも、増えたような気がします
kiko2-3,talk,kiko,食べ物を探しに出かけるのだって、嫌なことじゃなくなりました
kiko2-3,talk,kiko,私たちのキャンプを見つけて偶然やってきた人たちが、子犬を引き取ってくれたこともあって
kiko2-3,talk,kiko,そうやって、いろんな人が協力してくれてます
kiko2-3,talk,kiko,私たちだって、助けられてて
kiko2-3,talk,kiko,私たちは......みんな、一緒に生きてるんです
kiko2-3,talk,natsuno,......うん
kiko2-3,talk,natsuno,わたしは、動物飼ったことないけど
kiko2-3,talk,natsuno,なんとなく......わかるよ
kiko2-3,talk,natsuno,前、キコと一緒にいたとき、そうだった
kiko2-3,talk,natsuno,そんな風に意識しなかったけど、でも、たぶんわたし、キコのこと守らなくちゃって思ってて
kiko2-3,talk,natsuno,一緒にいて大変なこともあったけど
kiko2-3,talk,natsuno,でも、大変なことだけじゃなかった
kiko2-3,talk,natsuno,一緒にいて楽しかったっていうのもそうだし
kiko2-3,talk,natsuno,キコのこと守らなくちゃって......そう思ってることは
kiko2-3,talk,natsuno,何より、正しいことな気がして
kiko2-3,talk,natsuno,自分一人だと、自分が死んじゃったって誰も困らないじゃんって思えるけど
kiko2-3,talk,natsuno,キコと一緒にいるときは......そうじゃなかった
kiko2-3,talk,natsuno,守らなきゃって思うのって、大変だけど
kiko2-3,talk,natsuno,でも......なんか、前向きになれるんだよね
kiko2-3,talk,kiko,......
kiko2-3,talk,kiko,......そう、ですね
kiko2-3,talk,kiko,前向きに......なれる
kiko2-3,fg,survivor01,right-left,0.5,shy,dog
kiko2-3,talk,kiko,そう......そうなんです
kiko2-3,talk,kiko,私......今、とっても、前向きです
kiko2-3,wait,1
kiko2-3,end,questSuccess
-,,,
kiko2-4,bg,location06
kiko2-4,fg,survivor00,right-right,0,serious
kiko2-4,playBgm,environment00
kiko2-4,wait,2
kiko2-4,talk,natsuno,......
kiko2-4,talk,natsuno,その子......
kiko2-4,fg,survivor01,right-left,1.0,serious
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......大丈夫
kiko2-4,talk,kiko,息、してます
kiko2-4,talk,kiko,だいぶ弱ってますけど......
kiko2-4,talk,natsuno,......まだ、子供だよね
kiko2-4,talk,kiko,はい......
kiko2-4,talk,kiko,産まれてから、半年くらいですかね......
kiko2-4,talk,kiko,どうして子猫が、こんなところに一匹だけで......
kiko2-4,talk,natsuno,......
kiko2-4,talk,natsuno,......どうするの？
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,もしかしたら、お母さんがいて
kiko2-4,talk,kiko,どこかに、狩りに行ってるのかも
kiko2-4,talk,kiko,......けど
kiko2-4,talk,kiko,こんなに弱ってたら、このままじゃ、この子......
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,少しだけ、辺りを探してみましょう
kiko2-4,talk,natsuno,......わかった
kiko2-4,talk,kiko,......
kiko2-4,wait,2
kiko2-4,fadeOut,1
kiko2-4,newPage
kiko2-4,pauseBgm
kiko2-4,fg,survivor00,right-right,0,serious
kiko2-4,fg,survivor01,right-left,0,serious,dog
kiko2-4,bg,scenario10
kiko2-4,wait,1
kiko2-4,fadeIn,1
kiko2-4,talk,natsuno,キコは、ずっと
kiko2-4,talk,natsuno,こうやって命を救ってきたんだね
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......命を救うとか、何かを助けるとか
kiko2-4,talk,kiko,私は、そんな風には......あんまり思ってないです
kiko2-4,playBgm,scenario03
kiko2-4,talk,kiko,私が一人でできることは、とても少なくて
kiko2-4,talk,kiko,こうやって、この子が助かったとしても
kiko2-4,talk,kiko,それは、同じように助けを求めてる命の、ほんの一部でしかなくて
kiko2-4,talk,kiko,こうしている間にも、失われてる命がたくさんあります
kiko2-4,talk,kiko,私がどんなにがんばっても......ちっぽけで
kiko2-4,talk,kiko,それで、何かが解決したりしない
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......でも、それでも
kiko2-4,talk,kiko,何もしないでいることはできなくて
kiko2-4,talk,kiko,......それだけ、なんです
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......もちろん
kiko2-4,talk,kiko,よかったなって思えることも、たくさんあります
kiko2-4,talk,kiko,私がいるキャンプや、偶然出会った人たちの中にも
kiko2-4,talk,kiko,飼っていた動物と一緒に逃げることができなくて
kiko2-4,talk,kiko,そのこと、ずっと後悔してるんだって言ってくれる人がいます
kiko2-4,talk,kiko,そういう人たちが、助けてくれることもあって
kiko2-4,talk,kiko,私たちが面倒みてた子を、もらってくれたり
kiko2-4,talk,kiko,動物たちが食べるものを、分けてくれたり
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......ナツノさん
kiko2-4,talk,natsuno,......なに？
kiko2-4,talk,kiko,私、最初にナツノさんに会ったとき
kiko2-4,talk,kiko,私の勝手で、ナツノさんに嫌な思いさせたこと、申し訳ないと思ってます
kiko2-4,talk,natsuno,......うん
kiko2-4,talk,kiko,けど
kiko2-4,talk,kiko,だけど、あのときの私と、今の私は同じです
kiko2-4,talk,kiko,一人で歩き回って、自分たちの命が守れるかどうかだってわからない
kiko2-4,talk,kiko,キャンプの中で、大人の人に頼って静かにしてた方が安全です
kiko2-4,talk,kiko,この子たちを助ければ助けるだけ、いろんなものが必要になります
kiko2-4,talk,kiko,自分たちの首を絞めてるんだって、思います
kiko2-4,talk,kiko,もしかしたら......私はいつか、こうやって一人で歩いている途中で死ぬかもしれません
kiko2-4,talk,kiko,それでも......私は、こうやって外を歩いてます
kiko2-4,talk,natsuno,......
kiko2-4,talk,kiko,自分の命なんてどうでもいいとか、今はもう思ってないです
kiko2-4,talk,kiko,命は大事です。この子たちを見てると、いつもそう思う
kiko2-4,talk,kiko,でも、
kiko2-4,talk,kiko,後悔しながら生きるのは、死んじゃうことより、嫌です
kiko2-4,talk,kiko,自分のこと、どうでもいいって思ってるわけじゃないけど......でも
kiko2-4,talk,kiko,自分たちの命は大事だけど、それでも、この子たちの命も諦めたくないんです
kiko2-4,talk,kiko,諦めなくていいって......そう思っていたい
kiko2-4,talk,kiko,それは、私がただ生き続けることより、大事にしたいことで
kiko2-4,talk,kiko,だから、あのとき......自分のことより、ミノタローを見つけたいって思ってたときと
kiko2-4,talk,kiko,今も......同じなんです
kiko2-4,talk,natsuno,......
kiko2-4,talk,natsuno,......うん
kiko2-4,talk,natsuno,わかるよ
kiko2-4,talk,natsuno,自分が今、ただ生きてることよりも大事なことがあって
kiko2-4,talk,natsuno,でも、それは自分の命を捨てるってことじゃないって
kiko2-4,talk,natsuno,......わたしも、わかる
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......よかった
kiko2-4,talk,kiko,この世界が現実じゃないとか、コンピュータの中にあるとか
kiko2-4,talk,kiko,もし、あのときの私が聞いてたら......何もかもどうでもよくなって、死んでもいいやって思ってたかもしれません
kiko2-4,talk,kiko,でも、今は違います
kiko2-4,talk,kiko,この子たちを助けたくて
kiko2-4,talk,kiko,そのために生き続けるんだって、そう思えるから
kiko2-4,talk,natsuno,......
kiko2-4,talk,natsuno,うん
kiko2-4,talk,natsuno,そう言ってくれたら
kiko2-4,talk,natsuno,キコに話してよかったって......思うよ
kiko2-4,talk,kiko,まぁ......
kiko2-4,talk,kiko,正直、全然、信じられてないですけど
kiko2-4,talk,natsuno,はは
kiko2-4,talk,natsuno,そうだよね
kiko2-4,talk,kiko,......
kiko2-4,talk,kiko,......じゃあ
kiko2-4,talk,kiko,私は、この子を連れてキャンプに戻ります
kiko2-4,talk,kiko,親猫は見つからなかったし
kiko2-4,talk,kiko,このまま放っておけないので
kiko2-4,talk,natsuno,......うん
kiko2-4,talk,natsuno,キャンプまで車で送るよ
kiko2-4,talk,natsuno,......そこで、さよならだね
kiko2-4,talk,natsuno,......わたしは
kiko2-4,talk,natsuno,キコが見つけたみたいな、大事なこと
kiko2-4,talk,natsuno,これから探すよ
kiko2-4,talk,natsuno,そんなものがあるのかどうか......まだ、わかんないけど
kiko2-4,talk,natsuno,わたしだって、後悔したくないから
kiko2-4,talk,kiko,......はい
kiko2-4,talk,kiko,もし、またどこかで会えたら
kiko2-4,talk,kiko,ナツノさんのお話、聞かせてください
kiko2-4,talk,natsuno,......うん
kiko2-4,talk,natsuno,......
kiko2-4,talk,natsuno,......キコは
kiko2-4,talk,natsuno,なんか、ちょっと見ない間に、すっかり大きくなったなぁ
kiko2-4,talk,kiko,ははは
kiko2-4,talk,kiko,そうですかね
kiko2-4,talk,kiko,......
kiko2-4,fg,survivor01,right-left,0.5,shy,dog
kiko2-4,talk,kiko,......そうだと、いいな
kiko2-4,wait,3
kiko2-4,removeSurvivor,kiko
kiko2-4,end,ending,kiko2
-,,,
