id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
sub-endless-kiko1,bg,scenario10
sub-endless-kiko2,talk,natsuno,うん
sub-endless-kiko2,talk,kiko,じゃあ、また！
sub-endless-kiko2,wait,1
sub-endless-kiko2,fgRemove,survivor01,1.0
sub-endless-kiko2,wait,1
sub-endless-kiko2,talk,natsuno,......
sub-endless-kiko2,talk,natsuno,......ほんと
sub-endless-kiko2,talk,natsuno,たくましく、なったなぁ
sub-endless-kiko2,wait,1
sub-endless-kiko2,removeSurvivor,kiko
sub-endless-kiko2,end,questSuccess
-,,,
sub-endless-shino1,bg,scenario06
sub-endless-shino1,fgClear
sub-endless-shino1,playBgm,character02
sub-endless-shino1,wait,2
sub-endless-shino1,talk,???,おーい！
sub-endless-shino1,fg,survivor00,right-right,0.5,default
sub-endless-shino1,talk,natsuno,......？
sub-endless-shino1,fg,survivor02,right-left,1.0,smile
sub-endless-shino1,talk,shino,やっほ！
sub-endless-shino1,talk,natsuno,あ......シノ
sub-endless-shino1,talk,shino,やっほ！！
sub-endless-shino1,talk,natsuno,や、やっほ
sub-endless-shino1,talk,shino,偶然だね、ナツノちゃん
sub-endless-shino1,talk,natsuno,そだね......
sub-endless-shino1,talk,natsuno,シノは、写真撮りながら歩いてるとこ？
sub-endless-shino1,talk,shino,そ！
sub-endless-shino1,talk,shino,せっかくだし、ちょっとご一緒しない？
sub-endless-shino1,talk,natsuno,うん。いいよ
sub-endless-shino1,talk,shino,やったね！
sub-endless-shino1,talk,shino,ナツノちゃんの愛情こもった手料理が食べたいなー
sub-endless-shino1,talk,natsuno,わたし、全然、料理上手じゃないけど......
sub-endless-shino1,talk,shino,愛情があればだいじょーぶ！
sub-endless-shino1,talk,natsuno,そんなもん......？
sub-endless-shino1,talk,shino,限度はある！
sub-endless-shino1,fg,survivor00,right-right,0.5,zito
sub-endless-shino1,talk,natsuno,......
sub-endless-shino1,wait,2
sub-endless-shino1,appendSurvivor,shino
sub-endless-shino1,end,questSuccess
-,,,
sub-endless-shino2,bg,scenario06
sub-endless-shino2,playBgm,character02
sub-endless-shino2,wait,2
sub-endless-shino2,fg,survivor02,right-left,0.5,smile
sub-endless-shino2,talk,shino,へい、ナツノちゃん
sub-endless-shino2,talk,natsuno,なに？
sub-endless-shino2,talk,shino,あたし、あっちの方行ってみるから
sub-endless-shino2,talk,shino,ここで、ばいばいだね
sub-endless-shino2,talk,natsuno,あ......
sub-endless-shino2,talk,natsuno,うん
sub-endless-shino2,talk,natsuno,そっか
sub-endless-shino2,talk,shino,じゃ、またね！
sub-endless-shino2,talk,shino,ちなみに、今回あたしに会えて、懐かしいって思った？
sub-endless-shino2,talk,natsuno,うーん......
sub-endless-shino2,talk,natsuno,あんまり
sub-endless-shino2,talk,shino,そっかー
sub-endless-shino2,talk,shino,ではまた次回！
sub-endless-shino2,talk,shino,またね！
sub-endless-shino2,talk,natsuno,ま、またね......
sub-endless-shino2,wait,1
sub-endless-shino2,fgRemove,survivor02,1.0
sub-endless-shino2,wait,1
sub-endless-shino2,talk,natsuno,......
sub-endless-shino2,talk,natsuno,......こんな調子じゃ
sub-endless-shino2,talk,natsuno,懐かしいなんて思える日、まだまだ遠そうだな
sub-endless-shino2,talk,natsuno,......
sub-endless-shino2,fg,survivor00,right-right,0.5,smile
sub-endless-shino2,talk,natsuno,......別に、いいけどね
sub-endless-shino2,wait,2
sub-endless-shino2,removeSurvivor,shino
sub-endless-shino2,end,questSuccess
-,,,
sub-endless-minamo1,bg,scenario25
sub-endless-minamo1,playBgm,character05
sub-endless-minamo1,wait,2
sub-endless-minamo1,talk,natsuno,あ
sub-endless-minamo1,talk,natsuno,ミナモ
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,talk,natsuno,......聞こえなかったかな
sub-endless-minamo1,talk,natsuno,ミナモ！
sub-endless-minamo1,wait,1
sub-endless-minamo1,fg,survivor05,right-left,1.0
sub-endless-minamo1,talk,minamo,......
sub-endless-minamo1,talk,minamo,......あー
sub-endless-minamo1,talk,minamo,ナツノさん
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,fg,survivor00,right-right,0.5,zito
sub-endless-minamo1,talk,natsuno,......なに、今の間
sub-endless-minamo1,talk,natsuno,『げ』を飲み込んだ間？
sub-endless-minamo1,talk,minamo,いやいや
sub-endless-minamo1,talk,minamo,そんなわけ
sub-endless-minamo1,talk,minamo,......ないじゃん
sub-endless-minamo1,talk,natsuno,......
sub-endless-minamo1,talk,natsuno,バツとして、ちょっとの間一人旅に付き合ってもらおうかな
sub-endless-minamo1,talk,minamo,えー
sub-endless-minamo1,talk,minamo,いやお安い御用だけど
sub-endless-minamo1,fg,survivor05,right-left,0.5,smile
sub-endless-minamo1,talk,minamo,うちもたまには、同世代の女の子とい喋りしたいなぁとか思っとったところよ
sub-endless-minamo1,talk,natsuno,ほんとかな......
sub-endless-minamo1,fg,survivor00,right-right,0.5,default
sub-endless-minamo1,talk,natsuno,じゃあまぁ
sub-endless-minamo1,talk,natsuno,いろいろ話聞かせてよ
sub-endless-minamo1,talk,minamo,おっけー。いいよ
sub-endless-minamo1,wait,2
sub-endless-minamo1,appendSurvivor,minamo
sub-endless-minamo1,end,questSuccess
-,,,
sub-endless-minamo2,bg,scenario25
sub-endless-minamo2,fg,survivor05,right-left,0
sub-endless-minamo2,playBgm,character05
sub-endless-minamo2,wait,2
sub-endless-minamo2,talk,minamo,じゃ、うちはこの辺で
sub-endless-minamo2,talk,minamo,お暇しようかな
sub-endless-minamo2,talk,natsuno,あ......
sub-endless-minamo2,talk,natsuno,うん
sub-endless-minamo2,talk,natsuno,そっか
sub-endless-minamo2,talk,minamo,そろそろ戻って、子供たちの面倒見んとね
sub-endless-minamo2,talk,natsuno,そうだね
sub-endless-minamo2,talk,natsuno,......
sub-endless-minamo2,talk,natsuno,なんか
sub-endless-minamo2,talk,natsuno,帰るところがあるって、不思議だね
sub-endless-minamo2,talk,minamo,そうねー
sub-endless-minamo2,talk,minamo,帰れるところというか
sub-endless-minamo2,talk,minamo,帰らんといけんところというか
sub-endless-minamo2,talk,minamo,ビミョーなところだけども
sub-endless-minamo2,talk,minamo,ま、いつなくなるともわからんし
sub-endless-minamo2,talk,minamo,今のうちに満喫しとこ
sub-endless-minamo2,talk,minamo,またうちのこと見かけたら、声かけてや
sub-endless-minamo2,talk,minamo,まだしばらくこの辺おるだろうし
sub-endless-minamo2,talk,natsuno,うん
sub-endless-minamo2,fg,survivor00,right-right,0.5,zito
sub-endless-minamo2,talk,natsuno,......
sub-endless-minamo2,talk,natsuno,......『げ』とか言わない？
sub-endless-minamo2,fg,survivor05,right-left,0.5,smile
sub-endless-minamo2,talk,minamo,まだ言うの？
sub-endless-minamo2,talk,minamo,意外と根にもつなー
sub-endless-minamo2,talk,minamo,言わんて
sub-endless-minamo2,fg,survivor00,right-right,0.5,smile
sub-endless-minamo2,talk,natsuno,......じゃ
sub-endless-minamo2,talk,natsuno,またね、ミナモ
sub-endless-minamo2,talk,minamo,うん、また。ナツノさん
sub-endless-minamo2,fgRemove,survivor05,1.0
sub-endless-minamo2,wait,2
sub-endless-minamo2,removeSurvivor,minamo
sub-endless-minamo2,end,questSuccess
-,,,
sub-endless-hinase1,bg,scenario28
sub-endless-hinase1,playBgm,character07
sub-endless-hinase1,wait,2
sub-endless-hinase1,talk,natsuno,あ......
sub-endless-hinase1,talk,natsuno,バイクの音......
sub-endless-hinase1,talk,natsuno,ヒナセさんかな
sub-endless-hinase1,talk,natsuno,ちょっと追いかけてみるね
sub-endless-hinase1,wait,1
sub-endless-hinase1,fadeOut,1
sub-endless-hinase1,newPage
sub-endless-hinase1,wait,1
sub-endless-hinase1,fadeIn,1
sub-endless-hinase1,wait,2
sub-endless-hinase1,talk,natsuno,こんにちは
sub-endless-hinase1,wait,1
sub-endless-hinase1,fg,survivor07,right-left,1.0,smile
sub-endless-hinase1,talk,hinase,あら
sub-endless-hinase1,talk,hinase,ナツノさん
sub-endless-hinase1,talk,hinase,こんにちは
sub-endless-hinase1,talk,hinase,また会いましたね
sub-endless-hinase1,talk,natsuno,うん
sub-endless-hinase1,talk,natsuno,ヒナセさんのバイクの音聞こえて
sub-endless-hinase1,talk,natsuno,ちょっと離れてたけど、追いかけてきた
sub-endless-hinase1,talk,hinase,まぁ
sub-endless-hinase1,talk,hinase,すみません、気づかなくて
sub-endless-hinase1,talk,hinase,この子、とっても元気なので、乗ってる間他の音ってほとんど聞こえないんですよね
sub-endless-hinase1,talk,natsuno,ま、そのおかげでわたしは気づいたわけだし
sub-endless-hinase1,talk,natsuno,元気でいいんじゃない？
sub-endless-hinase1,talk,hinase,ふふ......そうですね
sub-endless-hinase1,talk,hinase,ナツノさん
sub-endless-hinase1,talk,hinase,またしばらく、ご一緒してもいいですか？
sub-endless-hinase1,fg,survivor00,right-right,0.5,smile
sub-endless-hinase1,talk,natsuno,うん
sub-endless-hinase1,talk,natsuno,もちろん
sub-endless-hinase1,wait,2
sub-endless-hinase1,appendSurvivor,hinase
sub-endless-hinase1,end,questSuccess
-,,,
sub-endless-hinase2,bg,scenario28
sub-endless-hinase2,playBgm,character07
sub-endless-hinase2,wait,2
sub-endless-hinase2,fg,survivor07,right-left,0.5
sub-endless-hinase2,talk,hinase,ナツノさん
sub-endless-hinase2,talk,natsuno,うん？
sub-endless-hinase2,talk,hinase,私、あっちの方に向かうので
sub-endless-hinase2,talk,hinase,この辺りでお別れです
sub-endless-hinase2,talk,natsuno,そっか
sub-endless-hinase2,talk,natsuno,わかった
sub-endless-hinase2,talk,natsuno,気をつけてね
sub-endless-hinase2,talk,hinase,はい
sub-endless-hinase2,talk,hinase,ナツノさんも、お気をつけて
sub-endless-hinase2,talk,natsuno,そういえば......本、書けた？
sub-endless-hinase2,fg,survivor07,right-left,0.5,shy
sub-endless-hinase2,talk,hinase,ふふ
sub-endless-hinase2,talk,hinase,まだまだです
sub-endless-hinase2,talk,hinase,じーっくり、楽しみに待っててください
sub-endless-hinase2,talk,natsuno,うん
sub-endless-hinase2,fg,survivor00,right-right,0.5,smile
sub-endless-hinase2,talk,natsuno,じゃあ、また会ったら、そのときまた訊く
sub-endless-hinase2,talk,hinase,はい
sub-endless-hinase2,talk,hinase,では、また
sub-endless-hinase2,talk,natsuno,うん
sub-endless-hinase2,talk,natsuno,またね
sub-endless-hinase2,fgRemove,survivor07,1.0
sub-endless-hinase2,wait,2
sub-endless-hinase2,removeSurvivor,hinase
sub-endless-hinase2,end,questSuccess
-,,,
