id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
sub-meguru1-1,bg,scenario16
sub-meguru1-1,fg,survivor04,right-left,0.5,default,mask
sub-meguru1-1,talk,???,うちさ！
sub-meguru1-1,fg,survivor00,right-right,0.5,default
sub-meguru1-1,talk,natsuno,はい......？
sub-meguru1-1,talk,meguru,メグルっていうんだけど
sub-meguru1-1,talk,meguru,旅、してんだよね
sub-meguru1-1,talk,natsuno,え......？
sub-meguru1-1,talk,meguru,旅、してるの
sub-meguru1-1,talk,natsuno,う、うん......
sub-meguru1-1,talk,meguru,そんで
sub-meguru1-1,talk,meguru,絵、描いてるわけ
sub-meguru1-1,talk,natsuno,......？
sub-meguru1-1,talk,meguru,だからさ
sub-meguru1-1,talk,meguru,だから......
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,fg,survivor04,right-left,0.5,sad,mask
sub-meguru1-1,talk,meguru,......お腹空いた......
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,fg,survivor04,right-left,0.5,depress,mask
sub-meguru1-1,talk,meguru,......ごはん、くんない......っすか......？
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,wait,1
sub-meguru1-1,fadeOut,1
sub-meguru1-1,newPage
sub-meguru1-1,wait,1
sub-meguru1-1,fg,survivor04,right-left,0,smile,mask
sub-meguru1-1,fadeIn,1
sub-meguru1-1,wait,1
sub-meguru1-1,playBgm,character04
sub-meguru1-1,talk,meguru,あー助かったー！
sub-meguru1-1,talk,meguru,やっぱ、もつべきものはトモ、だよねー！
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,talk,meguru,............
sub-meguru1-1,fg,survivor04,right-left,0.5,sad,mask
sub-meguru1-1,talk,meguru,すみませんちょーし乗りました......
sub-meguru1-1,talk,meguru,この御恩はいつか必ず......
sub-meguru1-1,talk,natsuno,いや......
sub-meguru1-1,talk,natsuno,別にいいよ......あまりものだし......
sub-meguru1-1,talk,meguru,あまりものでも、食べ物の御恩は一生かけて......
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,fg,survivor04,right-left,0.5,default,mask
sub-meguru1-1,talk,meguru,......あ
sub-meguru1-1,talk,meguru,そーだ
sub-meguru1-1,talk,meguru,ねぇ！
sub-meguru1-1,talk,meguru,これ、あげる！
sub-meguru1-1,talk,natsuno,......？
sub-meguru1-1,talk,natsuno,絵......？
sub-meguru1-1,talk,meguru,そ！
sub-meguru1-1,talk,meguru,うちが描いた絵！
sub-meguru1-1,talk,natsuno,え......
sub-meguru1-1,talk,natsuno,これ、描いたの......？
sub-meguru1-1,talk,natsuno,すご......
sub-meguru1-1,fg,survivor04,right-left,0.5,smile,mask
sub-meguru1-1,talk,meguru,でしょ！
sub-meguru1-1,talk,meguru,いけてるっしょ！
sub-meguru1-1,talk,natsuno,でも、もらっていいの？
sub-meguru1-1,fg,survivor04,right-left,0.5,default,mask
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,talk,meguru,............
sub-meguru1-1,fg,survivor04,right-left,0.5,depress,mask
sub-meguru1-1,talk,meguru,......いらない？
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,fg,survivor04,right-left,0.5,despair,mask
sub-meguru1-1,talk,meguru,そうだよね......
sub-meguru1-1,talk,meguru,こんなの、いらないですよね......
sub-meguru1-1,talk,meguru,すみません......
sub-meguru1-1,talk,meguru,消えてなくなります......
sub-meguru1-1,talk,meguru,来世はコモドオオトカゲに......
sub-meguru1-1,fg,survivor00,right-right,0.5,zito
sub-meguru1-1,talk,natsuno,い、いや......
sub-meguru1-1,talk,natsuno,もらうよ......
sub-meguru1-1,talk,natsuno,いただきます......
sub-meguru1-1,fg,survivor04,right-left,0.5,smile,mask
sub-meguru1-1,talk,meguru,まじ？
sub-meguru1-1,talk,meguru,大事にしてね！
sub-meguru1-1,fg,survivor00,right-right,0.5,default
sub-meguru1-1,talk,natsuno,う、うん......
sub-meguru1-1,fg,survivor04,right-left,0.5,default,mask
sub-meguru1-1,talk,meguru,うち、ふらふら旅しながら絵描いてるからさ
sub-meguru1-1,talk,meguru,自分で描いた絵だけじゃなくて、いろいろ、珍しいもの持ってんだよね
sub-meguru1-1,talk,meguru,ま、全部、その辺の町で拾ったもんなんだけど......
sub-meguru1-1,talk,meguru,もしまた会ったらさ、ナツノちゃんが持ってるものと交換したげる！
sub-meguru1-1,talk,natsuno,え......？
sub-meguru1-1,talk,natsuno,うん......
sub-meguru1-1,fg,survivor04,right-left,0.5,smile,mask
sub-meguru1-1,talk,meguru,じゃ、また！
sub-meguru1-1,talk,meguru,うちのこと見かけたら、声かけてよね！
sub-meguru1-1,talk,natsuno,え......
sub-meguru1-1,talk,meguru,......
sub-meguru1-1,fg,survivor04,right-left,0.5,sad,mask
sub-meguru1-1,talk,meguru,......で、できれば......
sub-meguru1-1,talk,meguru,......無視は、しないでほしいっす......
sub-meguru1-1,fg,survivor00,right-right,0.5,zito
sub-meguru1-1,talk,natsuno,うん......
sub-meguru1-1,talk,natsuno,見かけたら、声、かけるよ......
sub-meguru1-1,fg,survivor04,right-left,0.5,default,mask
sub-meguru1-1,talk,meguru,おっけーい！
sub-meguru1-1,talk,meguru,じゃ、またね！
sub-meguru1-1,fg,survivor04,right-left,0.5,smile,mask
sub-meguru1-1,talk,meguru,ばいばーい！
sub-meguru1-1,fgRemove,survivor04,1.0
sub-meguru1-1,wait,1
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,talk,natsuno,......なんなんだろ
sub-meguru1-1,talk,natsuno,変な人......
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,fg,survivor00,right-right,0.5,default
sub-meguru1-1,talk,natsuno,でも......
sub-meguru1-1,talk,natsuno,この絵は......ほんとに、いい絵だな......
sub-meguru1-1,talk,natsuno,好きかも
sub-meguru1-1,talk,natsuno,車の中に飾っとこ
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,talk,natsuno,......また、どこかで会えたりするかな
sub-meguru1-1,talk,natsuno,会えるというか、会っちゃうというか......
sub-meguru1-1,talk,natsuno,......
sub-meguru1-1,fg,survivor00,right-right,0.5,zito
sub-meguru1-1,talk,natsuno,......会える気がする
sub-meguru1-1,talk,natsuno,なんとなく
sub-meguru1-1,wait,1
sub-meguru1-1,pushItemHouse,collection01
sub-meguru1-1,end,questSuccess
-
