id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main3-1,bg,location05
main3-5,playBgm,scenario01
main3-5,fg,survivor00,right-right,0,doubt
main3-5,talk,natsuno,......ね
main3-5,talk,natsuno,向こうに、誰かいるみたい......
main3-5,talk,natsuno,感染者......じゃないよね
main3-5,talk,natsuno,それにしては静かだし
main3-5,talk,natsuno,生きてる人っぽい......
main3-5,talk,natsuno,......
main3-5,fg,survivor00,right-right,0,serious
main3-5,talk,natsuno,......なんか
main3-5,talk,natsuno,前にも、こんなことあったよね
main3-5,talk,natsuno,......アカネさんと初めて会ったときかな
main3-5,talk,natsuno,......
main3-5,talk,natsuno,............
main3-5,talk,natsuno,......ふぅ
main3-5,talk,natsuno,よし
main3-5,talk,natsuno,行ってみる
main3-5,wait,1
main3-5,fadeOut,1
main3-5,newPage
main3-5,fgClear
main3-5,wait,1
main3-5,fadeIn,1
main3-5,wait,2
main3-5,fg,survivor00,right-right,0.5,default
main3-5,talk,natsuno,......！
main3-5,pauseBgm
main3-5,talk,natsuno,......
main3-5,fg,survivor00,right-right,0.5,serious
main3-5,talk,natsuno,......うそ
main3-5,talk,natsuno,......
main3-5,talk,natsuno,......アカネ、さん？
main3-5,wait,1
main3-5,talk,akane,わ
main3-5,fg,survivor03,right-left,0.5,default
main3-5,talk,akane,え？
main3-5,talk,akane,えー......
main3-5,talk,akane,......アタシ、いよいよ幻見えるようになっちゃった......？
main3-5,talk,akane,......
main3-5,fg,survivor03,right-left,0.5,serious
main3-5,talk,akane,来るとこまで、来ちゃったなー......
main3-5,talk,natsuno,......
main3-5,talk,akane,......
main3-5,talk,natsuno,......
main3-5,talk,akane,......え？
main3-5,wait,2
main3-5,fadeOut,1
main3-5,newPage
main3-5,fg,survivor00,right-right,0,depress
main3-5,fg,survivor03,right-left,0,smile
main3-5,wait,1
main3-5,fadeIn,1
main3-5,playBgm,character03
main3-5,talk,akane,あははっ
main3-5,talk,akane,はははははっ
main3-5,talk,akane,はーっ
main3-5,talk,akane,あは
main3-5,talk,akane,もー
main3-5,talk,akane,そんな、泣かないでよ、ナツノちゃん
main3-5,talk,akane,よーしよし
main3-5,fg,survivor00,right-right,0.5,zito
main3-5,talk,natsuno,......
main3-5,talk,natsuno,......泣いてない
main3-5,talk,natsuno,うるっときたけど
main3-5,talk,natsuno,アカネさんが目の前で爆笑するから......引っ込んだ
main3-5,talk,akane,あはは
main3-5,talk,akane,そりゃ残念
main3-5,talk,natsuno,......
main3-5,fg,survivor00,right-right,0.5,doubt
main3-5,talk,natsuno,......あーあ
main3-5,talk,natsuno,なんか、心配して損したな
main3-5,fg,survivor03,right-left,0.5,default
main3-5,talk,akane,心配してくれたんだ
main3-5,talk,akane,かわいいじゃん
main3-5,fg,survivor00,right-right,0.5,serious
main3-5,talk,natsuno,......
main3-5,talk,natsuno,......で
main3-5,talk,natsuno,何してたの？
main3-5,talk,natsuno,なんか、その調子じゃ、トラブルに巻き込まれて......って感じじゃなさそうだけど
main3-5,fg,survivor03,right-left,0.5,smile
main3-5,talk,akane,やー、トラブルだよトラブル
main3-5,talk,akane,困っちゃったもんね
main3-5,talk,akane,勢いで飛び出したはいいものの
main3-5,talk,akane,帰り道わかんなくなっちゃうんだもん
main3-5,talk,akane,やー、ナツノちゃんに会えてよかったー
main3-5,fg,survivor00,right-right,0.5,zito
main3-5,talk,natsuno,......
main3-5,talk,akane,......そんな目で見られても、これはホントなんだもん
main3-5,talk,akane,アタシ、嘘つかない
main3-5,talk,natsuno,......
main3-5,fg,survivor00,right-right,0.5,serious
main3-5,talk,natsuno,......何してたの？
main3-5,talk,natsuno,何してたのっていうか......なんで、いきなりいなくなったの？
main3-5,fg,survivor03,right-left,0.5,default
main3-5,talk,akane,別に、いなくなるつもりはなかったんだ
main3-5,talk,akane,すぐ......少なくとも三日くらいで帰るつもりだったけど、帰り道がわからなくなったっていうのは本当
main3-5,talk,akane,何してたかっていうと......
main3-5,talk,akane,......これ
main3-5,fg,survivor00,right-right,0.5,default
main3-5,talk,natsuno,......これって......
main3-5,talk,natsuno,......ラジオ？
main3-5,talk,akane,そ
main3-5,talk,akane,ラジオ
main3-5,talk,akane,これ、探してたの
main3-5,talk,akane,前に一度見つけてて、でもそのとき余裕がなくて持ち帰れなかったの思い出して
main3-5,talk,akane,それで、探しに出かけたってわけ
main3-5,talk,natsuno,......ただのラジオのために？
main3-5,talk,natsuno,そんなの、他にも......
main3-5,talk,akane,ただのラジオじゃあ、ないんだな
main3-5,fg,survivor00,right-right,0.5,serious
main3-5,talk,natsuno,......もしかして
main3-5,talk,akane,そ
main3-5,pauseBgm
main3-5,fg,survivor03,right-left,0.5,serious
main3-5,talk,akane,これ──
main3-5,talk,akane,人の身体の中から出てきた、ラジオ
main3-5,appendSurvivor,akane
main3-5,end,ending,main3
-,,,
