id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main12-1,bg,scenario01
main12-4,talk,,祖母も──そういう人々の一人だった。
main12-4,wait,1
main12-4,fadeOutTextLine
main12-4,newPage
main12-4,fadeInTextLine
main12-4,wait,1
main12-4,talk,,どんな世界なのか、中を見ることもできないのに、何が楽しいんだろう──
main12-4,talk,,そう思いながら、祖母の兄は、妹がコンピュータをいじる様子を見ていたという。
main12-4,talk,,そのときのことは、今でもよく憶えていると、
main12-4,talk,,彼は、微笑みながら語った。
main12-4,wait,1
main12-4,fadeOutTextLine
main12-4,newPage
main12-4,fadeInTextLine
main12-4,pauseBgm
main12-4,wait,1
main12-4,talk,,だから、それは、
main12-4,talk,,ただの興味で。
main12-4,talk,,目新しさで。
main12-4,talk,,意味も、理由もなく。
main12-4,talk,,先月のバイト代くらいの手軽さで──
main12-4,wait,1
main12-4,talk,,祖母は、世界をつくった。
main12-4,wait,3
main12-4,end,questSuccess
-,,,
main12-5,bg,scenario23
main12-5,fgClear
main12-5,playBgm,environment02
main12-5,wait,8
main12-5,talk,natsuno,......
main12-5,talk,natsuno,............
main12-5,talk,natsuno,......なんとなく
main12-5,talk,natsuno,......思ってた
main12-5,talk,natsuno,そうなんじゃないかな、って
main12-5,talk,natsuno,そうかもしれない......って
main12-5,talk,natsuno,でも......そうじゃなかったらいいなって......思ってた
main12-5,talk,natsuno,......
main12-5,wait,1
main12-5,talk,natsuno,......そうだよね
main12-5,talk,natsuno,だって
main12-5,talk,natsuno,そんなわけ、ないもんね
main12-5,talk,natsuno,世の中は......
main12-5,talk,natsuno,わたしたちの生きてる世界は、
main12-5,talk,natsuno,こんなに理不尽で......
main12-5,talk,natsuno,......どうしようもないんだもん
main12-5,talk,natsuno,小説とか、映画の『物語』みたいに
main12-5,talk,natsuno,きれいにまとまってるわけ、ないよね
main12-5,talk,natsuno,......
main12-5,talk,natsuno,だから
main12-5,talk,natsuno,それって......
main12-5,talk,natsuno,......
main12-5,wait,1
main12-5,talk,natsuno,あなたのおばあさんが、この世界をつくったのも
main12-5,talk,natsuno,そのコンピュータを、あなたが見つけたのも
main12-5,talk,natsuno,そのとき、わたしのスマホと繋がったのも
main12-5,talk,natsuno,今、こうやって......わたしが生きてるのも
main12-5,talk,natsuno,全部......
main12-5,talk,natsuno,......
main12-5,pauseBgm
main12-5,wait,2
main12-5,talk,natsuno,理由なんかない
main12-5,talk,natsuno,意味なんかない
main12-5,talk,natsuno,ただの──
main12-5,wait,1
main12-5,talk,natsuno,偶然ってこと......でしょ？
main12-5,wait,5
main12-5,end,ending,main12
-,,,
