id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
akane1-1,bg,scenario15
akane1-1,fg,survivor00,right-right,0.5,zito
akane1-1,talk,natsuno,......
akane1-1,talk,akane,......ナツノちゃん
akane1-1,talk,akane,もしかして
akane1-1,fg,survivor03,right-left,0.5,smile
akane1-1,talk,akane,妬いてる？
akane1-1,talk,natsuno,......
akane1-1,talk,natsuno,......そういうのじゃない
akane1-1,wait,1
akane1-1,appendSurvivor,akane
akane1-1,end,questSuccess
-,,,
akane1-2,bg,scenario15
akane1-2,talk,natsuno,それが効くの？
akane1-2,fg,survivor03,right-left,0.5
akane1-2,playBgm,character03
akane1-2,talk,akane,んー......
akane1-2,talk,akane,なんか、そうっぽいんだよね
akane1-2,talk,akane,これ、ほんとは直接かけたり塗ったりする薬じゃないんだけど
akane1-2,talk,akane,注射するより、直接かけた方が痛みが和らぐんだ
akane1-2,talk,akane,ま、やっぱ普通の傷とか病気とはわけがちがうから
akane1-2,talk,akane,何ごとも、試してみなきゃだね
akane1-2,talk,akane,......
akane1-2,talk,akane,......んー
akane1-2,talk,akane,いいね
akane1-2,talk,akane,立って歩くくらいなら、平気そう
akane1-2,talk,natsuno,......
akane1-2,talk,natsuno,......よかった
akane1-2,talk,akane,ま、痛みが和らぐってだけで
akane1-2,talk,akane,治ったり、侵食が緩やかになったりしないし
akane1-2,talk,akane,何も解決してないんだけどね
akane1-2,talk,natsuno,......
akane1-2,fg,survivor00,right-right,0.5,depress
akane1-2,talk,natsuno,......アカネさん
akane1-2,talk,natsuno,やっぱり、その足──
akane1-2,wait,1
akane1-2,talk,akane,ねぇ
akane1-2,fg,survivor03,right-left,0.5,serious
akane1-2,talk,akane,......ナツノちゃんはさ
akane1-2,fg,survivor00,right-right,0.5,default
akane1-2,talk,natsuno,うん......？
akane1-2,playBgm,scenario03
akane1-2,fg,survivor03,right-left,0.5,default
akane1-2,talk,akane,ナツノちゃんは......アタシと会う前、どうして、一人で旅してたわけ？
akane1-2,talk,natsuno,どうしてって......
akane1-2,talk,natsuno,別に、理由なんかないよ
akane1-2,talk,natsuno,お父さんとお母さんとはぐれて
akane1-2,talk,natsuno,一人になって
akane1-2,talk,natsuno,そのまま、成り行きで......
akane1-2,talk,akane,......
akane1-2,talk,akane,どんな感じだった？
akane1-2,fg,survivor00,right-right,0.5,default
akane1-2,talk,natsuno,どんな感じ......？
akane1-2,talk,natsuno,どういう意味？
akane1-2,talk,natsuno,......
akane1-2,talk,natsuno,......別に、普通だよ
akane1-2,talk,natsuno,誰もいない町で、食べ物とか探しながら
akane1-2,talk,natsuno,行くあてもなく、うろうろしてただけ......
akane1-2,talk,natsuno,どんな感じ、って言われても......
akane1-2,talk,akane,......
akane1-2,talk,akane,......そーだよね
akane1-2,talk,akane,ごめん
akane1-2,talk,natsuno,......あー
akane1-2,talk,natsuno,でも
akane1-2,talk,natsuno,自給自足とか
akane1-2,talk,natsuno,できればいいのかな、って思ったりしたかも
akane1-2,talk,akane,......何？　どういうこと？
akane1-2,talk,natsuno,農業っていうか
akane1-2,talk,natsuno,自分で食べるもの、自分で育てられたら
akane1-2,talk,natsuno,そういう生活もありかな......みたいな？
akane1-2,talk,akane,......
akane1-2,fg,survivor03,right-left,0.5,serious
akane1-2,talk,akane,......ナツノちゃんって
akane1-2,talk,akane,ほんと、たくましいなぁ
akane1-2,wait,2
akane1-2,end,questSuccess
-,,,
akane1-3,bg,scenario15
akane1-3,playBgm,character03
akane1-3,fg,survivor03,right-left,1.0
akane1-3,talk,akane,ナツノちゃんってさ
akane1-3,talk,natsuno,......なに？
akane1-3,talk,akane,......
akane1-3,talk,akane,......うーん
akane1-3,talk,akane,なんだかなー
akane1-3,talk,natsuno,......？
akane1-3,talk,natsuno,なに？
akane1-3,fg,survivor03,right-left,0.5,serious
akane1-3,talk,akane,ナツノちゃんって
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,何言っても、びみょーなリアクションしか返ってきそうにないしなー
akane1-3,fg,survivor00,right-right,0.5,zito
akane1-3,talk,natsuno,......めっちゃ失礼
akane1-3,talk,natsuno,なに？　言ってよ。気になるじゃん
akane1-3,fg,survivor03,right-left,0.5,default
akane1-3,talk,akane,......
akane1-3,talk,akane,......ナツノちゃんって
akane1-3,talk,akane,悩みごととか、なさそうだよね
akane1-3,talk,natsuno,......まじで失礼なんですけど
akane1-3,talk,akane,じゃ、あるの？　悩みごと
akane1-3,talk,natsuno,......アカネさんにからかわれること、とか
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,ははは
akane1-3,talk,akane,......ほら
akane1-3,fg,survivor03,right-left,0.5,default
akane1-3,talk,akane,ないじゃん
akane1-3,fg,survivor00,right-right,0.5,serious
akane1-3,talk,natsuno,......アカネさんは
akane1-3,talk,natsuno,何か、悩んでるの？
akane1-3,pauseBgm
akane1-3,fg,survivor03,right-left,0.5,serious
akane1-3,talk,akane,......
akane1-3,talk,akane,......何やってるんだろ、って
akane1-3,talk,akane,ずっと......思ってるよ
akane1-3,talk,natsuno,......？
akane1-3,talk,natsuno,何やってるんだろ、って......どういうこと？
akane1-3,talk,akane,......アタシはさ
akane1-3,playBgm,scenario04
akane1-3,fg,survivor03,right-left,0.5,default
akane1-3,talk,akane,ちょー優秀だったわけ
akane1-3,talk,akane,勉強も、スポーツも、なんでも
akane1-3,talk,akane,要領がいいもんでね
akane1-3,talk,akane,なんだって、人よりうまくできちゃうわけよ
akane1-3,talk,akane,失敗した、とか、うまくいかなかった、とか
akane1-3,talk,akane,そういうの、よくわかんないやって本気で思ってるくらい
akane1-3,talk,akane,優秀なんだよ
akane1-3,talk,natsuno,......
akane1-3,fg,survivor00,right-right,0.5,zito
akane1-3,talk,natsuno,......え、自慢？
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,じまーん
akane1-3,fg,survivor03,right-left,0.5,serious
akane1-3,talk,akane,......
akane1-3,talk,akane,でもさ
akane1-3,talk,akane,世の中がこんなことになるのを
akane1-3,talk,akane,どうにも、できなかったんだよね
akane1-3,talk,akane,いろいろ聞いて、調べて、走り回って
akane1-3,talk,akane,でも、結局、何にもならなかった
akane1-3,talk,akane,......
akane1-3,talk,akane,もしかしたら......
akane1-3,talk,akane,アタシにとって、初めての
akane1-3,talk,akane,どうにもできなかったこと......かも、しれないんだ
akane1-3,talk,akane,......
akane1-3,talk,akane,......って言ったら
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,どう思う？
akane1-3,fg,survivor00,right-right,0.5,serious
akane1-3,talk,natsuno,......
akane1-3,talk,natsuno,......正直
akane1-3,talk,natsuno,すごい、って思う
akane1-3,fg,survivor03,right-left,0.5,default
akane1-3,talk,akane,......そうなの？
akane1-3,talk,natsuno,世の中のこと、っていうか
akane1-3,talk,natsuno,こんなに大変なことを......そんな風に、自分がどうにかできたかも、って思えるのって
akane1-3,talk,natsuno,すごいよ
akane1-3,fg,survivor00,right-right,0.5,depress
akane1-3,talk,natsuno,わたしは......そんな風に思えないもん
akane1-3,talk,natsuno,身近なことだけど......でも、なんか他人ごとっていうか
akane1-3,talk,natsuno,自分にはどうしようもないことだって......たぶん、思ってる
akane1-3,fg,survivor00,right-right,0.5,serious
akane1-3,talk,natsuno,全然、わかんないけど
akane1-3,talk,natsuno,アカネさんのこと、ちょっと尊敬したかも
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,えー？
akane1-3,talk,akane,はっはっは
akane1-3,talk,akane,もっと尊敬したまえ
akane1-3,fg,survivor00,right-right,0.5,smile
akane1-3,talk,natsuno,......もう
akane1-3,talk,natsuno,そういうこと、言うから
akane1-3,pauseBgm
akane1-3,fg,survivor03,right-left,0.5,default
akane1-3,talk,akane,......
akane1-3,talk,akane,......ま
akane1-3,playBgm,character03
akane1-3,fg,survivor03,right-left,0.5,smile
akane1-3,talk,akane,うそだけどねー
akane1-3,fg,survivor00,right-right,0.5,zito
akane1-3,talk,natsuno,......えー
akane1-3,talk,natsuno,ほんとに、すごいなって思ってたのに......
akane1-3,talk,natsuno,......
akane1-3,fg,survivor00,right-right,0.5,default
akane1-3,talk,natsuno,......でも
akane1-3,talk,natsuno,ちょっとは
akane1-3,talk,natsuno,本当......でしょ？
akane1-3,pauseBgm
akane1-3,talk,akane,......
akane1-3,talk,akane,............
akane1-3,fg,survivor03,right-left,0.5,serious
akane1-3,talk,akane,......だからさ
akane1-3,talk,akane,アタシ、何やってるんだろ、って
akane1-3,talk,akane,......今、思っちゃうんだ
akane1-3,wait,3
akane1-3,end,questSuccess
-,,,
akane1-4,bg,scenario15
akane1-4,talk,natsuno,......で
akane1-4,talk,natsuno,結局、アカネさん
akane1-4,talk,natsuno,何に、悩んでるわけ？
akane1-4,playBgm,character03
akane1-4,fg,survivor03,right-left,1.0
akane1-4,talk,akane,えー？
akane1-4,talk,akane,んー
akane1-4,fg,survivor03,right-left,0.5,smile
akane1-4,talk,akane,ナツノちゃんの愛に応えるべきかどうか......とか？
akane1-4,fg,survivor00,right-right,0.5,zito
akane1-4,talk,natsuno,そういうのいいから
akane1-4,fg,survivor03,right-left,0.5,default
akane1-4,talk,akane,つめたっ
akane1-4,talk,natsuno,冷たくもなるよ
akane1-4,talk,natsuno,アカネさん、なんも教えてくれないんだもん
akane1-4,talk,akane,教えたじゃーん
akane1-4,talk,akane,自分が天才すぎてつらいってー
akane1-4,talk,natsuno,嘘だって言ってたじゃん
akane1-4,talk,akane,そーだけどさー
akane1-4,talk,natsuno,......
akane1-4,talk,natsuno,......アカネさんさ
akane1-4,talk,natsuno,......
akane1-4,pauseBgm
akane1-4,fg,survivor00,right-right,0.5,serious
akane1-4,talk,natsuno,どっか、行こうとしてるでしょ
akane1-4,fg,survivor03,right-left,0.5,serious
akane1-4,talk,akane,......
akane1-4,talk,akane,......さて
akane1-4,talk,akane,どうだろうね
akane1-4,talk,natsuno,......
akane1-4,fg,survivor00,right-right,0.5,depress
akane1-4,talk,natsuno,話してよ
akane1-4,talk,natsuno,話聞くくらい......
akane1-4,talk,natsuno,わたしにだって、できるよ......
akane1-4,talk,akane,......
akane1-4,talk,akane,......ごめんね
akane1-4,talk,akane,なんか、嫌な思いさせちゃった......よね
akane1-4,talk,natsuno,嫌っていうか......
akane1-4,talk,akane,......
akane1-4,playBgm,scenario03
akane1-4,fg,survivor03,right-left,0.5,default
akane1-4,talk,akane,......アタシ、天才なんだよ
akane1-4,talk,natsuno,......うん
akane1-4,talk,akane,......や、冗談なんだけど
akane1-4,talk,natsuno,......
akane1-4,fg,survivor03,right-left,0.5,serious
akane1-4,talk,akane,......まぁでも
akane1-4,fg,survivor03,right-left,0.5,default
akane1-4,talk,akane,要領はよくってさ
akane1-4,talk,akane,小さい頃から
akane1-4,talk,akane,いろんなことに興味もあったし
akane1-4,talk,akane,自分でいろいろ調べたり、試したり......一人で走り回ってる子供だったんだ
akane1-4,talk,akane,そんなだから
akane1-4,talk,akane,学校の勉強とか、人よりできたし
akane1-4,talk,akane,学校とか、親からやっとけって言われたこと、ぱぱっとやっちゃって
akane1-4,talk,akane,テスト勉強とかいらなかったし
akane1-4,talk,akane,高校受験も、大学受験も、就活も、なんにも苦労したことなくて
akane1-4,talk,akane,苦労しなかったことは......まぁ、いいんだけど
akane1-4,fg,survivor03,right-left,0.5,serious
akane1-4,talk,akane,でも......
akane1-4,talk,akane,......自分で、何かを選んだことないっていうか
akane1-4,talk,akane,なんでも、できちゃうからさ
akane1-4,talk,akane,そのとき、一番よさそうなのを選ぶだけでよかったから
akane1-4,talk,akane,大学も、就職も、他のも全部
akane1-4,talk,akane,ほんと、贅沢な話だけどね
akane1-4,talk,akane,でも、それって
akane1-4,talk,akane,全部、決められた道の上を歩いてた感じで
akane1-4,talk,akane,他の人が、こうするといいよっていうのを
akane1-4,talk,akane,これがいい大学で、これが社会の役に立つことだよって誰かが言ってることを
akane1-4,talk,akane,やってただけ......なんだよ
akane1-4,talk,akane,......
akane1-4,pauseBgm
akane1-4,talk,akane,だから......
akane1-4,talk,akane,アタシの身体が、こんなことになって
akane1-4,talk,akane,アタシ、初めて......考えてるんだ
akane1-4,playBgm,scenario02
akane1-4,talk,akane,アタシは、何をやってるんだろうって
akane1-4,talk,akane,何をやればいいんだろう、っていうか
akane1-4,talk,akane,どうやって生きればいいんだろう......みたいな
akane1-4,talk,akane,......
akane1-4,talk,akane,生きてる意味とか、理由とか
akane1-4,talk,akane,そういうのは、別になくていいって思う
akane1-4,talk,akane,だって、アタシたちは今、もう生きてるんだから
akane1-4,talk,akane,このまま、生きていったらいいよ
akane1-4,talk,akane,......
akane1-4,talk,akane,......でも
akane1-4,talk,akane,生きるとして、
akane1-4,talk,akane,どう生きたらいいんだろうって
akane1-4,talk,akane,どう生きるべきなんだろうって
akane1-4,talk,akane,......思っちゃうんだ
akane1-4,talk,akane,......
akane1-4,fgRemove,survivor03,1.0
akane1-4,fgRemove,survivor00,1.0
akane1-4,talk,akane,......はぁ
akane1-4,talk,akane,......
akane1-4,talk,akane,アタシは......
akane1-4,talk,akane,どうすればいいんだろ
akane1-4,talk,akane,なんなんだろーなー......
akane1-4,talk,akane,アタシの
akane1-4,talk,akane,......やるべきこと
akane1-4,wait,2
akane1-4,end,questSuccess
-,,,
akane1-5,bg,scenario13
akane1-5,playBgm,environment01
akane1-5,talk,natsuno,......アカネさん？
akane1-5,talk,natsuno,何、してるの？
akane1-5,fg,survivor03,right-left,1.0,serious
akane1-5,talk,akane,しっ......
akane1-5,talk,natsuno,......？
akane1-5,talk,akane,ほら......
akane1-5,talk,akane,......あそこ
akane1-5,fg,survivor00,right-right,0.5,serious
akane1-5,talk,natsuno,......え
akane1-5,talk,natsuno,感染者だ......
akane1-5,talk,natsuno,......
akane1-5,talk,natsuno,......アカネさん、何してるの？
akane1-5,talk,natsuno,懐中電灯なんか持って......
akane1-5,talk,akane,......見ててよ
akane1-5,talk,akane,あの感染者、
akane1-5,talk,akane,懐中電灯で、暗闇を照らすと反応するんだ
akane1-5,talk,natsuno,......ほんとだ
akane1-5,talk,natsuno,照らした方、向いたね
akane1-5,talk,akane,でも、照らしてる分には、それだけ
akane1-5,talk,akane,それ以上、何もしない
akane1-5,talk,akane,けど、照らす場所を変えたり、明かりを点滅させると......
akane1-5,talk,natsuno,......あ
akane1-5,talk,natsuno,動いた......
akane1-5,talk,natsuno,......
akane1-5,talk,natsuno,......それが、何？
akane1-5,talk,akane,あの感染者、たぶん......
akane1-5,talk,akane,......
akane1-5,fg,survivor00,right-right,0.5,doubt
akane1-5,talk,natsuno,......え、ちょっと
akane1-5,talk,natsuno,アカネさん、危ないよ......
akane1-5,talk,natsuno,ちょっと......
akane1-5,talk,akane,......
akane1-5,fg,survivor00,right-right,0.5,default
akane1-5,talk,natsuno,え......
akane1-5,talk,akane,......ほらね
akane1-5,talk,akane,目の前まで来ても、アタシには反応しない
akane1-5,talk,akane,たぶん音も聞こえてない
akane1-5,talk,natsuno,......耳が聞こえてなくて、目が悪いってこと......？
akane1-5,talk,akane,そうかもね
akane1-5,talk,akane,目は開いてるけど、瞳孔は開ききってる......
akane1-5,talk,akane,......懐中電灯の光も、目で見てるわけじゃないのかも......
akane1-5,talk,akane,......
akane1-5,fg,survivor00,right-right,0.5,doubt
akane1-5,talk,natsuno,......でも、危ないよ
akane1-5,talk,natsuno,いきなり襲ってくるかもだし
akane1-5,talk,natsuno,早く離れよう、アカネさん......
akane1-5,talk,akane,......喉ぼとけの辺りから、鉱石みたいなものが生えてきてる......
akane1-5,talk,akane,......もしかして、ここで光を......
akane1-5,talk,akane,わっ......！
akane1-5,fg,survivor00,right-right,0.5,serious
akane1-5,talk,natsuno,アカネさん！
akane1-5,talk,akane,......あっぶな
akane1-5,talk,akane,やっぱり、この鉱石を照らすと反応する......
akane1-5,talk,akane,......
akane1-5,talk,natsuno,アカネさん！
akane1-5,talk,akane,あ
akane1-5,talk,akane,ごめん......そーだね
akane1-5,talk,akane,行こっか......
akane1-5,talk,akane,......
akane1-5,wait,1
akane1-5,fadeOut,1
akane1-5,newPage
akane1-5,fg,survivor03,right-left,0,default
akane1-5,wait,1
akane1-5,bg,scenario15
akane1-5,playBgm,character03
akane1-5,fadeIn,1
akane1-5,talk,natsuno,......もう
akane1-5,talk,natsuno,アカネさん、よく今まで生きてこれたよね
akane1-5,talk,natsuno,ほんと......いっそ尊敬しちゃう
akane1-5,talk,akane,......はは
akane1-5,talk,akane,何それ
akane1-5,talk,natsuno,アカネさんと最初に会ったとき
akane1-5,talk,natsuno,アカネさん、わたしにそんなこと言ってたけど
akane1-5,talk,natsuno,やっぱり、アカネさんだって一緒じゃん
akane1-5,talk,natsuno,アカネさんの方がもっと危なっかしい
akane1-5,fg,survivor03,right-left,0.5,smile
akane1-5,talk,akane,......ははは
akane1-5,talk,akane,そーかもね
akane1-5,fg,survivor03,right-left,0.5,default
akane1-5,talk,akane,ごめん、心配させちゃったね
akane1-5,talk,akane,ナツノちゃん、アタシのこと大好きだもんね
akane1-5,fg,survivor00,right-right,0.5,zito
akane1-5,talk,natsuno,......
akane1-5,talk,natsuno,......反省する気ある？
akane1-5,talk,akane,ごめんて
akane1-5,talk,akane,けど、やっぱ気になっちゃうんだ
akane1-5,talk,akane,性分でね
akane1-5,pauseBgm
akane1-5,fg,survivor03,right-left,0.5,serious
akane1-5,talk,akane,......
akane1-5,talk,akane,......ナツノちゃんと一緒じゃなかった間
akane1-5,talk,akane,他の人と旅してたって話、したよね
akane1-5,fg,survivor00,right-right,0.5,serious
akane1-5,talk,natsuno,......うん
akane1-5,talk,akane,......その人もさ
akane1-5,playBgm,scenario02
akane1-5,talk,akane,アタシと同じで
akane1-5,talk,akane,身体が変容しながら......それでも、まだ意識があって
akane1-5,talk,akane,なんとか生きてる人......だったんだ
akane1-5,talk,natsuno,......！
akane1-5,talk,natsuno,そう......なんだ
akane1-5,talk,akane,......
akane1-5,talk,akane,けど......
akane1-5,talk,akane,ある朝、起きたら
akane1-5,talk,akane,その人は......
akane1-5,talk,akane,もう、事切れてて
akane1-5,talk,akane,前の日まで、全然、元気そうだったのに......
akane1-5,talk,akane,......
akane1-5,talk,akane,......そのとき
akane1-5,talk,akane,すごく怖くなった
akane1-5,talk,akane,アタシも、いつか、同じように
akane1-5,talk,akane,夜眠ったら、次の日、目を覚まさないかもしれなくて
akane1-5,talk,akane,今、この瞬間にも、死んじゃうかもしれなくて
akane1-5,talk,akane,......そりゃ、怖いよね
akane1-5,talk,akane,......
akane1-5,talk,akane,......でも
akane1-5,talk,akane,それ以上に......
akane1-5,talk,akane,もし、アタシに、もっと知識があったら
akane1-5,talk,akane,感染者の身体のこと
akane1-5,talk,akane,変容してる身体のこと、もっとわかってたら、って
akane1-5,talk,akane,思ったんだ
akane1-5,talk,akane,アタシの身体は変容してて、誰より、この変容の近くにいて
akane1-5,talk,akane,この身体のことを、知ることができる
akane1-5,talk,akane,これでも一応、アタシには、みんなといろいろ調べてた頃の経験とか知識がある
akane1-5,talk,akane,調べていけば......
akane1-5,talk,akane,今まで誰にもわからなかったことが、
akane1-5,talk,akane,もしかしたら、何か、わかるかもしれない
akane1-5,talk,akane,......
akane1-5,talk,akane,......そうしたら
akane1-5,talk,akane,アタシ自身だけじゃなくて
akane1-5,talk,akane,同じように苦しんでる他の人も、助けられるかもしれないって
akane1-5,talk,akane,あのとき......思ったんだ
akane1-5,talk,natsuno,......
akane1-5,fg,survivor00,right-right,0.5,depress
akane1-5,talk,natsuno,......変だよ、アカネさん
akane1-5,talk,natsuno,自分の身体が、そんな風になってるときに、そんな......
akane1-5,talk,natsuno,他人のことなんか、考えないでよ......
akane1-5,talk,akane,......はは
akane1-5,talk,akane,確かにね
akane1-5,talk,akane,......ま
akane1-5,talk,akane,これもまた性分というか
akane1-5,talk,akane,アタシの、どうしようもないところ......なのかも
akane1-5,talk,natsuno,......
akane1-5,fg,survivor00,right-right,0.5,serious
akane1-5,talk,natsuno,......それが
akane1-5,talk,natsuno,アカネさんの、やるべきことだって
akane1-5,talk,natsuno,そういう、こと？
akane1-5,talk,akane,......
akane1-5,fg,survivor03,right-left,0.5,serious
akane1-5,talk,akane,......どうだろーね
akane1-5,talk,akane,感染者のこととか
akane1-5,talk,akane,身体の変容のこととか
akane1-5,talk,akane,調べたって、わかるわけなくない？　って気もするよ
akane1-5,talk,akane,何もかも偶然だっていうなら
akane1-5,talk,akane,結局、全部無駄に終わるかもしれない
akane1-5,talk,akane,や......
akane1-5,talk,akane,無駄に終わるだろうなって、思うよ
akane1-5,talk,akane,......
akane1-5,talk,akane,けど......
akane1-5,talk,akane,......そう
akane1-5,talk,akane,もし、結果として何にもならなかったとしても
akane1-5,talk,akane,何もしない、っていうのは......嫌だなって思う
akane1-5,talk,akane,だって
akane1-5,talk,akane,アタシは、まだ、生きてるんだ
akane1-5,wait,2
akane1-5,end,questSuccess
-,,,
akane1-6,bg,scenario15
akane1-6,playBgm,character03
akane1-6,fg,survivor03,right-left,1.0,serious
akane1-6,talk,akane,......
akane1-6,talk,akane,......ナツノちゃんさ
akane1-6,fg,survivor00,right-right,0.5,serious
akane1-6,talk,natsuno,......なに？
akane1-6,talk,akane,最近、めっちゃくっついてくるけど
akane1-6,fg,survivor03,right-left,0.5,default
akane1-6,talk,akane,何？　デレ期？
akane1-6,talk,natsuno,......
akane1-6,talk,akane,......うれしいけど
akane1-6,talk,akane,アタシのこと、好きすぎない？
akane1-6,talk,natsuno,......
akane1-6,fg,survivor00,right-right,0.5,depress
akane1-6,talk,natsuno,......そういうのじゃない
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......この前
akane1-6,talk,natsuno,アカネさん、感染者に近寄ったりして
akane1-6,talk,natsuno,危なっかしかったから
akane1-6,talk,natsuno,見張ってるだけ
akane1-6,fg,survivor03,right-left,0.5,smile
akane1-6,talk,akane,あはは
akane1-6,talk,akane,なるほどね
akane1-6,talk,akane,見張られてたのかー、これ
akane1-6,talk,akane,かたじけない
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......それに
akane1-6,pauseBgm
akane1-6,talk,natsuno,......朝起きたら死んじゃってたとか
akane1-6,talk,natsuno,そんな話、聞いたから
akane1-6,talk,natsuno,......ちょっと、怖い
akane1-6,talk,natsuno,アカネさんだって......
akane1-6,talk,natsuno,明日起きたとき、もしかしたらって思うと......
akane1-6,fg,survivor03,right-left,0.5,default
akane1-6,talk,akane,......
akane1-6,talk,akane,......そーだね
akane1-6,talk,akane,......ナツノちゃんはさ
akane1-6,playBgm,scenario03
akane1-6,talk,akane,どう思う？
akane1-6,fg,survivor00,right-right,0.5,serious
akane1-6,talk,natsuno,どう......って？
akane1-6,talk,akane,こんな、何もなくて
akane1-6,talk,akane,今日、このあと死んじゃうかもしれなくて
akane1-6,talk,akane,隣にいた人が、明日はいないかもしれない
akane1-6,talk,akane,そういう、どうしようもない世の中で
akane1-6,talk,akane,どう思う？
akane1-6,talk,akane,どう......するべきだと思う？
akane1-6,fg,survivor00,right-right,0.5,depress
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......わかんないよ
akane1-6,talk,natsuno,そんなの
akane1-6,talk,natsuno,わたし、アカネさんみたいに賢くないから
akane1-6,talk,natsuno,どうするべき、とか言われても......わかんないよ
akane1-6,talk,akane,......
akane1-6,fg,survivor03,right-left,0.5,serious
akane1-6,talk,akane,......アタシはさ
akane1-6,talk,akane,もし、自分に何かできることがあるなら
akane1-6,talk,akane,それをやるべきだと思う
akane1-6,talk,akane,......こんな風に思うのは、もしかしたら
akane1-6,talk,akane,子供の頃、親とか、先生とかに『人の役に立つことをしなさい』とか
akane1-6,talk,akane,そういうことを言われてきたせいかもしれない
akane1-6,talk,akane,こんな世の中になっても......アタシはまだ、そういうものから抜け出せないでいるって思う
akane1-6,talk,akane,全部忘れて、自由になって
akane1-6,talk,akane,もっといろいろ、できることがあるような、そんな気もする
akane1-6,talk,akane,......
akane1-6,talk,akane,......だけどさ
akane1-6,talk,akane,これが、アタシの人生なんだよね
akane1-6,talk,akane,要領がよくて、優秀で、親とか先生の言いつけをよく守って
akane1-6,talk,akane,気になったらそれしか見えなくなって......
akane1-6,talk,akane,感染者の身体のこと、気になって気になって、ナツノちゃんに怒られるくらいで
