id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
shop1-1,bg,scenario16
shop100-1,talk,natsuno,......さっき
shop100-1,talk,natsuno,そのへんで、拾っただけ
shop100-1,talk,natsuno,......
shop100-1,talk,natsuno,......珍しくて
shop100-1,talk,natsuno,......ちょっとだけ、浮かれて
shop100-1,talk,natsuno,試しに着てみてたら
shop100-1,talk,natsuno,メグルが来て......
shop100-1,talk,natsuno,......
shop100-1,talk,natsuno,......そういうのハロウィンでも着なさそうとか
shop100-1,talk,natsuno,なんか好き勝手に言われて
shop100-1,talk,natsuno,......今、めちゃめちゃ恥ずかしい
shop100-1,talk,meguru,......
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,............
shop100-1,fg,survivor04,right-left,0.5,despair,mask
shop100-1,talk,meguru,......ごめんなさい
shop100-1,talk,meguru,消えてなくなります......
shop100-1,talk,meguru,来世はペポカボチャに......
shop100-1,talk,natsuno,......
shop100-1,fg,survivor04,right-left,0.5,default,mask
shop100-1,talk,meguru,......と、ところで！
shop100-1,talk,meguru,トリック・オア・トリートって.......
shop100-1,fg,survivor00,right-right,0.5,default,devil
shop100-1,talk,natsuno,......？
shop100-1,talk,meguru,もし、仮に......
shop100-1,talk,meguru,か、仮に、っすよ？
shop100-1,talk,meguru,仮に......
shop100-1,talk,meguru,イタズラの方......だったら
shop100-1,talk,meguru,な、何してくれるんすか......？
shop100-1,talk,natsuno,......
shop100-1,talk,natsuno,............
shop100-1,fg,survivor00,right-right,0.5,shy,devil
shop100-1,talk,natsuno,......『してくれる』って、何？
shop100-1,talk,natsuno,......
shop100-1,talk,natsuno,......気持ち悪いんだけど
shop100-1,fg,survivor04,right-left,0.5,depress,mask
shop100-1,talk,meguru,！！
shop100-1,fg,survivor04,right-left,0.5,despair,mask
shop100-1,talk,meguru,ありがとうございます......！！
shop100-1,talk,natsuno,......
shop100-1,talk,natsuno,......なにが？
shop100-1,fg,survivor04,right-left,0.5,sad,mask
shop100-1,talk,meguru,......じゃなくて！
shop100-1,fg,survivor04,right-left,0.5,default,mask
shop100-1,talk,meguru,そ、そうだよね！　へへ！
shop100-1,talk,meguru,じゃあ、これ......
shop100-1,talk,meguru,あげる！
shop100-1,fg,survivor00,right-right,0.5,default,devil
shop100-1,talk,natsuno,え......
shop100-1,talk,natsuno,......<red>オバケのキャンディー</red>？
shop100-1,talk,natsuno,......いつも思うけど
shop100-1,talk,natsuno,よくこんなの持ってるね......
shop100-1,talk,meguru,まぁね！
shop100-1,talk,meguru,そのへんで拾っただけだけど......
shop100-1,talk,natsuno,......
shop100-1,talk,meguru,......
shop100-1,fg,survivor00,right-right,0.5,shy,devil
shop100-1,talk,natsuno,......恥ずかしいから
shop100-1,talk,natsuno,もう、着替えてくる
shop100-1,wait,1
shop100-1,fgRemove,survivor00,1.0
shop100-1,wait,1
shop100-1,pauseBgm
shop100-1,talk,meguru,......
shop100-1,talk,meguru,............
shop100-1,talk,meguru,......やべ
shop100-1,fg,survivor04,right-left,0.5,despair,mask
shop100-1,talk,meguru,鼻血出てきた
shop100-1,wait,1
shop100-1,fgRemove,survivor04,1.0
shop100-1,wait,1
shop100-1,talk,meguru,......
shop100-1,talk,meguru,サイコーじゃん......
shop100-1,wait,2
shop100-1,pushItemHouseUnique,collection102
shop100-1,end,questSuccess
-,,,
