id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
shino2-1,bg,scenario05
shino2-2,pauseBgm
shino2-2,wait,1
shino2-2,talk,shino,バイクに乗った、めっっっっちゃきれいなお姉さん！
shino2-2,talk,natsuno,......
shino2-2,talk,natsuno,......え？
shino2-2,wait,2
shino2-2,fadeOut,1
shino2-2,newPage
shino2-2,fg,survivor00,right-right,0,default
shino2-2,fg,survivor02,right-left,0,default
shino2-2,wait,1
shino2-2,fadeIn,1
shino2-2,playBgm,character02
shino2-2,talk,shino,えー！
shino2-2,talk,shino,じゃあ、ヒナセさんが言ってた、前に会ったかわいい女の子ってナツノちゃんなの？
shino2-2,talk,natsuno,シノを故郷まで乗せてくれた人、ヒナセさんなの......？
shino2-2,talk,shino,はぇー
shino2-2,talk,shino,こりゃまた
shino2-2,talk,shino,すんごい偶然
shino2-2,talk,natsuno,そいえば、ヒナセさん、山の中の町に行きたいとか言ってたような......
shino2-2,talk,shino,そう！
shino2-2,talk,shino,じゃあ、ちょうどいいじゃんって話になって
shino2-2,talk,shino,長野まで乗せてくれたの
shino2-2,talk,natsuno,そうなんだ......
shino2-2,talk,shino,ちぇー
shino2-2,talk,shino,せっかく、ちょーきれいなお姉さんに会った自慢だったのにー
shino2-2,talk,natsuno,そんなこと言われても......
shino2-2,talk,shino,じゃあ、故郷に帰るまでのおもしろい話、もうおしまいだよ
shino2-2,talk,shino,ヒナセさんと会ったことあるんじゃ、あの箱入り娘天然トークも目新しさないでしょ？
shino2-2,talk,natsuno,まぁ......そうかも
shino2-2,talk,natsuno,でも別に、おもしろい話じゃなくていいよ
shino2-2,talk,natsuno,ヒナセさんと一緒に故郷に戻って......どうだった？
shino2-2,talk,natsuno,どんな感じだった？
shino2-2,talk,shino,......
shino2-2,pauseBgm
shino2-2,talk,shino,......どんな感じだったかっていうと
shino2-2,talk,shino,どんな感じでもなかったかな
shino2-2,talk,natsuno,......？
shino2-2,playBgm,scenario03
shino2-2,talk,shino,町は、まぁ、想像どおりの感じだった
shino2-2,talk,shino,人は誰もいなくて
shino2-2,talk,shino,燃えたり、壊れたりしてる建物もあって
shino2-2,talk,shino,だけど、そのまま残ってるところがほとんどで
shino2-2,talk,shino,この辺の街と同じ
shino2-2,talk,shino,誰もいなくなって、がらんとした町だった
shino2-2,talk,shino,きっとみんな、どこかに逃げたんだろうな......
shino2-2,talk,shino,......
shino2-2,talk,shino,あたしが住んでた頃と、全然同じ景色には見えなかったけど
shino2-2,talk,shino,でも......あたしの知ってる町だった
shino2-2,talk,shino,それを見て、あたしは
shino2-2,fg,survivor02,right-left,0.5,sad
shino2-2,talk,shino,......何も思わなかった
shino2-2,talk,natsuno,え......？
shino2-2,talk,shino,懐かしいって気にはなったよ
shino2-2,talk,shino,変わり果てたところもあって、それは悲しいなって思った
shino2-2,talk,shino,けど......なんていうか
shino2-2,talk,shino,自分で期待してたほど、何か感じることはなかったっていうか
shino2-2,talk,shino,そういえばこんな町だったなぁって思うだけで
shino2-2,talk,shino,......それだけだった
shino2-2,talk,shino,......
shino2-2,talk,shino,単に、あたしが期待しすぎちゃってただけなんだよね
shino2-2,talk,shino,故郷に帰れなかったこと、後悔してて
shino2-2,talk,shino,それで、帰ったら何かあると思い込んでて
shino2-2,talk,shino,気が晴れるとか、すっきりするとか
shino2-2,talk,shino,生きる勇気が湧くとか......何かもっと、すごいこと、期待してた
shino2-2,talk,shino,でも......
shino2-2,talk,shino,あるじゃん？
shino2-2,talk,shino,ずっとほしいと思ってたものなのに、手に入れたらどうでもよくなっちゃうみたいな......そういうこと
shino2-2,talk,shino,そんな感じで......
shino2-2,talk,shino,いざ故郷に戻っても、あたし、何も思えなかった
shino2-2,talk,shino,あこには......
shino2-2,talk,shino,ただ、昔住んでた町があるだけだった
shino2-2,wait,2
shino2-2,end,questSuccess
-,,,
shino2-3,bg,scenario06
shino2-3,fg,survivor00,right-right,0,serious
shino2-3,fg,survivor02,right-left,0,sad
shino2-3,playBgm,scenario04
shino2-3,wait,2
shino2-3,talk,shino,故郷に戻って、でも、何も思えなくて
shino2-3,talk,shino,なんでだろうって不思議だったけど
shino2-3,talk,shino,でも......すぐ、わかったんだ
shino2-3,talk,shino,町に帰りたいって思ってたのは、ただのないものねだりなんだよ
shino2-3,talk,shino,故郷に帰れなかったから、帰りたいって思ってただけで
shino2-3,talk,shino,帰ったからって、何かあるわけじゃなかった
shino2-3,talk,shino,ただ、そのときないものをほしがってただけ
shino2-3,talk,shino,そんなのわかってるつもりだったけど......
shino2-3,talk,shino,でも、本当に、それだけだったんだ
shino2-3,talk,shino,......
shino2-3,talk,shino,けどさ
shino2-3,talk,shino,そういうことってよくあるじゃん？
shino2-3,talk,shino,ずっとほしいと思ってたバッグなのに、買ったらどうでもよくなっちゃうとか
shino2-3,talk,shino,告白して、付き合うことになった途端にその人のこと好きなのかわかんなくなったり
shino2-3,talk,shino,そういうのって、たぶん勘違いなんだよね
shino2-3,talk,shino,本当は、何か別のことに憧れてたりしてるんだけど
shino2-3,talk,shino,バッグがほしいとか、恋してるとか......そんな風に勘違いしちゃって
shino2-3,talk,shino,恋に恋してるってやつ
shino2-3,talk,shino,恋に憧れてるだけで、カレシがほしいわけでも、その人を好きになったわけでもないんだよね
shino2-3,talk,shino,......それと一緒
shino2-3,talk,shino,あとから考えたら、あたし別に故郷に帰りたかったわけじゃないのかもって感じだし
shino2-3,talk,shino,故郷に帰ったら、何か変わるかもって......思ってただけなんだ
shino2-3,talk,natsuno,......そう、なんだ
shino2-3,talk,natsuno,初めて会ったときも言ったけど、わたしは故郷みたいな場所がないから
shino2-3,talk,natsuno,正直、そうなのかな、って感じだけど......
shino2-3,talk,shino,......
shino2-3,talk,shino,......たぶんね
shino2-3,talk,shino,あたしもナツノちゃんも、そんなに変わんないよ
shino2-3,talk,shino,ナツノちゃんにも、生まれた場所とか、小さい頃住んでた場所があるでしょ？
shino2-3,talk,shino,そういう町に、ナツノちゃんはあんまり思い入れがないかもしれないけど......
shino2-3,talk,shino,......でも、あたしも本当は一緒で
shino2-3,talk,shino,あの町は、あたしが生まれ育った町だけど
shino2-3,talk,shino,でも......それだけの、ただの町なんだ
shino2-3,talk,shino,だから、あたしが勝手に期待してただけ
shino2-3,talk,shino,故郷って、何か特別なもので
shino2-3,talk,shino,そこに帰ったら、何か大事なものが待ってるんだって、思い込んでただけ
shino2-3,talk,shino,......
shino2-3,talk,shino,......けど
shino2-3,talk,shino,あたしって、ばかだからさ
shino2-3,talk,shino,あの町を出て、こうやってまた遠くに来ると
shino2-3,talk,shino,故郷のこと......やっぱり大事だなって思っちゃうんだよね
shino2-3,talk,shino,またいつか、できるなら、帰ってみたいって思っちゃう
shino2-3,talk,shino,別に何もないってわかってるんだよ
shino2-3,talk,shino,なのに......離れると、やっぱり寂しいって思う
shino2-3,talk,shino,ないものねだりだからさ
shino2-3,talk,shino,ほんと
shino2-3,talk,shino,どうしようもない、ばかだよね......
shino2-3,wait,2
shino2-3,fadeOut,1
shino2-3,newPage
shino2-3,pauseBgm
shino2-3,wait,1
shino2-3,fadeIn,1
shino2-3,wait,1
shino2-3,talk,shino,......でも
shino2-3,playBgm,scenario03
shino2-3,talk,shino,でもね
shino2-3,talk,shino,これはたぶん、勘違いみたいなもので
shino2-3,talk,shino,一時の感情だから、あとからどうでもよくなっちゃうかもしれないし
shino2-3,talk,shino,そのうち冷めちゃうかしれない
shino2-3,talk,shino,いつか、あたしってばかだったな、って思って虚しくなるかもしれない
shino2-3,talk,shino,けど......
shino2-3,talk,shino,今思ってることだって、嘘なわけじゃないじゃん
shino2-3,talk,shino,今、あたしがこうして故郷のこと大事に思ってる気持ちは、本当なんだよ
shino2-3,talk,shino,故郷に帰ったとき、気のせいだったかもって思ったけど
shino2-3,talk,shino,この先も、勘違いだったって思うかもしれないけど
shino2-3,talk,shino,それでも......故郷から離れて、今このときだけは、本当に思ってる
shino2-3,talk,shino,あの町が好きだし
shino2-3,talk,shino,帰りたいって思う
shino2-3,talk,shino,だったら......
shino2-3,talk,shino,この気持ちを大事にしてもいいじゃんって
shino2-3,talk,shino,......そう思ったんだ
shino2-3,talk,natsuno,......
shino2-3,talk,natsuno,......そっか
shino2-3,talk,natsuno,シノは......なんていうか
shino2-3,talk,natsuno,すごいね
shino2-3,talk,shino,......へへ
shino2-3,talk,shino,......なんて
shino2-3,talk,shino,まぁ、ほんとは
shino2-3,talk,shino,これ、全部ヒナセさんが言ってくれたことなんだけどね
shino2-3,talk,shino,......
shino2-3,talk,shino,故郷から離れて、どうしていいかわかんなくなっちゃって
shino2-3,talk,shino,でも、ヒナセさんがそんな話してくれたんだ
shino2-3,talk,shino,それで、あたしも、そうかもって思った
shino2-3,talk,shino,故郷に帰りたかったのは本当なんだ
shino2-3,talk,shino,あとから振り返ったとき、違うって思っちゃうかもだけど
shino2-3,talk,shino,でも、その気持ちを、自分で気のせいだったってことにしたくない
shino2-3,talk,shino,未来どう思うかわかんなくても、今思ってることが勘違いだって思いたくない
shino2-3,talk,shino,そんな風に思っちゃったら......何もかも、全部勘違いになっちゃうよ
shino2-3,talk,shino,だから、今感じてることは本当なんだって、思うことにした
shino2-3,talk,shino,今ここにあるものは、きっと、嘘じゃない
shino2-3,talk,shino,それでもいいんだって......ヒナセさんが言ってくれたんだ
shino2-3,talk,shino,今思ってることも、これから思うことも
shino2-3,talk,shino,そういうのも全部含めて
shino2-3,talk,shino,本当の、あたしの気持ちなんだ
shino2-3,talk,shino,あの町に帰って、何も思えなかったことも本当だし
shino2-3,talk,shino,あの町に帰りたいって思ってたのも、本当
shino2-3,talk,shino,だから......
shino2-3,fg,survivor02,right-left,0.5,smile
shino2-3,talk,shino,やっぱり、ちゃんと帰れてよかったって
shino2-3,talk,shino,今は、心から思ってる
shino2-3,wait,2
shino2-3,end,questSuccess
-,,,
shino2-4,bg,scenario06
shino2-4,fg,survivor00,right-right,0,serious
shino2-4,fg,survivor02,right-left,0,smile
shino2-4,playBgm,scenario04
shino2-4,wait,1
shino2-4,talk,shino,あたしね
shino2-4,talk,shino,いろんなところの写真、撮って歩いてるんだ
shino2-4,talk,natsuno,写真？
shino2-4,talk,natsuno,カメラ、故郷で見つけたの？
shino2-4,talk,shino,ううん
shino2-4,talk,shino,これは、その辺で拾ったやつ
shino2-4,talk,shino,写真撮ってるのは......
shino2-4,talk,shino,......
shino2-4,talk,shino,あの町に帰ってさ
shino2-4,talk,shino,町の景色見ても、あたし、何も思えなかった
shino2-4,talk,shino,なんでもない、どこにもある......普通の町だった
shino2-4,talk,shino,でも、それで思ったの
shino2-4,talk,shino,どこでも、そうなんだって
shino2-4,talk,shino,あたしが故郷に帰るまでに通ったいろんな町も、
shino2-4,talk,shino,今いるこの場所も
shino2-4,talk,shino,なんでもない普通の町で
shino2-4,talk,shino,どこかの、誰かの......故郷なんだよね
shino2-4,talk,shino,......そんなの、当たり前だけどさ
shino2-4,talk,shino,でも、だから
shino2-4,talk,shino,もしかしたら、今あたしたちがいるこの場所に帰りたいって思ってる人だって
shino2-4,talk,shino,この場所を、もう一度でいいから見たいって思ってる人だって
shino2-4,talk,shino,きっと、たくさんいるんだろうなって......思ったんだ
shino2-4,talk,natsuno,......
shino2-4,talk,natsuno,......そうだね
shino2-4,talk,natsuno,ここは、わたしたちにとっては、初めて来た場所だし
shino2-4,talk,natsuno,なんでもないただの町だけど
shino2-4,talk,natsuno,でも......ここで生まれ育った人も、いるんだよね
shino2-4,talk,natsuno,......そりゃそっか
shino2-4,talk,shino,そりゃ、そうなんだけど......でも、そうでしょ？
shino2-4,talk,shino,......
shino2-4,talk,shino,......ま
shino2-4,talk,shino,それで、こうやって写真撮ったって
shino2-4,talk,shino,その写真見たがってる人がいるかどうかなんてわかんないし
shino2-4,talk,shino,いたとしても、そういう人と偶然出会える確率って、とんでもなく低いだろうし
shino2-4,talk,shino,実際......そんな機会、一生ないんだろうなって思うよ
shino2-4,talk,shino,......でも
shino2-4,talk,shino,それでも、やっぱり、思うんだ
shino2-4,talk,shino,もしかしたら誰かがこの景色を探してるかもしれない
shino2-4,talk,shino,ここが、誰かの大事な場所かもしれないって
shino2-4,talk,shino,結局、そんなことなくて、写真誰にも見られないままあたしの一生は終わるかもしれないけど
shino2-4,talk,shino,いつか、ばかなことしてたなって思っちゃうかもしれないけど
shino2-4,talk,shino,だからって、今こうして思ってること、否定したくないじゃん
shino2-4,talk,shino,あたしは、この気持ち、嘘じゃないって思う
shino2-4,talk,shino,今の気持ちのこと、大事にしたい
shino2-4,talk,shino,だから......写真、撮ってるんだ
shino2-4,wait,2
shino2-4,pauseBgm
shino2-4,fadeOut,1
shino2-4,newPage
shino2-4,fg,survivor00,right-right,0,serious
shino2-4,fg,survivor02,right-left,0,default
shino2-4,wait,1
shino2-4,fadeIn,1
shino2-4,playBgm,character02
shino2-4,talk,shino,ナツノちゃんさ
shino2-4,talk,natsuno,うん？
shino2-4,talk,shino,あたしに会って
shino2-4,talk,shino,懐かしいって、思った？
shino2-4,fg,survivor00,right-right,0.5,default
shino2-4,talk,natsuno,......
shino2-4,talk,natsuno,......うーん
shino2-4,talk,natsuno,どうだろ
shino2-4,talk,natsuno,久しぶりって感じはしたけど
shino2-4,talk,natsuno,懐かしい......っていうのとは、ちょっと違う気もする
shino2-4,talk,shino,......そっか
shino2-4,talk,shino,じゃあ、まだ時間が足りなかったってことで
shino2-4,talk,natsuno,そういうもんなの？
shino2-4,talk,shino,わかんないけど、そうなんじゃない？
shino2-4,talk,natsuno,そうなのかな
shino2-4,fg,survivor02,right-left,0.5,smile
shino2-4,talk,shino,......じゃあさ
shino2-4,talk,shino,ナツノちゃんが懐かしいって思えるまで
shino2-4,talk,shino,あたし、何度でも会いに行くよ
shino2-4,fg,survivor00,right-right,0.5,serious
shino2-4,talk,natsuno,......
shino2-4,pauseBgm
shino2-4,talk,shino,......あたしね
shino2-4,playBgm,scenario03
shino2-4,talk,shino,ナツノちゃんの話聞いて
shino2-4,talk,shino,正直、まだ全然信じられてないっていうか
shino2-4,talk,shino,飲み込めてないけど
shino2-4,talk,shino,でも......
shino2-4,talk,shino,やっぱり、あたしはあたしの思っていることを、思ってるとおりにやっときたい
shino2-4,talk,shino,何があっても、あとで後悔したくないし
shino2-4,talk,shino,ここがどんな世界だったにしても
shino2-4,talk,shino,あたしが今、こうやって思ってることだけは......
shino2-4,talk,shino,本当のことなんだって思うから
shino2-4,talk,natsuno,......うん
shino2-4,talk,shino,......
shino2-4,talk,shino,だから、行くね
shino2-4,talk,shino,あたしは、あたしが思うことをやる
shino2-4,talk,shino,ナツノちゃんは、ナツノちゃんが行くべきところに、行くんだよね
shino2-4,fg,survivor00,right-right,0.5,depress
shino2-4,talk,natsuno,......そうだね
shino2-4,talk,shino,じゃあ、ここでしばしお別れ
shino2-4,talk,shino,また、そのうち
shino2-4,talk,shino,どこかでばったり会ったら、お話しよ
shino2-4,talk,shino,それでいつか
shino2-4,talk,shino,こうやって話してたこととか
shino2-4,talk,shino,初めて出会ったときのこと
shino2-4,talk,shino,懐かしいねって思えるようになったらいいな
shino2-4,talk,natsuno,......うん
shino2-4,talk,natsuno,わたしも、今わたしが思ってることは、本当なんだと思う
shino2-4,talk,natsuno,あとでどう思っても、こうやって今感じてることは嘘じゃない
shino2-4,talk,natsuno,......シノが撮った写真
shino2-4,talk,natsuno,いつか、誰かに届いたらいいなって、思うよ
shino2-4,talk,shino,......ありがと
shino2-4,talk,shino,じゃあ
shino2-4,talk,shino,またね
shino2-4,talk,natsuno,......
shino2-4,talk,natsuno,......うん
shino2-4,fg,survivor00,right-right,0.5,serious
shino2-4,talk,natsuno,またね、シノ
shino2-4,talk,shino,また会おうね。ナツノちゃん！
shino2-4,wait,1
shino2-4,fgRemove,survivor02,2.0
shino2-4,wait,2
shino2-4,removeSurvivor,shino
shino2-4,end,ending,shino2
-,,,
