id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
itsuka1-1,bg,scenario35
itsuka1-2,talk,itsuka,ちょっとだけかもしれないけど、前向きになれて
itsuka1-2,talk,itsuka,それで、あのコンピュータを捨てて......
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,どんな心境の変化があったのか、詳しいことは聞いてない
itsuka1-2,talk,itsuka,もう大丈夫だろうって、話をしててわかったし
itsuka1-2,talk,itsuka,聞いたって、たぶん他人にはわからないだろうから
itsuka1-2,talk,itsuka,無理に説明してくれなくても、いいって思ってる
itsuka1-2,talk,itsuka,......
itsuka1-2,pauseBgm
itsuka1-2,talk,itsuka,......でも
itsuka1-2,talk,itsuka,それでも、結局
itsuka1-2,talk,itsuka,......何も、解決してないんだ
itsuka1-2,talk,itsuka,パンデミックはずっとこのままだし
itsuka1-2,talk,itsuka,この世界がつくられたことに意味はない
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......いや
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......私は、頑固だからさ
itsuka1-2,playBgm,scenario04
itsuka1-2,talk,itsuka,友達とゲームしてても、いつの間にか意地になっちゃって、よく怒られてた
itsuka1-2,talk,itsuka,本気のケンカになるのだって珍しくないし
itsuka1-2,talk,itsuka,負けず嫌いで
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......だから
itsuka1-2,talk,itsuka,今でも......思ってるんだ
itsuka1-2,talk,itsuka,この世界が、こんな風になった『理由』を──
itsuka1-2,talk,itsuka,私たちは、まだ見つけられてないだけなんじゃないかって
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......あなたの祖母が、この世界をつくったことに、深い理由はなかったかもしれない
itsuka1-2,talk,itsuka,でも、それは、兄だって人がそう言ってただけのことで
itsuka1-2,talk,itsuka,本当は......あなたの祖母には、何か目的があったかもしれない
itsuka1-2,talk,itsuka,あるいは......
itsuka1-2,talk,itsuka,あなたの祖母が、そうだと自覚してなくても
itsuka1-2,talk,itsuka,意識していなかったとしても......あの人の何かが、この世界を歪めたのかもしれない
itsuka1-2,talk,itsuka,......まだ、見つけられてないだけで
itsuka1-2,talk,itsuka,この世界が、こんなことになったのには......
itsuka1-2,talk,itsuka,私たちが、こんな寂しさをもってることには
itsuka1-2,talk,itsuka,......何か、理由があるかもしれない
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,だって......理由がないってことが
itsuka1-2,talk,itsuka,証明できたわけじゃ、ないんだ
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......今でもまだ
itsuka1-2,talk,itsuka,そんな風に、思ってしまう
itsuka1-2,talk,itsuka,......私って、ほんとに頑固なんだなって
itsuka1-2,talk,itsuka,笑っちゃうよ
itsuka1-2,talk,itsuka,......
itsuka1-2,talk,itsuka,......最近さ
itsuka1-2,talk,itsuka,ナツノと顔合わせるのが......ちょっとつらい
itsuka1-2,talk,itsuka,ナツノはきっと、この世界が偶然できたってことを受け入れてて
itsuka1-2,talk,itsuka,それでもいいって納得してて
itsuka1-2,talk,itsuka,でも......私は、そうじゃないから
itsuka1-2,talk,itsuka,ナツノと同じように考えられない。納得できない
itsuka1-2,talk,itsuka,なんでもない、どうでもいい話をしてるときも、そのことをいつも考えてて
itsuka1-2,talk,itsuka,裏切ってるみたいな......気がして
itsuka1-2,talk,itsuka,ときどき、
itsuka1-2,talk,itsuka,どんな顔して話したらいいのか、わからなくなる
itsuka1-2,wait,3
itsuka1-2,end,questSuccess
-,,,
itsuka1-3,bg,scenario35
itsuka1-3,fgClear
itsuka1-3,wait,2
itsuka1-3,playBgm,character06
itsuka1-3,fg,survivor06,right-left,1.0,zito
itsuka1-3,talk,itsuka,......ふぁぁ
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......？
itsuka1-3,talk,itsuka,ナツノ......？
itsuka1-3,wait,1
itsuka1-3,fg,survivor00,right-right,0.5
itsuka1-3,talk,natsuno,あ
itsuka1-3,talk,natsuno,イツカ
itsuka1-3,talk,natsuno,やっと起きた？
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......起きたけど
itsuka1-3,talk,itsuka,......
itsuka1-3,fg,survivor06,right-left,0.5,default
itsuka1-3,talk,itsuka,......その人たち、誰？
itsuka1-3,wait,1
itsuka1-3,fadeOut,1
itsuka1-3,newPage
itsuka1-3,wait,1
itsuka1-3,fadeIn,1
itsuka1-3,wait,1
itsuka1-3,talk,natsuno,さっき、たまたまそこの道歩いてるのが見えて
itsuka1-3,talk,natsuno,ちょっと話してたの
itsuka1-3,talk,natsuno,家族四人で、わたしたちと同じように移動しながら暮らしてるんだって
itsuka1-3,talk,itsuka,......ふぅん
itsuka1-3,talk,itsuka,よく声なんかかけたね
itsuka1-3,talk,itsuka,私がいたら、止めてた
itsuka1-3,talk,natsuno,......だって、イツカ寝てたし
itsuka1-3,fg,survivor06,right-left,0.5,zito
itsuka1-3,talk,itsuka,......そうなんだけど
itsuka1-3,talk,natsuno,......それで
itsuka1-3,talk,natsuno,どこか、安全に過ごせる場所探してるんだって
itsuka1-3,fg,survivor06,right-left,0.5,default
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......少なくとも、私は知らないな
itsuka1-3,talk,natsuno,うん......
itsuka1-3,talk,natsuno,わたしも、そう答えた
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......まぁ、親切そうな人たちなんだったら
itsuka1-3,talk,itsuka,私も、ちょっと話をしてみる
itsuka1-3,talk,itsuka,何か得られるものもあるかもしれないし
itsuka1-3,talk,natsuno,うん
itsuka1-3,talk,natsuno,優しい人たちだったから、たぶん、大丈夫
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,何か......いい話が聞けるといいけど
itsuka1-3,wait,1
itsuka1-3,fadeOut,1
itsuka1-3,newPage
itsuka1-3,fgClear
itsuka1-3,wait,2
itsuka1-3,pauseBgm
itsuka1-3,bg,scenario03
itsuka1-3,fadeIn,1
itsuka1-3,playBgm,environment08
itsuka1-3,wait,2
itsuka1-3,fg,survivor00,right-right,1.0,serious
itsuka1-3,talk,natsuno,......イツカ？
itsuka1-3,fg,survivor06,right-left,1.0,depress
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,............
itsuka1-3,talk,natsuno,......ねぇ
itsuka1-3,talk,natsuno,どうしたの......？
itsuka1-3,talk,natsuno,さっきの人たちと話してから
itsuka1-3,talk,natsuno,ずっと変だよ
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,............
itsuka1-3,talk,itsuka,......変、か
itsuka1-3,talk,itsuka,......そうだね
itsuka1-3,talk,itsuka,変、かもしれない
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......なんだか
itsuka1-3,talk,itsuka,どんな風に受け入れたらいいのか、わからないんだ
itsuka1-3,talk,itsuka,よろこんだらいいのか、悲しんだらいいのか
itsuka1-3,talk,itsuka,......絶望したらいいのか
itsuka1-3,talk,itsuka,自分がどんな風に感じてるのか......わからない
itsuka1-3,talk,natsuno,......イツカ？
itsuka1-3,talk,natsuno,何を聞いたの？
itsuka1-3,talk,natsuno,あの人たちは......何を知ってたの？
itsuka1-3,pauseBgm
itsuka1-3,talk,itsuka,......
itsuka1-3,playBgm,scenario06
itsuka1-3,talk,itsuka,あの一家が、私たちと会う前
itsuka1-3,talk,itsuka,二週間くらい前にも......別のところで、生き残ってる人たちと出くわしていたらしい
itsuka1-3,talk,natsuno,......うん
itsuka1-3,talk,itsuka,その、出くわした人たちの中に......
itsuka1-3,talk,itsuka,......女の人がいるんだって
itsuka1-3,talk,itsuka,言ってたんだ
itsuka1-3,talk,natsuno,......
itsuka1-3,talk,natsuno,......女の人？
itsuka1-3,talk,itsuka,そう......
itsuka1-3,talk,itsuka,その女の人は、少し奇妙で
itsuka1-3,talk,itsuka,あの人たちは、『アイドル』みたいだったとか、とても素敵な人だった、とか......そういう風に言ってたけど
itsuka1-3,talk,itsuka,その人と話をしてると、なんだか奇妙な心地になる、というか
itsuka1-3,talk,itsuka,優しい気持ちになれるというか
itsuka1-3,talk,itsuka,満たされるというか
itsuka1-3,wait,1
itsuka1-3,talk,itsuka,寂しくなくなる──みたいな
itsuka1-3,talk,natsuno,......え？
itsuka1-3,talk,itsuka,そんな......不思議な魅力を感じる人、らしい
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......それで
itsuka1-3,talk,itsuka,その女の人が
itsuka1-3,talk,itsuka,その女の人の名前が......
itsuka1-3,talk,itsuka,......
itsuka1-3,talk,itsuka,......同じ、だったんだ
itsuka1-3,talk,natsuno,......？
itsuka1-3,talk,natsuno,何と......？
itsuka1-3,talk,itsuka,......
itsuka1-3,pauseBgm
itsuka1-3,talk,itsuka,あの人と──
itsuka1-3,talk,itsuka,あなたの、
itsuka1-3,wait,1
itsuka1-3,talk,itsuka,スマホの向こうのあなたの──祖母と
itsuka1-3,talk,itsuka,同じ名前、だったんだ
itsuka1-3,wait,3
itsuka1-3,end,questSuccess
-,,,
itsuka1-4,bg,scenario23
itsuka1-4,fgClear
itsuka1-4,wait,3
itsuka1-4,playBgm,character06
itsuka1-4,fg,survivor06,right-left,1.0,depress
itsuka1-4,fg,survivor00,right-right,1.0,depress
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......ナツノが言ってたことが
itsuka1-4,talk,itsuka,間違ってるわけじゃないと思う
itsuka1-4,talk,natsuno,......
itsuka1-4,talk,itsuka,この世界がつくられたことに理由なんかない
itsuka1-4,talk,itsuka,仮想世界というのが、流行っていたから、ちょっとつくってみただけ
itsuka1-4,talk,itsuka,スマホの向こうのあなたの祖母に......目的なんかなかった
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......それが真実なんだろうって思う
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......だけど
itsuka1-4,talk,itsuka,私は、どうしても、思っちゃうんだ
itsuka1-4,talk,itsuka,そんなわけないってわかってても......考えてしまう
itsuka1-4,talk,itsuka,もしかしたら、誰にも話さなかっただけで、あなたの祖母には何か思うところがあったのかもしれない
itsuka1-4,talk,itsuka,あるいは、自覚さえしてないけど、この世界に何か願ったのかもしれない
itsuka1-4,talk,itsuka,もしそうだったら......
itsuka1-4,talk,itsuka,この世界がつくられたことが偶然だったとしても
itsuka1-4,talk,itsuka,この世界を生きる人々が『寂しさ』をもってることや
itsuka1-4,talk,itsuka,パンデミックが起きたこと
itsuka1-4,talk,itsuka,私やナツノが、外の世界と繋がったことには──
itsuka1-4,talk,itsuka,何か、理由があるのかもしれない
itsuka1-4,talk,natsuno,......
itsuka1-4,talk,itsuka,この世界に、あなたの祖母と同姓同名の人がいた
itsuka1-4,talk,itsuka,ただ名前が同じだってだけの、他人かもしれない
itsuka1-4,talk,itsuka,でも......
itsuka1-4,talk,itsuka,ここは、仮想世界なんだ
itsuka1-4,talk,itsuka,外の、現実の世界でつくられた仮想世界
itsuka1-4,talk,itsuka,仮想世界は、現実とそっくりで......現実で死んだ人が、まだ生きてるかもしれない
itsuka1-4,talk,itsuka,......そうでしょ？
itsuka1-4,talk,itsuka,だから、外の世界では『天国』なんて呼ばれたりする
itsuka1-4,talk,itsuka,それって......
itsuka1-4,talk,itsuka,この世界にも、あなたの祖母と同じ人が
itsuka1-4,talk,itsuka,いるかもしれないってこと......だよね
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,ただの同姓同名ってわけじゃない
itsuka1-4,talk,itsuka,あの家族が会ったって人は......
itsuka1-4,talk,itsuka,本当に、この世界の、あなたの祖母なのかもしれない......
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......これだって
itsuka1-4,talk,itsuka,ただの偶然かもしれない
itsuka1-4,talk,itsuka,偶然、同じ名前の人がいたってだけかもしれない
itsuka1-4,talk,itsuka,......そう思うけど
itsuka1-4,talk,itsuka,それでも、私は......もしかしたらって思っちゃう
itsuka1-4,talk,itsuka,もしかしたら、その人に会ったら、何かがわかるんじゃないかって
itsuka1-4,talk,itsuka,本当のことが、真実がわかるんじゃないかって......
itsuka1-4,talk,natsuno,......
itsuka1-4,talk,natsuno,......イツカ
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......だけど
itsuka1-4,talk,itsuka,だけど......
itsuka1-4,talk,itsuka,どうしたらいいか......わからない
itsuka1-4,talk,itsuka,ナツノの言ってたことを
itsuka1-4,talk,itsuka,全部偶然で、理由なんかないっていうのが......真実なんだって
itsuka1-4,talk,itsuka,そう思って、それを受け入れたナツノを......
itsuka1-4,talk,itsuka,否定、したくない
itsuka1-4,talk,itsuka,これは......私が、私にとって都合のいい真実を求めてるだけだから
itsuka1-4,talk,itsuka,私のわがまま、だから
itsuka1-4,talk,itsuka,そのために......もう、誰かを否定したくないんだ
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......あのとき、私がナツノを探し出したこと
itsuka1-4,talk,itsuka,ずっと......後悔してるんだ
itsuka1-4,talk,itsuka,私がナツノに会わなければ......ナツノは、あんなに苦しまなくてよかったかもしれない
itsuka1-4,talk,itsuka,何も知らない方が、よかったかもしれない、って思う
itsuka1-4,talk,itsuka,だから......
itsuka1-4,talk,itsuka,もしかしたら本当にあの人なのかもしれないって思うのと、同じくらい
itsuka1-4,talk,itsuka,そのせいで、また誰かを否定したくないって......思ってる
itsuka1-4,talk,natsuno,......
itsuka1-4,talk,natsuno,......そっか
itsuka1-4,talk,itsuka,......
itsuka1-4,talk,itsuka,......私は
itsuka1-4,talk,itsuka,どうしたら、いいんだろう
itsuka1-4,wait,3
itsuka1-4,end,questSuccess
-,,,
itsuka1-5,bg,scenario35
itsuka1-5,fgClear
itsuka1-5,wait,2
itsuka1-5,playBgm,character00
itsuka1-5,fg,survivor00,right-right,1.0,default
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,............
itsuka1-5,fg,survivor00,right-right,0.5,zito
itsuka1-5,talk,natsuno,......また、かぁ
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,イツカー
itsuka1-5,talk,natsuno,朝だよ
itsuka1-5,talk,natsuno,朝っていうか、もう昼になるよ
itsuka1-5,talk,natsuno,昨日、何時まで起きてたの？
itsuka1-5,talk,itsuka,......
itsuka1-5,talk,itsuka,......時間なんか見てない
itsuka1-5,talk,itsuka,......空が明るくなるまで
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,不健康すぎるって
itsuka1-5,talk,natsuno,そんな時間まで起きてて
itsuka1-5,talk,natsuno,焚き火してる木だって、なくなったら拾ってこないといけないのに
itsuka1-5,talk,natsuno,もっと早く寝なさい
itsuka1-5,talk,itsuka,......
itsuka1-5,wait,1
itsuka1-5,fg,survivor06,right-left,1.0,zito
itsuka1-5,talk,itsuka,......お父さんみたいなこと言う
itsuka1-5,fg,survivor00,right-right,0.5,default
itsuka1-5,talk,natsuno,......イツカの家は、お父さんが起こしてくれる家だったの？
itsuka1-5,talk,itsuka,......うん
itsuka1-5,talk,natsuno,うちも、そうだったな。そういえば
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......イツカはさ
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,どうするの？
itsuka1-5,talk,itsuka,......
itsuka1-5,talk,itsuka,......寝る
itsuka1-5,talk,natsuno,いや起きてよ
itsuka1-5,talk,itsuka,......
itsuka1-5,fg,survivor06,right-left,0.5,default
itsuka1-5,talk,itsuka,......いいでしょ、別に
itsuka1-5,talk,itsuka,人それぞれ、リズムってものがあるんだ
itsuka1-5,talk,itsuka,ナツノは朝早起きかもしれないけど、私は違う
itsuka1-5,talk,itsuka,それだけだよ
itsuka1-5,talk,itsuka,別に、みんなが同じ生活しなくってもいいでしょ......
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......ま
itsuka1-5,talk,natsuno,それもそっか
itsuka1-5,talk,natsuno,じゃあ、イツカは朝ごはんも昼ごはんもなしってことで
itsuka1-5,fg,survivor06,right-left,0.5,zito
itsuka1-5,talk,itsuka,......えー
itsuka1-5,talk,itsuka,それは、ちょっと......
itsuka1-5,talk,natsuno,でも、そういうことでしょ？
itsuka1-5,talk,itsuka,......そういうこと、だよ
itsuka1-5,talk,itsuka,私たちは......みんながみんな、同じように生きなきゃいけないわけじゃない
itsuka1-5,talk,itsuka,違う方法で生きてもいい......
itsuka1-5,talk,itsuka,それで、お互いの間で衝突とか摩擦が起きるなら、話し合ったらいい
itsuka1-5,talk,natsuno,......つまり？
itsuka1-5,talk,itsuka,つまり......今日は、お腹が空いたから
itsuka1-5,talk,itsuka,......起きる
itsuka1-5,fg,survivor00,right-right,0.5,zito
itsuka1-5,talk,natsuno,......
itsuka1-5,wait,1
itsuka1-5,fadeOut,1
itsuka1-5,newPage
itsuka1-5,pauseBgm
itsuka1-5,fg,survivor00,right-right,0,serious
itsuka1-5,fg,survivor06,right-left,0,default
itsuka1-5,wait,1
itsuka1-5,fadeIn,1
itsuka1-5,wait,1
itsuka1-5,playBgm,character06
itsuka1-5,talk,natsuno,......それで
itsuka1-5,talk,natsuno,イツカは、どうするの？
itsuka1-5,talk,itsuka,......
itsuka1-5,talk,itsuka,......どう、って？
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......あの人たちの話、聞いて
itsuka1-5,talk,natsuno,その人に......
itsuka1-5,talk,natsuno,スマホの向こうのあなたのおばあさんと、同じ名前なんだって人に
itsuka1-5,talk,natsuno,......会いに行くの？
itsuka1-5,talk,itsuka,......
itsuka1-5,fg,survivor06,right-left,0.5,depress
itsuka1-5,talk,itsuka,......いや
itsuka1-5,talk,itsuka,あの家族だって、会ったのはもう二週間前だって言ってたし
itsuka1-5,talk,itsuka,一応、地図は書いてもらったけど
itsuka1-5,talk,itsuka,その人たちだって、ずっと同じ場所に留まってるとは限らない
itsuka1-5,talk,itsuka,会いに行こうとしても......会えないかもしれない
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......だったら？
itsuka1-5,talk,itsuka,......
itsuka1-5,fg,survivor06,right-left,0.5,default
itsuka1-5,talk,itsuka,......ナツノは
itsuka1-5,talk,itsuka,どう思ってる？
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......わたしは
itsuka1-5,talk,natsuno,イツカが言うとおり、納得しちゃったんだと思う
itsuka1-5,talk,natsuno,この世界が偶然でも
itsuka1-5,talk,natsuno,つくられた意味なんかなくても
itsuka1-5,talk,natsuno,それでも、きっと大丈夫だって......受け入れてるんだと思う
itsuka1-5,talk,natsuno,だから......
itsuka1-5,talk,natsuno,その人が、スマホの向こうのあなたのおばあさんと同じ人なのかどうか、とか
itsuka1-5,talk,natsuno,このパンデミックが起きた理由とか
itsuka1-5,talk,natsuno,そういうのは......正直、そんなに気にならない
itsuka1-5,pauseBgm
itsuka1-5,talk,itsuka,......
itsuka1-5,fg,survivor06,right-left,0.5,depress
itsuka1-5,talk,itsuka,......そう、だよね
itsuka1-5,playBgm,scenario06
itsuka1-5,talk,itsuka,そうなんだと、思う
itsuka1-5,talk,itsuka,だから、私は......
itsuka1-5,talk,itsuka,そう思ってるナツノのこと......裏切りたくない
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,イツカがどう思ってても
itsuka1-5,talk,natsuno,イツカが、その人のこと探しに行くって言っても
itsuka1-5,talk,natsuno,偶然じゃなくて、何か理由があるんだって言っても
itsuka1-5,talk,natsuno,わたしは......別に、気にしないよ
itsuka1-5,talk,itsuka,......
itsuka1-5,talk,itsuka,......私が
itsuka1-5,talk,itsuka,その人に会いに行って
itsuka1-5,talk,itsuka,何か、この世界がこんな風になった理由を......
itsuka1-5,talk,itsuka,あのとき声が聞こえるようになったわけを、見つけたとしたら
itsuka1-5,talk,itsuka,それが、またナツノを苦しめるかもしれない
itsuka1-5,talk,itsuka,ナツノにとって、つらいことかもしれない
itsuka1-5,talk,itsuka,私は......それが嫌だ
itsuka1-5,talk,itsuka,そんな真実、知らない方がよかったって思うなら......最初から知らない方がいい
itsuka1-5,talk,itsuka,もう、自分の求めた真実のせいで......誰かを苦しめたくない
itsuka1-5,talk,natsuno,......
itsuka1-5,talk,natsuno,......そうかな
itsuka1-5,talk,natsuno,もし、何かわかったとしても
itsuka1-5,talk,natsuno,それが、わたしにとって受け入れたくないことだったとしても
itsuka1-5,talk,natsuno,......きっと、大丈夫だよ
itsuka1-5,talk,natsuno,だって
itsuka1-5,talk,natsuno,わたしとイツカが......同じように考えてなくても、いいんでしょ？
itsuka1-5,fg,survivor06,right-left,0.5,default
itsuka1-5,talk,itsuka,......？
itsuka1-5,talk,natsuno,イツカ、さっき言ってたじゃん
itsuka1-5,talk,natsuno,人には人のリズムがあるって
itsuka1-5,talk,natsuno,別に、同じように生きなくてもいいって
itsuka1-5,talk,natsuno,だから
itsuka1-5,talk,natsuno,イツカが探してる真実が、わたしには受け入れられないものかもしれないけど
itsuka1-5,talk,natsuno,イツカが信じてることと、わたしが信じてることは、違うものになるかもしれないけど
itsuka1-5,talk,natsuno,それでも......
itsuka1-5,talk,natsuno,いいんだと思う
itsuka1-5,talk,natsuno,わたしたちは、わたしたちが見出した『物語』の上に生きてるだけで
itsuka1-5,talk,natsuno,それが真実かどうかってことは......そんなに大事じゃないんだって思う
itsuka1-5,talk,itsuka,......
itsuka1-5,talk,itsuka,......そう、なのか？
