id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
minamo1-1,bg,scenario25
minamo1-1,talk,minamo,ナツノさんのこと、この人から聞いてたから
minamo1-1,talk,minamo,......なんか
minamo1-1,talk,minamo,......えー
minamo1-1,talk,minamo,ナツノさん、
minamo1-1,fg,survivor05,right-left,0.5,depress
minamo1-1,talk,minamo,恋人の、前カノ、みたいな......感じして
minamo1-1,fg,survivor05,right-left,0.5,default
minamo1-1,talk,minamo,ちょーっと、気まずい......みたいな
minamo1-1,talk,natsuno,......
minamo1-1,pauseBgm
minamo1-1,wait,1
minamo1-1,fg,survivor00,right-right,0.5,serious
minamo1-1,talk,natsuno,.............
minamo1-1,wait,1
minamo1-1,fg,survivor00,right-right,0.5,zito
minamo1-1,talk,natsuno,......気持ちは、ちょっとだけ、わかるけど
minamo1-1,talk,natsuno,その言い方は、めちゃくちゃ、やだ
minamo1-1,wait,2
minamo1-1,appendSurvivor,minamo
minamo1-1,end,questSuccess
-,,,
minamo1-2,bg,scenario25
minamo1-2,fg,survivor05,right-left,0
minamo1-2,playBgm,character05
minamo1-2,talk,natsuno,それで、ミナモは
minamo1-2,talk,natsuno,何してるの？
minamo1-2,talk,minamo,え
minamo1-2,talk,minamo,何しとるんって？
minamo1-2,fg,survivor05,right-left,0.5,smile
minamo1-2,talk,minamo,息しとるね
minamo1-2,fg,survivor00,right-right,0.5,zito
minamo1-2,talk,natsuno,......
minamo1-2,talk,natsuno,......そういうの、久しぶりに聞いた
minamo1-2,talk,minamo,あはは
minamo1-2,talk,minamo,ナツノさんといると、なんか
minamo1-2,talk,minamo,学校行ってた頃のこと、思い出すな
minamo1-2,fg,survivor00,right-right,0.5,default
minamo1-2,talk,natsuno,......そだね
minamo1-2,talk,natsuno,ミナモって、高校生、だよね
minamo1-2,fg,survivor05,right-left,0.5,default
minamo1-2,talk,minamo,高校生──
minamo1-2,talk,minamo,──いや
minamo1-2,talk,minamo,ニートかな
minamo1-2,talk,minamo,卒業式とか、なかったけど
minamo1-2,talk,minamo,今年の春に、高校卒業してるから
minamo1-2,talk,natsuno,......
minamo1-2,fg,survivor00,right-right,0.5,serious
minamo1-2,talk,natsuno,......ミナモさん、と呼びます
minamo1-2,talk,minamo,いやいや
minamo1-2,talk,minamo,いいよ、呼び捨てで
minamo1-2,talk,minamo,そーゆーの、嫌いだし
minamo1-2,talk,natsuno,......
minamo1-2,talk,natsuno,......でも、ミナモは
minamo1-2,talk,natsuno,わたしのこと、ナツノさんって呼ぶよね
minamo1-2,talk,minamo,......
minamo1-2,talk,minamo,......だから、前カノ感が、ちょっと......
minamo1-2,fg,survivor00,right-right,0.5,zito
minamo1-2,talk,natsuno,まだ言うんだ......
minamo1-2,talk,natsuno,......
minamo1-2,talk,minamo,ま、それは冗談としても
minamo1-2,talk,minamo,......あんま冗談でもないんだけども
minamo1-2,talk,minamo,ナツノさんって、なんか落ち着いてるっていうか
minamo1-2,talk,minamo,大人びてるっていうか
minamo1-2,talk,minamo,そういうの、言われない？
minamo1-2,fg,survivor00,right-right,0.5,default
minamo1-2,talk,natsuno,......あー
minamo1-2,talk,natsuno,言われるかも
minamo1-2,talk,minamo,でしょ？
minamo1-2,talk,minamo,そーゆーこと
minamo1-2,talk,natsuno,......あんま、うれしくないけどな
minamo1-2,talk,natsuno,......
minamo1-2,talk,natsuno,......それで
minamo1-2,talk,natsuno,ミナモ、何してるの？
minamo1-2,talk,natsuno,一人で、こんなとこで......
minamo1-2,talk,minamo,......
minamo1-2,talk,minamo,何って
minamo1-2,talk,minamo,ふらふらしてる......んだけど？
minamo1-2,talk,natsuno,なんで？
minamo1-2,talk,minamo,なんでって
minamo1-2,talk,minamo,......そんなん
minamo1-2,pauseBgm
minamo1-2,wait,1
minamo1-2,talk,minamo,やることないから、じゃない？
minamo1-2,fg,survivor00,right-right,0.5,depress
minamo1-2,talk,natsuno,......
minamo1-2,talk,minamo,......いや
minamo1-2,playBgm,scenario03
minamo1-2,wait,1
minamo1-2,talk,minamo,別に
minamo1-2,talk,minamo,うちにとっては、そんな悲しい顔されるようなことじゃなくってさ
minamo1-2,talk,minamo,やることもない、なんにもない自由を
minamo1-2,talk,minamo,満喫しとるよ。毎日
minamo1-2,talk,natsuno,......
minamo1-2,talk,minamo,うち、こんなんだからさ
minamo1-2,talk,minamo,昔は──
minamo1-2,talk,minamo,学校行ったり、道場行ったり、友達と遊んだり、してた頃は
minamo1-2,talk,minamo,なんてゆーか
minamo1-2,talk,minamo,息苦しい、ってゆーか
minamo1-2,talk,minamo,世の中、生きづらいなって
minamo1-2,talk,minamo,思っとったんよね
minamo1-2,talk,minamo,それが今じゃ、もうなんにもなくて
minamo1-2,talk,minamo,学校も、友達も、世の中そのものも
minamo1-2,talk,minamo,なーんにもない
minamo1-2,talk,minamo,そんな自由を、
minamo1-2,talk,minamo,謳歌してるって、感じ？
minamo1-2,talk,minamo,......
minamo1-2,talk,minamo,......ナツノさんは
minamo1-2,talk,minamo,息苦しいとか、生きづらいとか
minamo1-2,talk,minamo,思ってたこと、ない派？
minamo1-2,talk,natsuno,......
minamo1-2,fg,survivor00,right-right,0.5,serious
minamo1-2,talk,natsuno,......どうだろ
minamo1-2,talk,natsuno,......でも、まぁ
minamo1-2,talk,natsuno,たぶん......ちょっと、わかる
minamo1-2,talk,minamo,......
minamo1-2,talk,minamo,......ま、なんの目的もなくふらふらしてんのかって言われると
minamo1-2,talk,minamo,一個だけ、探してるものがあって
minamo1-2,fg,survivor00,right-right,0.5,default
minamo1-2,talk,natsuno,......なに？
minamo1-2,talk,minamo,道場
minamo1-2,talk,natsuno,道場......
minamo1-2,talk,natsuno,って、剣道の？
minamo1-2,talk,natsuno,いつも背負ってるそれ......竹刀、だよね
minamo1-2,talk,minamo,そ
minamo1-2,talk,minamo,なんだかんだ言いながら、毎日のように通っとったから
minamo1-2,talk,minamo,ちょっと懐かしいな、とか思ったり
minamo1-2,talk,minamo,今、道場に入ったら、何を思うんだろ......とか
minamo1-2,talk,minamo,思ったりして、ね？
minamo1-2,wait,2
minamo1-2,end,questSuccess
-,,,
minamo1-3,bg,scenario25
minamo1-3,fg,survivor05,right-left,0
minamo1-3,playBgm,character05
minamo1-3,talk,natsuno,剣道......好きなの？
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......ナツノさん
minamo1-3,talk,minamo,趣味とか、ない人でしょ
minamo1-3,talk,natsuno,......
minamo1-3,fg,survivor00,right-right,0.5,serious
minamo1-3,talk,natsuno,......ごめん。なんか、悪いこと言った？
minamo1-3,talk,minamo,んーん
minamo1-3,talk,minamo,そーゆー質問してくる人はだいたいそう、ってだけ
minamo1-3,talk,minamo,当たっとる？
minamo1-3,fg,survivor00,right-right,0.5,default
minamo1-3,talk,natsuno,......まぁ
minamo1-3,talk,natsuno,当たってると思う
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......あー
minamo1-3,talk,minamo,ごめん
minamo1-3,talk,minamo,嫌味っぽい言い方......だったかも
minamo1-3,talk,minamo,ごめん、申し訳ない
minamo1-3,fg,survivor00,right-right,0.5,serious
minamo1-3,talk,natsuno,ううん
minamo1-3,talk,natsuno,別に、気にしてない
minamo1-3,pauseBgm
minamo1-3,wait,1
minamo1-3,fg,survivor05,right-left,0.5,depress
minamo1-3,talk,minamo,......なんてゆーか
minamo1-3,talk,minamo,ここ最近、ずっと一人だったから
minamo1-3,talk,minamo,人との話し方、忘れちゃっとるなぁ
minamo1-3,talk,minamo,人として当たり前の気遣いっていうか
minamo1-3,talk,minamo,すまんね
minamo1-3,talk,natsuno,......
minamo1-3,talk,natsuno,......そういうのが息苦しいって
minamo1-3,talk,natsuno,前、言ってたね
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......まーね
minamo1-3,playBgm,scenario04
minamo1-3,wait,1
minamo1-3,fg,survivor05,right-left,0.5,default
minamo1-3,talk,minamo,けど、それも一つ、剣道やってた理由かな
minamo1-3,talk,minamo,身体動かしてるときは、余計なこと考えんでいいから
minamo1-3,talk,minamo,疲れてぐっすり眠れるし
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......他のスポーツじゃなくて、剣道だったんは
minamo1-3,talk,minamo,なんでかな
minamo1-3,talk,minamo,たまたま、子供の頃親に連れていかれたからっていうのが、それっぽいけど
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......先輩がおってさ
minamo1-3,talk,minamo,うちが通ってた道場の、家の子なんだけど
minamo1-3,talk,minamo,剣道を続けてたのは......その人に、憧れっていうか
minamo1-3,talk,minamo,いいなぁ、って思っとったからかも
minamo1-3,talk,natsuno,......そう、なんだ
minamo1-3,talk,natsuno,......
minamo1-3,talk,natsuno,......かっこよかったの？　その人
minamo1-3,talk,minamo,え？
minamo1-3,talk,minamo,うーん......
minamo1-3,talk,minamo,まぁ、かっこよかった、んかな
minamo1-3,talk,minamo,顔がめちゃくちゃいいってことはないけど
minamo1-3,talk,minamo,......
minamo1-3,talk,minamo,......なんていうか
minamo1-3,talk,minamo,その人は、実家が道場だからさ
minamo1-3,talk,minamo,剣道って、小さい頃からやっとって
minamo1-3,talk,minamo,本人の意志とは、まぁ、あんま関係なく
minamo1-3,talk,minamo,自分で剣道やるって決めたわけじゃないんよね
minamo1-3,talk,minamo,だから、剣道が嫌になったこともあったとか
minamo1-3,talk,minamo,やりたくないこともあるとか
minamo1-3,talk,minamo,......言っとったけど
minamo1-3,talk,minamo,でも......
minamo1-3,talk,minamo,その人は、ちゃんとその人なりに、がんばって
minamo1-3,talk,minamo,剣道続けてて
minamo1-3,talk,minamo,うちが知っとるその人は、剣道、大好きで
minamo1-3,talk,minamo,楽しそうで
minamo1-3,talk,minamo,ちゃんと......してて
minamo1-3,talk,minamo,......
minamo1-3,fg,survivor05,right-left,0.5,depress
minamo1-3,talk,minamo,......なんで、そんなに
minamo1-3,talk,minamo,他人から押しつけられたもんとか
minamo1-3,talk,minamo,産まれとか、そういう自分じゃどうしようもなかったもんをもって
minamo1-3,talk,minamo,ちゃんと生きてられるんだろ、って
minamo1-3,talk,minamo,......思ってて
minamo1-3,talk,minamo,......
minamo1-3,fg,survivor05,right-left,0.5,default
minamo1-3,talk,minamo,......あれ
minamo1-3,talk,minamo,......ごめん
minamo1-3,talk,minamo,これ、なんの話だっけ......？
minamo1-3,wait,2
minamo1-3,end,questSuccess
-,,,
minamo1-4,bg,scenario27
minamo1-4,fg,survivor05,right-left,0
minamo1-4,playBgm,character05
minamo1-4,talk,minamo,んー
minamo1-4,talk,minamo,なかなか、見つからんもんだねぇ
minamo1-4,talk,minamo,ここもだめかぁ
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,学校って見つけやすいから、ときどき入ってみるんだけど
minamo1-4,talk,minamo,体育館はどこにもであるけどさ
minamo1-4,talk,minamo,剣道場があるとこは、まぁ、少ないよね
minamo1-4,talk,natsuno,へぇ......
minamo1-4,talk,natsuno,学校の中に剣道場あったりするんだ
minamo1-4,talk,natsuno,わたしが通ってたとこは、なかったな
minamo1-4,talk,minamo,どこにでもあるわけじゃないけど
minamo1-4,talk,minamo,でも、剣道部の強豪校とか
minamo1-4,talk,minamo,道場で練習しとるイメージない？
minamo1-4,talk,natsuno,あー
minamo1-4,talk,natsuno,たしかに
minamo1-4,talk,natsuno,漫画とかドラマとかで、剣道してるとこって
minamo1-4,talk,natsuno,体育館とはちょっと違うかも
minamo1-4,talk,minamo,まぁ、だから
minamo1-4,talk,minamo,あるところには、あるんだけど
minamo1-4,talk,minamo,探すと、見つからんもんだね
minamo1-4,talk,natsuno,......
minamo1-4,talk,natsuno,......剣道場見つけて、どうするの？
minamo1-4,talk,natsuno,剣道って、一人じゃできない......よね
minamo1-4,talk,minamo,んー？
minamo1-4,talk,minamo,素振りくらいなら、一人でもできるんじゃない？
minamo1-4,talk,minamo,......それに
minamo1-4,talk,minamo,今は、ナツノさんおるし
minamo1-4,talk,natsuno,......え
minamo1-4,talk,natsuno,わたし、剣道なんかやったことないよ
minamo1-4,talk,minamo,大丈夫だって
minamo1-4,talk,minamo,誰にでもできるできる
minamo1-4,fg,survivor00,right-right,0.5,zito
minamo1-4,talk,natsuno,テキトー言い過ぎでしょ......
minamo1-4,talk,natsuno,あんな重そうなの着て動けないよ
minamo1-4,talk,minamo,それはそう
minamo1-4,fg,survivor00,right-right,0.5,serious
minamo1-4,talk,natsuno,......
minamo1-4,talk,natsuno,......道場見つけて
minamo1-4,talk,natsuno,昔みたいに、竹刀振って
minamo1-4,talk,natsuno,......無心になって、嫌なこと、忘れたいってこと？
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,......ナツノさん
minamo1-4,talk,minamo,まじで前カノみたい
minamo1-4,talk,natsuno,え......
minamo1-4,talk,natsuno,何が......？
minamo1-4,talk,minamo,そういう
minamo1-4,talk,minamo,触れてほしくないところに、手ぇ突っ込んでくる感じ
minamo1-4,talk,natsuno,......
minamo1-4,fg,survivor00,right-right,0.5,depress
minamo1-4,talk,natsuno,......ごめん
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,......ナツノさんは
minamo1-4,talk,minamo,今まで、会ったことないタイプの人かもしれん
minamo1-4,talk,minamo,うちとは違うし
minamo1-4,talk,minamo,友達とか......先輩とも、違う
minamo1-4,talk,minamo,......よくわからんけど、裏表とかなさそうだし
minamo1-4,talk,minamo,恨むに恨めんタイプだね
minamo1-4,talk,minamo,......ずっこいなぁ
minamo1-4,fg,survivor00,right-right,0.5,serious
minamo1-4,talk,natsuno,......
minamo1-4,talk,natsuno,ごめん......？
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,んーん
minamo1-4,talk,minamo,いいよ、別に
minamo1-4,talk,minamo,うちが、どうしようもなく、こーゆーやつなのとおんなじで
minamo1-4,talk,minamo,ナツノさんも、どうしようもなく、そーゆー人なんだろうから
minamo1-4,talk,minamo,しゃーないよね
minamo1-4,talk,natsuno,......
minamo1-4,pauseBgm
minamo1-4,wait,1
minamo1-4,talk,minamo,......そう
minamo1-4,talk,minamo,うちは、どうしようもなく、こーゆーやつだから
minamo1-4,talk,minamo,余計なことばっか考えて
minamo1-4,talk,minamo,一人で、どうしようもない気持ちになって
minamo1-4,talk,minamo,......
minamo1-4,wait,1
minamo1-4,talk,minamo,......死のうとしたことだって、いっぱいある
minamo1-4,talk,minamo,......
minamo1-4,playBgm,scenario06
minamo1-4,talk,minamo,まぁ、死のうとしたとか大げさに言っとるだけで
minamo1-4,talk,minamo,人生で一番死にかけたんは、普通に友達と海に遊び行って溺れかけたとき......って感じの
minamo1-4,talk,minamo,しょーもないやつなんだけど
minamo1-4,talk,natsuno,......
minamo1-4,fg,survivor00,right-right,0.5,depress
minamo1-4,talk,natsuno,......ミナモが、学校でどんな感じだったのかわかんないけど
minamo1-4,talk,natsuno,イジメとか、そういうのが......
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,んーん
minamo1-4,talk,minamo,そんなんは、ないよ
minamo1-4,talk,minamo,なーんもない
minamo1-4,talk,minamo,ナツノさんがうちのことどう思ってるのか知らんけど、うち、人気者だったし
minamo1-4,talk,minamo,勉強も、スポーツもできるし
minamo1-4,talk,minamo,女の子にちょーモテてたし
minamo1-4,talk,minamo,......
minamo1-4,fg,survivor05,right-left,0.5,depress
minamo1-4,talk,minamo,......もし、イジメとか、家庭環境とか
minamo1-4,talk,minamo,そういう、具体的な問題があるんだったら
minamo1-4,talk,minamo,それを......解決すれば、よかったかもしれんけど
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,......なんも、ないよ
minamo1-4,talk,minamo,つらいこととか
minamo1-4,talk,minamo,悩むようなこととか
minamo1-4,talk,minamo,死にたくなるような出来事とか
minamo1-4,talk,minamo,なーんも
minamo1-4,talk,minamo,ない
minamo1-4,talk,minamo,......
minamo1-4,talk,minamo,......なんもないのに、なんで──
minamo1-4,talk,minamo,......って
minamo1-4,talk,minamo,ずっと、思っとる
minamo1-4,talk,minamo,......
minamo1-4,fgRemove,survivor05,1.0
minamo1-4,fgRemove,survivor00,1.0
minamo1-4,wait,1
minamo1-4,talk,minamo,あーあ
minamo1-4,talk,minamo,こんな話
minamo1-4,talk,minamo,......誰にも、したくなかったのにな
minamo1-4,wait,3
minamo1-4,end,questSuccess
-,,,
minamo1-5,bg,scenario26
minamo1-5,fg,survivor05,right-left,0
minamo1-5,playBgm,character05
minamo1-5,talk,natsuno,......これが
minamo1-5,talk,natsuno,道場......？
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......そーだね
minamo1-5,talk,minamo,この学校は、私立の大きいとこなんかな
minamo1-5,talk,minamo,さすが、お金があるなぁ
minamo1-5,talk,minamo,最近っぽい、立派な道場だ
minamo1-5,talk,natsuno,......うーん
minamo1-5,talk,natsuno,なんか、独特な臭いするかも
minamo1-5,talk,minamo,はは
minamo1-5,talk,minamo,部員たちの汗の臭い？
minamo1-5,talk,natsuno,汗かな、これ......？
minamo1-5,talk,natsuno,......
minamo1-5,fg,survivor00,right-right,0.5,serious
minamo1-5,talk,natsuno,......何か、思い出した？
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,んー......
minamo1-5,talk,minamo,思い出したことは、いろいろあるけど
minamo1-5,talk,minamo,そーだなー
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......思い出すのは
minamo1-5,talk,minamo,やっぱ
minamo1-5,talk,minamo,あの......息苦しさ、かな
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,半年前、パンデミックが起きて
minamo1-5,talk,minamo,世の中がこんなんになって
minamo1-5,talk,minamo,『世の中」とかっていえるもんが、さっぱりなくなってしもうたじゃん？
minamo1-5,pauseBgm
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,ほんと......
minamo1-5,talk,minamo,こんなこと言ったら
minamo1-5,talk,minamo,今まで、いろんなことに巻き込まれて亡くなった人たちに申し訳ないけど
minamo1-5,talk,minamo,でも......
minamo1-5,talk,minamo,うちは、
minamo1-5,talk,minamo,今が、一番、生きてるって感じする
minamo1-5,talk,minamo,......
minamo1-5,fgRemove,survivor05,1.0
minamo1-5,fgRemove,survivor00,1.0
minamo1-5,wait,1
minamo1-5,playBgm,scenario06
minamo1-5,talk,minamo,......別に、前も、生きてはいたけど
minamo1-5,talk,minamo,家族がいて
minamo1-5,talk,minamo,自分の暮らしてる街があって
minamo1-5,talk,minamo,学校があって、世の中があって......
minamo1-5,talk,minamo,朝起きて
minamo1-5,talk,minamo,おはようって言って
minamo1-5,talk,minamo,学校行って
minamo1-5,talk,minamo,先生の話聞いて
minamo1-5,talk,minamo,道場行って
minamo1-5,talk,minamo,家に帰って
minamo1-5,talk,minamo,寝て
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......誰かが決めたみたいに
minamo1-5,talk,minamo,毎日、そんなんを繰り返して
minamo1-5,talk,minamo,......でも、それが嫌だったんかってゆーと
minamo1-5,talk,minamo,そうじゃない
minamo1-5,talk,minamo,嫌だったんは
minamo1-5,talk,minamo,みんなが、そういう暮らしに、違和感を抱いてなかったってこと
minamo1-5,talk,minamo,なのに......うちは、それが変だなって思ってしまうってこと
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......そうじゃない生き方だって、いろいろあるじゃんねって
minamo1-5,talk,minamo,うちは思う
minamo1-5,talk,minamo,朝起きない生き方だって
minamo1-5,talk,minamo,学校に行かない生き方だって、あるじゃんね
minamo1-5,talk,minamo,......でも、それができなくて苦しかったんじゃないよ
minamo1-5,talk,minamo,やれば、できたって思う
minamo1-5,talk,minamo,親も、友達も、きっとわかってくれたって思う
minamo1-5,talk,minamo,それ以前に......
minamo1-5,talk,minamo,うちは別に、朝起きるのが嫌じゃなかったし、学校も好きだった
minamo1-5,talk,minamo,けど、それでも
minamo1-5,talk,minamo,あの暮らしは......なんていうか
minamo1-5,wait,1
minamo1-5,talk,minamo,......気持ち悪かった
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......そんで、結局
minamo1-5,talk,minamo,一番、嫌だったんは
minamo1-5,talk,minamo,どうして、うちは
minamo1-5,talk,minamo,みんなみたいに、生きられんのだろうって......思ってしまうこと
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......先輩は
minamo1-5,talk,minamo,前話した、道場の先輩は
minamo1-5,talk,minamo,うちなんかより、よっぽどいろいろあっただろーに
minamo1-5,talk,minamo,実家が道場で
minamo1-5,talk,minamo,ほとんど無理やり剣道させられて
minamo1-5,talk,minamo,......厳しい親に育てられたから、なんか、なんでなんか
minamo1-5,talk,minamo,本当のところはわからんけど
minamo1-5,talk,minamo,あんまり人付き合いうまくなくて
minamo1-5,talk,minamo,先輩が、クラスに居場所なかったんも
minamo1-5,talk,minamo,知ってる
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......けど
minamo1-5,talk,minamo,それでも、先輩は
minamo1-5,talk,minamo,そういう暮らしの中で、笑っとった
minamo1-5,talk,minamo,ほとんど友達もおらん教室に行って
minamo1-5,talk,minamo,道場で稽古して
minamo1-5,talk,minamo,それを......そんな毎日を、受け入れとった
minamo1-5,talk,minamo,仕方がなく、とかじゃなくて
minamo1-5,talk,minamo,嫌々じゃなくて
minamo1-5,talk,minamo,本当に楽しそうに、笑っとった
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,うちには
minamo1-5,talk,minamo,なんで......あんな風に笑えるんか
minamo1-5,talk,minamo,どうしても、わからん
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......あの笑顔が
minamo1-5,talk,minamo,気持ち悪いって、思うてしまう
minamo1-5,wait,3
minamo1-5,pauseBgm
minamo1-5,fadeOut,1
minamo1-5,newPage
minamo1-5,fg,survivor00,right-right,0
minamo1-5,fg,survivor05,right-left,0
minamo1-5,wait,2
minamo1-5,fadeIn,1
minamo1-5,wait,1
minamo1-5,playBgm,character05
minamo1-5,talk,minamo,......気持ち悪いとか、言いながら
minamo1-5,talk,minamo,うち、先輩とほんとに仲良しだったんよ
minamo1-5,talk,minamo,それで
minamo1-5,talk,minamo,剣道して思い出したといえば、
minamo1-5,talk,minamo,世の中がおかしくなって、学校とか道場に行けなくなっちゃう、ちょっと前
minamo1-5,talk,minamo,先輩に、相談されたの......思い出した
minamo1-5,talk,natsuno,......
minamo1-5,talk,natsuno,どんな相談？
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......好きな人ができたかも、みたいな？
minamo1-5,talk,natsuno,......その、先輩に？
minamo1-5,talk,minamo,そ
minamo1-5,talk,minamo,好きな人ができたかもしれんけど、これが好きって気持ちなんかよーわからん、みたいな
minamo1-5,talk,minamo,そういう、中学生みたいな話だった
minamo1-5,talk,natsuno,......
minamo1-5,fg,survivor00,right-right,0.5,zito
minamo1-5,talk,natsuno,......それを中学生みたいとか言われると
minamo1-5,talk,natsuno,わたしに刺さる......
minamo1-5,talk,minamo,あはは
minamo1-5,talk,minamo,ナツノさんも、そーゆータイプか
minamo1-5,talk,natsuno,......
minamo1-5,talk,natsuno,......それで、ミナモ先生は
minamo1-5,talk,natsuno,なんて答えたの？
minamo1-5,talk,minamo,えー？
minamo1-5,talk,minamo,さー......
minamo1-5,talk,minamo,なんだったかなぁ
minamo1-5,talk,natsuno,......
minamo1-5,talk,minamo,......
minamo1-5,talk,minamo,......そんなことより
minamo1-5,talk,minamo,ナツノさん
minamo1-5,fg,survivor00,right-right,0.5,default
minamo1-5,talk,natsuno,......？
minamo1-5,talk,minamo,ちょっと、お手合わせ、お願いできんかな
minamo1-5,talk,natsuno,お手合わせ......
minamo1-5,talk,natsuno,って、剣道の？
minamo1-5,talk,minamo,そそ
minamo1-5,talk,minamo,この感じなら、たぶん道具一式揃ってそうだし
minamo1-5,talk,natsuno,むりむり
minamo1-5,talk,natsuno,剣道とか、やったことないし
minamo1-5,talk,natsuno,あんなの振れないよ
