id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
sub-natsuno1-1,bg,scenario00
sub-kiko1-1,jump,confluence
sub-kiko1-1,label,input_no
sub-kiko1-1,talk,kiko,そうですか......
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,jump,confluence
sub-kiko1-1,label,confluence
sub-kiko1-1,fg,survivor01,right-right,0.5,default
sub-kiko1-1,talk,kiko,......あたし、犬、飼ってたんです
sub-kiko1-1,talk,kiko,......あはは。知ってますよね
sub-kiko1-1,talk,kiko,ミノタローっていうんです
sub-kiko1-1,talk,kiko,生まれた頃から一緒で
sub-kiko1-1,talk,kiko,大好きで
sub-kiko1-1,talk,kiko,大事な家族で......
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,talk,kiko,でも、こんなことになって、キャンプを飛び出して一人で歩き回ったりしてて
sub-kiko1-1,talk,kiko,最近、ふと思うんです
sub-kiko1-1,talk,kiko,飼われてたミノタローたちは......
sub-kiko1-1,talk,kiko,人の都合でペットにされてた動物たちって、幸せだったのかなぁって
sub-kiko1-1,talk,kiko,野生の動物とか、もともとはペットだったのかもしれないけど、人からはぐれて野生に戻った動物を見ると
sub-kiko1-1,talk,kiko,なんだか、そっちの方がずっと生き生きして見えて
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,talk,kiko,............
sub-kiko1-1,talk,kiko,......何言ってるんだろ、あたし
sub-kiko1-1,talk,kiko,ごめんなさい
sub-kiko1-1,talk,kiko,変な話して
sub-kiko1-1,talk,kiko,困っちゃいますよね
sub-kiko1-1,talk,kiko,......忘れてください
sub-kiko1-1,fgRemove,survivor01,1.0
sub-kiko1-1,talk,kiko,......
sub-kiko1-1,talk,kiko,............
sub-kiko1-1,talk,kiko,......ミノタローは
sub-kiko1-1,talk,kiko,幸せだったのかなぁ......
sub-kiko1-1,end,questSuccess,
-,,,
sub-shino1-1,fgClear
sub-shino1-1,bg,scenario00
sub-shino1-1,playBgm,character02
sub-shino1-1,fg,survivor02,right-right,0.5,smile
sub-shino1-1,talk,shino,ね！
sub-shino1-1,talk,shino,そこ、いる？
sub-shino1-1,talk,shino,いる、よね！
sub-shino1-1,talk,shino,ナツノちゃん、スマホ置いてどっか行っちゃったみたいでさ
sub-shino1-1,talk,shino,へへへ
sub-shino1-1,talk,shino,ちょっとお話してみたかったんだよね
sub-shino1-1,talk,shino,ナツノちゃんのいないとこで
sub-shino1-1,talk,shino,ずばり
sub-shino1-1,talk,shino,ナツノちゃんとは、どんな関係なの？
sub-shino1-1,talk,shino,もしかして、付き合ってる？
sub-shino1-1,waitCall,yes,input_yes,input_no
sub-shino1-1,label,input_yes
sub-shino1-1,talk,shino,やっぱり！
sub-shino1-1,talk,shino,そうなんじゃないかなーって思ってたんだよね
sub-shino1-1,talk,shino,......
sub-shino1-1,talk,shino,......なーんて
sub-shino1-1,talk,shino,わかってるよ
sub-shino1-1,talk,shino,冗談でしょ？
sub-shino1-1,jump,confluence
sub-shino1-1,label,input_no
sub-shino1-1,talk,shino,えー？
sub-shino1-1,talk,shino,なんだ、つまんないの
sub-shino1-1,jump,confluence
sub-shino1-1,label,confluence
sub-shino1-1,talk,shino,......
sub-shino1-1,talk,shino,え、あたし？
sub-shino1-1,talk,shino,あたしはねー......
sub-shino1-1,talk,shino,なんとー......
sub-shino1-1,talk,shino,......
sub-shino1-1,talk,shino,......誰もあたしのことなんか訊いてないって？
sub-shino1-1,talk,shino,いいもん
sub-shino1-1,talk,shino,訊かれなくたって話しちゃうもんね
sub-shino1-1,talk,shino,あたしは......
sub-shino1-1,talk,shino,こう見えて、今まで誰かと付き合ったこととか、ないんだよね
sub-shino1-1,talk,shino,意外でしょ？
sub-shino1-1,talk,shino,あはは
sub-shino1-1,talk,shino,ま、小さな町で育ったし
sub-shino1-1,talk,shino,こっちに来てからも、どーしてか、そういうのとは無縁だったなー
sub-shino1-1,talk,shino,悲しいような
sub-shino1-1,talk,shino,そうでもないような
sub-shino1-1,talk,shino,人を好きになるって、結局、なんかよくわかんないんだよね
sub-shino1-1,talk,shino,よく話する男の子とかいたけど
sub-shino1-1,talk,shino,好きっていうのとは違うような
sub-shino1-1,talk,shino,そんな情熱的になれないというか
sub-shino1-1,talk,shino,なんなんだろうね
sub-shino1-1,talk,shino,付き合ってる友達とかもいたけど......
sub-shino1-1,talk,shino,わかんないなー
sub-shino1-1,talk,shino,......
sub-shino1-1,fg,survivor02,right-right,0.5,default
sub-shino1-1,talk,shino,......みんな
sub-shino1-1,talk,shino,今ごろ......何してるかな
sub-shino1-1,end,questSuccess
-,,,
sub-endless1-1,bg,scenario11
sub-endless1-1,playBgm,character00
sub-endless1-1,talk,natsuno,あ......
sub-endless1-1,talk,natsuno,これ......
sub-endless1-1,talk,natsuno,カメラ......？
sub-endless1-1,talk,natsuno,見たことないかたちしてるけど......
sub-endless1-1,talk,natsuno,......
sub-endless1-1,talk,natsuno,......あ
sub-endless1-1,talk,natsuno,..あれかな
sub-endless1-1,talk,natsuno,撮ったらすぐ写真がべーって出てくるやつ
sub-endless1-1,talk,natsuno,べーって
sub-endless1-1,talk,natsuno,......
sub-endless1-1,talk,natsuno,フィルムもある......
sub-endless1-1,talk,natsuno,えーと......
sub-endless1-1,talk,natsuno,インスタントカメラってやつであってるっぽい
sub-endless1-1,talk,natsuno,電池入ってるし、使えそう
sub-endless1-1,talk,natsuno,......
sub-endless1-1,talk,natsuno,......カメラ、かぁ
sub-endless1-1,talk,natsuno,うまく使えるかわかんないけど
sub-endless1-1,talk,natsuno,せっかくだし
sub-endless1-1,talk,natsuno,もらっていこうかな
sub-endless1-1,talk,natsuno,......
sub-endless1-1,talk,natsuno,何、撮ろう......
sub-endless1-1,talk,natsuno,うーん
sub-endless1-1,talk,natsuno,なんも思いつかない
sub-endless1-1,talk,natsuno,......
sub-endless1-1,talk,natsuno,......こういうとき
sub-endless1-1,talk,natsuno,あなたが横にいてくれたらな、って思っちゃうよね
sub-endless1-1,talk,natsuno,あなたがここにいてくれたら......
sub-endless1-1,talk,natsuno,写真くらい、撮らせてくれるよね？
sub-endless1-1,wait,1
sub-endless1-1,pushItemHouse,film00
sub-endless1-1,pushItemHouse,film00
sub-endless1-1,pushItemHouse,film00
sub-endless1-1,pushItemHouse,camera00
sub-endless1-1,end,questSuccess
-,,,
