id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main1-1,bg,location00
main1-2,talk,natsuno,......感染者かな
main1-2,talk,natsuno,にしては、ちょっと静かすぎ......
main1-2,talk,natsuno,......この前みたいな、まだ意識のある感染者かな
main1-2,fg,survivor00,right-right,0.5,depress
main1-2,talk,natsuno,......だったら、やだな
main1-2,talk,natsuno,......
main1-2,talk,natsuno,だって、あのときみたいに......
main1-2,talk,natsuno,目の前で死んじゃうかもしれないじゃん......
main1-2,talk,natsuno,......
main1-2,talk,natsuno,......ふぅ
main1-2,fg,survivor00,right-right,0.5,serious
main1-2,talk,natsuno,......見てみる
main1-2,talk,natsuno,いくよ
main1-2,talk,natsuno,......
main1-2,wait,1,
main1-2,fadeOut,1,
main1-2,pauseBgm,
main1-2,newPage,
main1-2,wait,1,
main1-2,fadeIn,1,
main1-2,talk,natsuno,......！
main1-2,talk,???,......！！
main1-2,fg,survivor03,right-left,0.5,serious
main1-2,talk,???,誰......！？
main1-2,talk,natsuno,......！
main1-2,talk,natsuno,......生きてる......人？
main1-2,talk,???,......
main1-2,talk,???,............
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,???,......生きてる人、だよ
main1-2,wait,1,
main1-2,fadeOut,1,
main1-2,newPage,,
main1-2,fg,survivor03,right-left,0,smile
main1-2,wait,1,
main1-2,playBgm,character03,
main1-2,fadeIn,1,
main1-2,talk,???,あははははっ
main1-2,talk,???,はははっ
main1-2,talk,???,ははっ
main1-2,talk,???,はー......
main1-2,talk,???,はははっ
main1-2,fg,survivor00,right-right,0.5,zito
main1-2,talk,natsuno,もう......笑いすぎ
main1-2,talk,???,だってー
main1-2,talk,???,だって......
main1-2,talk,???,ばかだよ、きみ
main1-2,talk,???,大ばかだよ
main1-2,talk,???,女の子が、こんなところまで一人旅？
main1-2,talk,???,東京からぁ？
main1-2,talk,???,ほんと......いっそ尊敬しちゃう
main1-2,talk,???,よく生きてられたね
main1-2,talk,natsuno,......
main1-2,fg,survivor00,right-right,0.5,serious
main1-2,talk,natsuno,まぁ......でも、運がよかっただけで
main1-2,talk,???,ふふーん
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,???,運かぁ
main1-2,talk,???,まぁ、いんだろうなー
main1-2,talk,???,ふふん
main1-2,talk,???,こんなところまで、生きてこれたわけだし
main1-2,fg,survivor03,right-left,0.5,smile
main1-2,talk,???,はは
main1-2,talk,natsuno,笑わないでよ。別におもしろくないでしょ
main1-2,talk,natsuno,それに、そんなの、アカネさんだって一緒でしょ？
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,akane,うーん？
main1-2,talk,natsuno,こんなところに、女の人が一人で
main1-2,talk,natsuno,食べ物とか、探しに来たんでしょ？
main1-2,talk,akane,うーん
main1-2,talk,akane,ま、生活物資をあさりに来たってところだけは、同じかな
main1-2,talk,akane,でも、どうだろね
main1-2,talk,akane,あたしとナツノちゃんじゃ、あまりに違うよ
main1-2,fg,survivor03,right-left,0.5,smile
main1-2,talk,akane,はははっ
main1-2,talk,akane,笑っちゃうくらい
main1-2,fg,survivor00,right-right,0.5,zito
main1-2,talk,natsuno,......
main1-2,talk,natsuno,何が違うわけ？
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,akane,怒んないでよ
main1-2,talk,akane,かわいいな
main1-2,talk,natsuno,......
main1-2,talk,akane,ま、それはおいおいとして
main1-2,talk,akane,キャンプ、行こうよ
main1-2,fg,survivor00,right-right,0.5,default
main1-2,talk,natsuno,......キャンプ？
main1-2,wait,1,
main1-2,fadeOut,1,
main1-2,pauseBgm,
main1-2,newPage,,
main1-2,fgClear,
main1-2,wait,2,
main1-2,bg,scenario02
main1-2,fadeIn,1,
main1-2,playBgm,character00,
main1-2,fg,survivor00,right-right,0.5
main1-2,talk,natsuno,......ね
main1-2,talk,natsuno,聞いてる？
main1-2,talk,natsuno,すごいよ、ここ
main1-2,talk,natsuno,アカネさんに連れてきてもらったキャンプ
main1-2,talk,natsuno,たくさん人がいた。二十人くらいかな
main1-2,talk,natsuno,大人の人ばっかりだけど......
main1-2,talk,natsuno,まだ詳しく聞いてないけど、もともと同じ会社で働いてた人たちの集まり、みたい
main1-2,talk,natsuno,山の中の廃倉庫で、みんなで暮らしてるんだって
main1-2,talk,natsuno,十分じゃないけど、食べ物とかもあって......
main1-2,talk,natsuno,わたしも、しばらくここにいていいって
main1-2,talk,natsuno,......
main1-2,fg,survivor00,right-right,0.5,serious
main1-2,talk,natsuno,......でね
main1-2,talk,natsuno,あなたのことは......
main1-2,talk,natsuno,話さなかった
main1-2,talk,natsuno,話したら、スマホとられちゃいそうだし
main1-2,talk,natsuno,......内緒にしとく
main1-2,wait,1,
main1-2,fadeOutTextLine
main1-2,newPage,
main1-2,fadeInTextLine
main1-2,fg,survivor00,right-right,0.5,default
main1-2,talk,natsuno,食べ物とかを探しに、街の方に出て行ったりするんだって
main1-2,talk,natsuno,わたしも自分の分くらいは自分でなんとかしないとだから
main1-2,talk,natsuno,これからも、今までみたいに廃墟に行くよ
main1-2,fg,survivor00,right-right,0.5,smile
main1-2,talk,natsuno,そのときは、また話し相手になってよね
main1-2,end,questSuccess,
-,,,
main1-3,bg,scenario02
main1-3,talk,natsuno,あ、アカネさん
main1-3,fg,survivor03,right-left,0.5
main1-3,playBgm,character03
main1-3,talk,akane,おー？
main1-3,talk,akane,ナツノちゃんじゃん
main1-3,talk,akane,どしたの？
main1-3,talk,natsuno,今、ひま？
main1-3,talk,akane,んー？
main1-3,talk,akane,ひま
main1-3,talk,natsuno,何してたの？
main1-3,talk,akane,別に何ってこともないよ
main1-3,talk,akane,昨日図書館から運び出した本の仕分けをしてただけ
main1-3,talk,natsuno,本？
main1-3,talk,natsuno,たき火の燃料にでもするの？
main1-3,fg,survivor03,right-left,0.5,smile
main1-3,talk,akane,まっさかー
main1-3,talk,akane,本は貴重なんだよ、ナツノくん
main1-3,talk,akane,燃やすなんてとんでもない
main1-3,fg,survivor03,right-left,0.5,default
main1-3,talk,akane,ネットやデジタルメディアがほとんど役に立たなくなって
main1-3,talk,akane,さくっと情報を集める手段は、今や誰もいない図書館に死蔵された本くらいなんだもん
main1-3,talk,natsuno,そっか
main1-3,talk,natsuno,でも、発電機あるし、パソコンも動くんじゃないの？
main1-3,talk,akane,パソコン一台あったって、何ができるのさ
main1-3,talk,akane,ネットに繋がってないコンピュータに入ってる情報なんて、本の一冊より少ないでしょ
main1-3,talk,akane,空き家からパソコン持ち出して、一つひとつ起動させて調べるほど、電力に余裕ないしね
main1-3,talk,natsuno,ふーん......
main1-3,talk,natsuno,それで、何かわかった？
main1-3,talk,akane,何かって？
main1-3,talk,natsuno,今の世の中の状況とか
main1-3,talk,akane,状況、ねー
main1-3,talk,akane,図書館でも、普通の空き家でも、新聞見かけたら持って帰るようにしてるけど
main1-3,talk,akane,わかることは、あんまり
main1-3,talk,akane,本当にやばくなった頃には、当たり前だけど新聞なんか出てないわけだし？
main1-3,talk,natsuno,そうだよね
main1-3,fg,survivor00,right-right,0.5,serious
main1-3,talk,natsuno,......どこに行っても、こんな感じなのかな
main1-3,talk,akane,さーねー
main1-3,talk,akane,ときどき、誰かが飛ばしてる電波をつかまえて聞けたりするけど
main1-3,talk,akane,みんな同じようなもんだよ
main1-3,talk,akane,ここにいるから助けて、とか
main1-3,talk,natsuno,......そっか
main1-3,talk,akane,まぁでも
main1-3,talk,akane,ナツノちゃんみたいに、一人で生き延びてるたくましい子たちもいるだろうし
main1-3,talk,akane,アタシの勝手な想像だと、アタシたちみたいに集まって生活してる人たちは、それなりにいるはずだよ
main1-3,fg,survivor00,right-right,0.5,default
main1-3,talk,natsuno,そういう人たちと、会ったことある？
main1-3,talk,akane,何度かね
main1-3,talk,akane,同行しようって話にはならなかったけど
main1-3,talk,akane,みんな、案外たくましく生きてるよ
main1-3,talk,akane,国とか社会とか、生活インフラがなくなったって、そんな簡単には死なないんだ
main1-3,talk,akane,感染さえしなけりゃね
main1-3,fg,survivor00,right-right,0.5,serious
main1-3,talk,natsuno,......そだね
main1-3,talk,natsuno,わたしも、なんとなくでここまで来れたわけだし
main1-3,talk,natsuno,......みんな、どこかで元気にしてるといいな
main1-3,end,questSuccess
-,,,
main1-4,bg,location14
main1-4,fg,survivor00,right-right,0,serious
main1-4,playBgm,environment04
main1-4,wait,1,
main1-4,fg,survivor03,right-left,0.5
main1-4,talk,akane,あ、いたいた
main1-4,talk,akane,ナツノちゃん
main1-4,talk,akane,何してるの、こんなとこで
main1-4,talk,natsuno,ん......
main1-4,talk,natsuno,何ってわけでもないけど......
main1-4,talk,akane,もしかして、海、初めて？
main1-4,talk,natsuno,ううん
main1-4,talk,natsuno,......なんか
main1-4,talk,natsuno,懐かしいなって
main1-4,talk,akane,ナツノちゃんって、住んでたの東京じゃなかったっけ？
main1-4,talk,akane,......や、東京にも海ってあるか
main1-4,talk,natsuno,うん
main1-4,talk,natsuno,そだけど
main1-4,talk,natsuno,おばあちゃんの家が、海の見えるとこで
main1-4,talk,natsuno,全然、こことは違うけど
main1-4,talk,natsuno,違うけど......懐かしい
main1-4,fg,survivor03,right-left,0.5,serious
main1-4,talk,akane,ふーん......
main1-4,talk,natsuno,......
main1-4,talk,akane,......感傷に浸ってるとこ悪いけど
main1-4,fg,survivor00,right-right,0.5,default
main1-4,talk,natsuno,？
main1-4,fg,survivor03,right-left,0.5,default
main1-4,talk,akane,ご飯だよ
main1-4,talk,natsuno,あ......
main1-4,talk,natsuno,もうそんな時間？
main1-4,talk,akane,そんな時間
main1-4,talk,akane,ほら、行くぞー
main1-4,fg,survivor03,right-left,0.5,smile
main1-4,talk,akane,感傷じゃ、お腹は膨れないのだー
main1-4,talk,natsuno,うん
main1-4,fg,survivor00,right-right,0.5,smile
main1-4,talk,natsuno,......はは
main1-4,talk,natsuno,なんか、お母さんみたいだね
main1-4,fg,survivor03,right-left,0.5,default
main1-4,talk,akane,アタシまだそんな歳じゃなーい
main1-4,talk,natsuno,アカネさんっていくつなの？
main1-4,fg,survivor03,right-left,0.5,smile
main1-4,talk,akane,ないしょ
main1-4,talk,akane,いくつに見えるー？
main1-4,talk,natsuno,その言い方がおばさんくさい
main1-4,talk,akane,ひどっ
main1-4,wait,1
main1-4,fadeOut,1
main1-4,pauseBgm
main1-4,wait,1
main1-4,newPage
main1-4,fg,survivor00,right-right,0,default
main1-4,fg,survivor03,right-left,0,default
main1-4,bg,scenario02
main1-4,fadeIn,1
main1-4,wait,1
main1-4,playBgm,character03
main1-4,talk,akane,ナツノちゃんって、一人っ子？
main1-4,talk,natsuno,え？
main1-4,talk,natsuno,なに？　いきなり
main1-4,talk,natsuno,一人っ子だけど
main1-4,talk,akane,や
main1-4,talk,akane,なんか、さっき感傷に浸ってるとこ邪魔しちゃって
main1-4,talk,akane,悪かったなって
main1-4,fg,survivor00,right-right,0.5,zito
main1-4,talk,natsuno,......そういう風に言われると、なんか恥ずかしいんだけど
main1-4,fg,survivor03,right-left,0.5,smile
main1-4,talk,akane,恥ずかしくないよ。ははは
main1-4,talk,natsuno,笑ってるじゃん
main1-4,fg,survivor03,right-left,0.5,default
main1-4,talk,akane,だから、感傷に浸らせてあげようと思って
main1-4,talk,natsuno,浸らせるって......
main1-4,talk,natsuno,なにそれ
main1-4,talk,akane,そーだなー
main1-4,talk,akane,部活は？　何かしてた？
main1-4,fg,survivor00,right-right,0.5,default
main1-4,talk,natsuno,......ううん。中学の頃はバスケやってたけど
main1-4,talk,natsuno,高校は帰宅部
main1-4,talk,akane,なんでやめちゃったの？
main1-4,talk,natsuno,別に、なんとなく......
main1-4,talk,akane,ふーん
main1-4,talk,akane,じゃあ趣味は？
main1-4,talk,natsuno,趣味は......
main1-4,talk,natsuno,うーん......
main1-4,talk,natsuno,音楽聴く......とか？
main1-4,talk,akane,どんな？
main1-4,talk,natsuno,なんでも
main1-4,talk,akane,好きなアーティストは？
main1-4,talk,natsuno,これっていうのは......あんまり......
main1-4,talk,natsuno,ずっと流してるだけだから、誰の曲ってあんまり意識しないかな
main1-4,talk,akane,好きな教科は？
main1-4,fg,survivor00,right-right,0.5,zito
main1-4,talk,natsuno,......これ、いつまで続くの？
main1-4,talk,akane,んー？
main1-4,fg,survivor03,right-left,0.5,smile
main1-4,talk,akane,ナツノちゃんが感傷に浸るまで
main1-4,talk,natsuno,一生むり
main1-4,talk,akane,えー？
main1-4,talk,akane,じゃあ、最後にいっこだけ
main1-4,talk,natsuno,......
main1-4,fg,survivor03,right-left,0.5,default
main1-4,talk,akane,今、一番やりたいことは？
main1-4,talk,natsuno,......
main1-4,pauseBgm
main1-4,fg,survivor00,right-right,0.5,serious
main1-4,talk,natsuno,......やりたいことっていうか
main1-4,talk,natsuno,したいことは......あんまり思いつかないけど
main1-4,talk,natsuno,けど......
main1-4,talk,natsuno,......
main1-4,talk,natsuno,............
main1-4,talk,natsuno,......友達に、会いたい......かな
main1-4,talk,akane,......
main1-4,talk,akane,......そっか
main1-4,wait,1
main1-4,end,questSuccess,
-,,,
main1-5,bg,scenario03
main1-5,playBgm,scenario03
main1-5,wait,1,
main1-5,talk,natsuno,アカネさんたちって
main1-5,fg,survivor03,right-left,0.5
main1-5,talk,akane,んー？
main1-5,talk,natsuno,何してた人たちなの？
main1-5,talk,akane,何って
main1-5,talk,akane,一緒に仕事をしてた人たち、だよ？
main1-5,talk,akane,オトナは働かなければならぬものでね
main1-5,talk,natsuno,どんな仕事？
main1-5,talk,akane,......んー
main1-5,talk,akane,どしてそんなこと気になったの？
main1-5,talk,natsuno,うーん
main1-5,talk,natsuno,なんていうか
main1-5,talk,natsuno,バランスが悪いっていうか
main1-5,talk,akane,バランス？
main1-5,talk,natsuno,別に、嫌っていうか、悪く言うつもりないんだけど
main1-5,talk,natsuno,似た雰囲気の人が多いっていうか
main1-5,talk,natsuno,男の人が多くて
main1-5,talk,natsuno,メガネの人も多いし
main1-5,talk,natsuno,あと、ときどき白衣着てるのも見かけるし
main1-5,talk,natsuno,お医者さんとかなの？
main1-5,talk,akane,あー......
main1-5,talk,akane,似てるけど、全然違うかなぁ
main1-5,talk,akane,少なくとも病院で働いてたわけじゃないから
main1-5,talk,akane,ナツノちゃんが怪我しても、ちゃんと診てあげるのはむりかも
main1-5,talk,akane,普通の人よりは、多少知識があるかもだけど
main1-5,fg,survivor03,right-left,0.5,smile
main1-5,talk,akane,あはは
main1-5,talk,akane,もしかして、みんなちょっと話しかけづらい？
main1-5,talk,natsuno,まぁ......ちょっとだけ？
main1-5,talk,akane,あははは
main1-5,talk,akane,ごめんね
main1-5,fg,survivor03,right-left,0.5,default
main1-5,talk,akane,みんなも、若い女の子に対してどう接していいのかわからないんだ、たぶん
main1-5,talk,natsuno,ふぅん......
main1-5,talk,natsuno,まぁでも
main1-5,talk,natsuno,アカネさんは話しやすいから
main1-5,talk,natsuno,大丈夫
main1-5,talk,akane,そーなの？
main1-5,talk,akane,うむうむ、それはいいことだ
main1-5,talk,akane,ま、アタシもこのチームじゃちょっと浮いてるとこあるしね
main1-5,talk,natsuno,チームなんだ
main1-5,talk,akane,チーム......だった、かな
main1-5,talk,akane,もう雇い主もいないからね、解散したも同然だよ
main1-5,talk,natsuno,そうなんだ......
main1-5,talk,natsuno,......
main1-5,talk,natsuno,......アカネさんって、彼氏とかいるの？
main1-5,fg,survivor03,right-left,0.5,smile
main1-5,talk,akane,えー？
main1-5,talk,akane,なんで？
main1-5,talk,natsuno,男の人ばっかりだから
main1-5,talk,natsuno,そういうのも、あるのかなって
main1-5,talk,akane,あー
main1-5,talk,akane,いそうに見える？
main1-5,talk,akane,そっかー
main1-5,talk,akane,見えるかー
main1-5,talk,akane,うんうん
main1-5,talk,akane,そうでしょうとも
main1-5,fg,survivor00,right-right,0.5,zito
main1-5,talk,natsuno,......何も言ってないけど
main1-5,fg,survivor03,right-left,0.5,default
main1-5,talk,akane,でも、安心してよ
main1-5,talk,akane,カレシなんか、いないよ！
main1-5,talk,natsuno,......別に、何も心配とかしてないけど......
main1-5,talk,natsuno,むしろその歳でいない方が心配というか......
main1-5,fg,survivor03,right-left,0.5,default
main1-5,talk,akane,うっ......
main1-5,talk,akane,ええーい！
main1-5,talk,akane,昔はいた！
main1-5,talk,akane,今、たまたま、いないだけ！
main1-5,talk,akane,こんな状況だから仕方ない！
main1-5,talk,akane,......
main1-5,talk,akane,......まぁ、こんな状況だから、むしろカップル増えてるけど......
main1-5,fg,survivor00,right-right,0.5,default
main1-5,talk,natsuno,そうなの？
main1-5,talk,akane,きっと生存本能が強くはたらくんだよ
main1-5,talk,akane,いつ死ぬともわかんないもん、子孫を残さなきゃって
main1-5,talk,natsuno,ふーん......
main1-5,talk,natsuno,でも、アカネさんはいないんだ
main1-5,talk,akane,なんだよー
main1-5,talk,akane,いいじゃんか、ひとり身でもー
main1-5,talk,akane,きみはアタシの母親かぁ？
main1-5,fg,survivor00,right-right,0.5,smile
main1-5,talk,natsuno,はは
main1-5,talk,akane,そーゆーナツノちゃんはどうなのさ
main1-5,talk,akane,カレシとかいたの？
main1-5,talk,akane,もしくはカノジョ？
main1-5,fg,survivor00,right-right,0.5,default
main1-5,talk,natsuno,んー......
main1-5,talk,natsuno,わたし、そういうのよくわかんないんだよね
main1-5,talk,akane,かーっ
main1-5,talk,akane,青春かよっ
main1-5,fg,survivor00,right-right,0.5,smile
main1-5,talk,natsuno,ははは
main1-5,talk,natsuno,でもほんとに
main1-5,talk,natsuno,よくわかんないんだよね
main1-5,wait,1,
main1-5,end,questSuccess
-,,,
main1-6,bg,scenario03
main1-6,playBgm,environment07
main1-6,wait,1
main1-6,talk,natsuno,......ね
main1-6,talk,natsuno,聞いてる？
main1-6,talk,natsuno,......うん
main1-6,talk,natsuno,なんか
main1-6,talk,natsuno,こうやって二人で話すの、久しぶりだね
main1-6,talk,natsuno,最近、いつも誰かが近くにいるから......
main1-6,talk,natsuno,......
main1-6,talk,natsuno,......そうでもないっか
main1-6,talk,natsuno,あなたと初めて話してから、まだそんなに経ってないもんね
main1-6,talk,natsuno,久しぶりっていうほどじゃない......よね
main1-6,talk,natsuno,......
main1-6,talk,natsuno,......でも、こうやって過ごすのって久しぶりな気がして
main1-6,talk,natsuno,それは......別に、だめなことじゃないんだけど
main1-6,talk,natsuno,......
main1-6,fg,survivor00,right-right,0.5,serious
main1-6,talk,natsuno,......最近、いつも
main1-6,talk,natsuno,こんなのが、いつまで続くんだろうって考えちゃう
main1-6,talk,natsuno,......そうそう
main1-6,talk,natsuno,今日食べるものを、街から盗み出して
main1-6,talk,natsuno,明日どうなるかもわかんなくて
main1-6,talk,natsuno,......っていうのも、そうなんだけど
main1-6,talk,natsuno,アカネさんや、他の人たちと一緒にいられて
main1-6,talk,natsuno,みんなで話をしたり
main1-6,talk,natsuno,ご飯食べたり
main1-6,talk,natsuno,そんな時間が......いつまで続くんだろう
main1-6,fg,survivor00,right-right,0.5,smile
main1-6,talk,natsuno,......ううん。ずっと続くといいなって思うよ
main1-6,talk,natsuno,でも、もしかしたらそうじゃないかもしれないじゃん？
main1-6,fg,survivor00,right-right,0.5,serious
main1-6,talk,natsuno,......前、見たことあるんだ
main1-6,talk,natsuno,ここみたいに、たくさんの人が暮らしてたキャンプで
main1-6,talk,natsuno,人がたくさん死んでるとこ
main1-6,talk,natsuno,......
main1-6,talk,natsuno,......こんな話、アカネさんにはできなくて
main1-6,talk,natsuno,心配させちゃうっていうか
main1-6,talk,natsuno,気、遣わせちゃうじゃん？
main1-6,talk,natsuno,......あなたなら
main1-6,talk,natsuno,もし、ここでみんなで暮らせなくなっても
main1-6,talk,natsuno,一緒にいてくれるかなって
main1-6,talk,natsuno,思って
main1-6,talk,natsuno,だから──
main1-6,wait,1
main1-6,end,questSuccess
-,,,
main1-7,bg,computer00
main1-7,wait,2
main1-7,talk,,返事をしようとした。
main1-7,talk,,心に決めた、これという言葉があったわけじゃないけれど。
main1-7,talk,,咄嗟に、応えなきゃいけないと思った。
main1-7,talk,,でも、できなかった。
main1-7,talk,,言葉は出てきていたかもしれない。
main1-7,talk,,声になっていたかもしれない。
main1-7,talk,,でも、彼女には届かなかった。
main1-7,wait,1
main1-7,fadeOutTextLine
main1-7,wait,1,
main1-7,newPage,
main1-7,fadeInTextLine
main1-7,playBgm,scenario01
main1-7,wait,1,
main1-7,talk,,返事をしようとした、そのとき、
main1-7,talk,,大きな悲鳴が聞こえた。
main1-7,talk,,それから、銃声。
main1-7,talk,,何かの崩れる音。
main1-7,talk,,呼びかけても、彼女から返事はなかった。
main1-7,talk,,画面は、何ともわからない暗闇を映すばかりで。
main1-7,talk,,誰かの悲鳴や、銃声がときどき聞こえてくるだけだった。
main1-7,talk,,しばらくそんなのが続いて。
main1-7,talk,,やがて、怖いくらい静かになった。
main1-7,talk,,それでも、
main1-7,talk,,彼女は、呼びかけに応えてくれなかった。
main1-7,wait,1
main1-7,end,questSuccess
-,,,
main1-8,bg,scenario00
main1-8,fgClear
main1-8,talk,natsuno,......
main1-8,talk,natsuno,............
main1-8,talk,natsuno,......まだ
main1-8,talk,natsuno,まだ......そこ、いる？
main1-8,playBgm,scenario02
main1-8,fg,survivor00,right-right,0.5,serious
main1-8,talk,natsuno,......
main1-8,talk,natsuno,......よかった
main1-8,talk,natsuno,......
main1-8,fg,survivor00,right-right,0.5,depress
main1-8,talk,natsuno,みんなと......ばらばらになっちゃったみたい
main1-8,talk,natsuno,キャンプに、感染者が現れて......
main1-8,talk,natsuno,一人じゃなくて、それで......
main1-8,talk,natsuno,みんな、無事に逃げられたかな......
main1-8,talk,natsuno,アカネさん......無事かな
main1-8,fg,survivor00,right-right,0.5,serious
main1-8,talk,natsuno,ここ、どこだろ......
main1-8,talk,natsuno,慌てて車に乗って逃げちゃったから......
main1-8,talk,natsuno,もう帰り道もわかんないや......
main1-8,talk,natsuno,......
main1-8,talk,natsuno,......ねぇ
main1-8,talk,natsuno,あなたさ
main1-8,fg,survivor00,right-right,0.5,doubt
main1-8,talk,natsuno,わたしが逃げてる間......話しかけてくれてた？
main1-8,talk,natsuno,......
main1-8,talk,natsuno,信じてもらえないかもしれないけど
main1-8,talk,natsuno,逃げてる間、あなたの声が聞こえて......
main1-8,talk,natsuno,スマホからじゃなくて......
main1-8,talk,natsuno,......
main1-8,talk,natsuno,......感染者から、あなたの声がしたような
main1-8,talk,natsuno,......
main1-8,fg,survivor00,right-right,0.5,serious
main1-8,talk,natsuno,......ううん
main1-8,talk,natsuno,たぶん、気のせい
main1-8,talk,natsuno,ごめんね、変なこと言って
main1-8,talk,natsuno,......そんなわけ、ないもん
main1-8,talk,natsuno,......
main1-8,talk,natsuno,......とにかく
main1-8,talk,natsuno,また、今までみたいに
main1-8,talk,natsuno,この車で、しばらく一人旅だなぁ
main1-8,talk,natsuno,......
main1-8,fg,survivor00,right-right,0.5,smile
main1-8,talk,natsuno,......そだね
main1-8,talk,natsuno,一人じゃ、ないんだった
main1-8,talk,natsuno,......ありがと
main1-8,wait,1
main1-8,end,ending,main1
-,,,
