id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
collection1-1,bg,scenario00
collection2-1,talk,natsuno,......昔ね
collection2-1,talk,natsuno,ちょっとだけ、やったことあるんだ
collection2-1,talk,natsuno,ギター
collection2-1,talk,natsuno,そう、アコギってやつ
collection2-1,talk,natsuno,お父さんが昔使ってたやつがあって
collection2-1,talk,natsuno,それもらって、ネットの動画見ながら練習して
collection2-1,talk,natsuno,楽器とか、それまで全然やったことなかったから
collection2-1,talk,natsuno,学校やってたリコーダーもあんま得意じゃなかったし
collection2-1,talk,natsuno,結構大変だったな
collection2-1,talk,natsuno,でも、なんか、憧れっていうか
collection2-1,talk,natsuno,ギターって、かっこいいじゃん
collection2-1,talk,natsuno,弾き語りとかしてみたいって......1回くらい、思ったことない？
collection2-1,talk,natsuno,......わたしは
collection2-1,talk,natsuno,......ある
collection2-1,talk,natsuno,なんか恥ずかしいけど、でも、ほんとだし......
collection2-1,talk,natsuno,......
collection2-1,talk,natsuno,......懐かしいな
collection2-1,talk,natsuno,今でもまだ、わたしの部屋に置いてあるんじゃないかな、ギター
collection2-1,talk,natsuno,......あ、でも
collection2-1,talk,natsuno,誰か別の人が持って行ったりしてるかも
collection2-1,talk,natsuno,あの辺に、今でも誰か残ってるかどうかはわかんないけど
collection2-1,talk,natsuno,わたしが、このギターもらっちゃったみたいにさ
collection2-1,talk,natsuno,誰かが、使ってくれてたりして
collection2-1,talk,natsuno,......
collection2-1,talk,natsuno,......そうだったらいいな
collection2-1,talk,natsuno,結局、わたしは、1曲なんとか弾けるようになったくらいで、やめちゃったから
collection2-1,talk,natsuno,ちゃんと弾いてくれる人が持っててくれたら
collection2-1,talk,natsuno,わたしが持ってるより、部屋の中に仕舞ってあるより
collection2-1,talk,natsuno,ずっと、いいよね
collection2-1,talk,natsuno,......ほんとに
collection2-1,talk,natsuno,そうだったら、うれしいな
collection2-1,talk,natsuno,......
collection2-1,talk,natsuno,......せっかくだし
collection2-1,talk,natsuno,思い出しながら、また練習してみよっかな
collection2-1,talk,natsuno,弾けるようになったら
collection2-1,talk,natsuno,聴いてくれる？
collection2-1,talk,natsuno,......え？
collection2-1,talk,natsuno,今？
collection2-1,talk,natsuno,今は、だめ
collection2-1,talk,natsuno,弾けないよ、もう忘れちゃった
collection2-1,talk,natsuno,練習してるところは見せたくない......
collection2-1,talk,natsuno,恥ずかしいもん
collection2-1,talk,natsuno,聴かせられるようになったら、聴かせてあげる
collection2-1,talk,natsuno,だから、気長に待っててよ
collection2-1,talk,natsuno,きっと......いつか、ね
collection2-1,wait,2
collection2-1,end,questSuccess
-,,,
collection3-1,bg,scenario07
collection3-1,playBgm,environment01
collection3-1,wait,2
collection3-1,talk,natsuno,えーと......
collection3-1,talk,natsuno,千年の時を生きる、冷徹な吸血鬼と
collection3-1,talk,natsuno,今日を一生懸命に生きる普通の少女の、優しくて切ない恋......
collection3-1,talk,natsuno,......を描いた、小説なんだって
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,恋愛小説って、今までちゃんと読んだことないかも
collection3-1,talk,natsuno,ドラマとか、漫画とかは勧められてよく見てたけど
collection3-1,talk,natsuno,小説で読むのとじゃ、違うのかな
collection3-1,talk,natsuno,......ま
collection3-1,talk,natsuno,読んでみればいっか
collection3-1,talk,natsuno,時間はいくらでもあるんだし
collection3-1,talk,natsuno,こうやって手元にあるのだって、何かの縁だし
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......あなたはさ
collection3-1,talk,natsuno,恋とか、したことある？
collection3-1,talk,natsuno,......や
collection3-1,talk,natsuno,答えなくていいよ
collection3-1,talk,natsuno,......わたしは、なくってさ
collection3-1,talk,natsuno,仲のいい友達はいたけど
collection3-1,talk,natsuno,好きっていうの、なんか、よくわかんないっていうか
collection3-1,talk,natsuno,よくわかんないっていうと変だけど......
collection3-1,talk,natsuno,みんなみたいに、あの人が好き！　ってなったことなくて
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......中学を卒業するとき
collection3-1,talk,natsuno,仲良かった男の子に、告られて
collection3-1,talk,natsuno,その人のこと、嫌いじゃなかったけど
collection3-1,talk,natsuno,一緒に遊んだこともあったし
collection3-1,talk,natsuno,仲は、よかったと思うけど
collection3-1,talk,natsuno,でも......付き合ってほしい、って言われたら
collection3-1,talk,natsuno,どうしていいかわかんなくて......
collection3-1,talk,natsuno,......はは
collection3-1,talk,natsuno,あのとき、たぶん、向こうも困っちゃっただろうな
collection3-1,talk,natsuno,うんとも、嫌とも言えなくて
collection3-1,talk,natsuno,しばらく黙ってて
collection3-1,talk,natsuno,......それで
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......あれ
collection3-1,talk,natsuno,それで、どうしたんだろ
collection3-1,talk,natsuno,付き合ったりしなかったから、断ったのは確かなんだけど
collection3-1,talk,natsuno,......わたし、なんて言ったんだろ
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......あーあ
collection3-1,talk,natsuno,こんなだから、わたしってだめなんだろうな
collection3-1,talk,natsuno,人生で初めての告白だったのに
collection3-1,talk,natsuno,なんて言って断ったのかも
collection3-1,talk,natsuno,どんな風に告白されたのかも
collection3-1,talk,natsuno,......全然、憶えてないや
collection3-1,talk,natsuno,泣けてきちゃう
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......泣きたいのは、向こうだよね
collection3-1,talk,natsuno,......
collection3-1,talk,natsuno,......告白されるのなんか
collection3-1,talk,natsuno,きっと、あれが最初で最後、なんだろうな
collection3-1,wait,2
collection3-1,end,questSuccess
-,,,
collection4-1,bg,scenario03
collection4-1,playBgm,environment08
collection4-1,wait,2
collection4-1,talk,natsuno,これ......レコードってやつだよね
collection4-1,talk,natsuno,初めて見たかも
collection4-1,talk,natsuno,あれだよね
collection4-1,talk,natsuno,この円盤の表面に傷っていうか......デコボコがあって、それで音出るんだよね
collection4-1,talk,natsuno,なんか......全然想像できないや
collection4-1,talk,natsuno,......触ったら、だめ......だよね
collection4-1,talk,natsuno,たぶん
collection4-1,talk,natsuno,......すごいな
collection4-1,talk,natsuno,昔の人の考えることって
collection4-1,talk,natsuno,せっかくだから聴いてみたいけど
collection4-1,talk,natsuno,再生する道具ないし
collection4-1,talk,natsuno,どんな音が鳴るんだろ
collection4-1,talk,natsuno,CD聴くのとじゃ、やっぱ違うのかな
collection4-1,talk,natsuno,......結構、ほんとに聴いてみたくなってきた
collection4-1,talk,natsuno,どこかに機械落ちてないかな......
collection4-1,talk,natsuno,......落ちてても、見たってレコード再生するやつだってわかんないかもだけど
collection4-1,pauseBgm
collection4-1,talk,natsuno,......
collection4-1,talk,natsuno,......こうやって
collection4-1,playBgm,scenario03
collection4-1,talk,natsuno,昔は......半年前までは、当たり前だったことが
collection4-1,talk,natsuno,いろいろできなくなって
collection4-1,talk,natsuno,もう二度と、経験できないこととか......
collection4-1,talk,natsuno,結構、あるんだろうな
collection4-1,talk,natsuno,......
collection4-1,talk,natsuno,......レコード聞いたり
collection4-1,talk,natsuno,友達とゲームしたり
collection4-1,talk,natsuno,みんなで初詣に行ったり
collection4-1,talk,natsuno,......そういうの
collection4-1,talk,natsuno,たぶん、もう、できないよね
collection4-1,talk,natsuno,......
collection4-1,talk,natsuno,......ま
collection4-1,talk,natsuno,いいけどね
collection4-1,talk,natsuno,その分、経験したくないこと、経験しなくていいし
collection4-1,talk,natsuno,大学受験とか
collection4-1,talk,natsuno,就活とか
collection4-1,talk,natsuno,毎日遅くまで会社で働くとか
collection4-1,talk,natsuno,......働くって、全然イメージできないけど
collection4-1,talk,natsuno,でも進路のことは、めんどくさいなーって思ってたから
collection4-1,talk,natsuno,わたし、やりたいこととか、あんまりないし
collection4-1,talk,natsuno,なんとなく、大学行くんだろうなー、でも受験めんどくさいなーって
collection4-1,talk,natsuno,思ってたし
collection4-1,talk,natsuno,......
collection4-1,talk,natsuno,......それに
collection4-1,talk,natsuno,こんな世界だから、できることもあるしね
collection4-1,talk,natsuno,一人で旅したり
collection4-1,talk,natsuno,いろんな人に会ったり
collection4-1,talk,natsuno,......あなたと
collection4-1,talk,natsuno,こうして、お話したり
collection4-1,talk,natsuno,......
collection4-1,talk,natsuno,......大変なことも、たくさんあるけど
collection4-1,talk,natsuno,嫌なことばっかりじゃないって
collection4-1,talk,natsuno,最近、よく、思うよ
collection4-1,wait,2
collection4-1,end,questSuccess
-,,,
collection5-1,bg,scenario14
collection5-1,playBgm,environment04
collection5-1,wait,2
collection5-1,talk,natsuno,これ、すごいよね
collection5-1,talk,natsuno,ほんとに、瓶の中に船の模型ができてる
collection5-1,talk,natsuno,すご......
collection5-1,talk,natsuno,ボトルシップっていうんだっけ
collection5-1,talk,natsuno,船の方が、瓶の口より大きいのに......
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,......どうやって入れるんだろ......ってね
collection5-1,talk,natsuno,昔、おじいちゃんに聞いたことあって
collection5-1,talk,natsuno,なんでだったかな
collection5-1,talk,natsuno,見てたテレビに、たまたまボトルシップが映ったからかな
collection5-1,talk,natsuno,小さい頃だから、あんまりよく憶えてないけど
collection5-1,talk,natsuno,でも、だから、なんとなく知ってるんだ
collection5-1,talk,natsuno,小さい部品のまま中にいれて、
collection5-1,talk,natsuno,瓶の中で組み立てるんでしょ？
collection5-1,talk,natsuno,すごいよね......
collection5-1,talk,natsuno,理屈はわかるけどさ
collection5-1,talk,natsuno,実際こうやって実物見ると、信じられないっていうか
collection5-1,talk,natsuno,途方もないなって思っちゃう
collection5-1,talk,natsuno,ほんとに船、入ってるんだな......
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,昔、一回だけね
collection5-1,talk,natsuno,乗ったことあるんだ
collection5-1,talk,natsuno,大きい船
collection5-1,talk,natsuno,豪華客船とかじゃなくて......
collection5-1,talk,natsuno,フェリー？　の大きいやつ
collection5-1,talk,natsuno,そのおじいちゃんの家が、海の見える町で
collection5-1,talk,natsuno,そこから乗って、旅行に行ったの
collection5-1,talk,natsuno,それも、小さい頃だから、どこに行ったのかよく憶えてないけど......
collection5-1,talk,natsuno,船のことは、なんか、思い出せるなぁ
collection5-1,talk,natsuno,船の中で食べたうどんとか
collection5-1,talk,natsuno,珍しい自動販売機とか
collection5-1,talk,natsuno,古いゲーム機が置いてあるのとか
collection5-1,talk,natsuno,......窓のと外の海の景色、ずっと見てたな......
collection5-1,talk,natsuno,何もなくて、水平線が見えるだけなんだけどね
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,なんでそんなことばっかり、憶えてるんだろ
collection5-1,talk,natsuno,初めてだったから、かな
collection5-1,talk,natsuno,楽しいこと、他にもいろいろあったと思うんだけど......
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,......もしかしたら
collection5-1,talk,natsuno,乗り物、好きなのかも
collection5-1,talk,natsuno,......今もね
collection5-1,talk,natsuno,車、運転してるの、結構好きなんだ
collection5-1,talk,natsuno,運転っていうか......景色が流れていくの、ぼんやり見てるのが、っていうか
collection5-1,talk,natsuno,ゆったりした時間で......いいなって思う
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,......そっか
collection5-1,talk,natsuno,わたし......
collection5-1,talk,natsuno,そういうの、好きなんだ
collection5-1,talk,natsuno,......
collection5-1,talk,natsuno,そっか......
collection5-1,wait,2
collection5-1,end,questSuccess
-,,,
collection6-1,bg,scenario03
collection6-1,playBgm,environment08
collection6-1,wait,2
collection6-1,talk,natsuno,このオルゴールさ
collection6-1,talk,natsuno,何回か、ネジ巻いて、聴いてみたんだけど......
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......これ、なんて曲だっけ
collection6-1,talk,natsuno,どっかで聴いたことあると思うんだけど......
collection6-1,talk,natsuno,なんだったっけな......
collection6-1,talk,natsuno,んー......
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......こういうの、めっちゃもやもやするよね
collection6-1,talk,natsuno,知ってるはずなのに思い出せないとか
collection6-1,talk,natsuno,ここまで出てるのに、って感じで
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......昔だったら
collection6-1,talk,natsuno,リビングで......お母さんに訊いてたな
collection6-1,talk,natsuno,あれ、なんだったっけ、って
collection6-1,talk,natsuno,お母さん、仕事忙しくて、家空けがちだったけど
collection6-1,talk,natsuno,仲よかったからさ
collection6-1,talk,natsuno,見てるドラマとか
collection6-1,talk,natsuno,服買いに行くお店とか
collection6-1,talk,natsuno,全部一緒だったし
collection6-1,talk,natsuno,だいたい一緒になって、なんだったっけ～とか言って
collection6-1,talk,natsuno,二人で同時に、思い出したりするんだよね
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......こんなことになって
collection6-1,talk,natsuno,しばらく一人で歩いてる間は......
collection6-1,talk,natsuno,そういえば、こういう話も、誰にもできなかったんだよね
collection6-1,talk,natsuno,っていうか......
collection6-1,talk,natsuno,なんだったかな、って思っても
collection6-1,talk,natsuno,思い出そうって気になることも、少なかった......かも
collection6-1,talk,natsuno,一人だとね
collection6-1,talk,natsuno,まぁいいやって、思っちゃうっていうか
collection6-1,talk,natsuno,気持ちが全部、薄くなっちゃうっていうか
collection6-1,talk,natsuno,何見ても、何があっても、あんまり気にならなくなるっていうか......
collection6-1,talk,natsuno,......だから
collection6-1,talk,natsuno,こうやってあなたと話せてて
collection6-1,talk,natsuno,たぶん、わたし、救われてるんだと思う
collection6-1,talk,natsuno,ありがと
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......お母さんも
collection6-1,talk,natsuno,よく、言ってたな
collection6-1,talk,natsuno,あれ、なんだっけーって
collection6-1,talk,natsuno,職場では、すごい厳しくて、なんでもできる人、って感じらしいんだけど
collection6-1,talk,natsuno,仕事でへとへとで帰ってくることが多いからっていうのもあるのかな
collection6-1,talk,natsuno,家では......自分でごはんつくったのも忘れてたり
collection6-1,talk,natsuno,部屋にいたわたしを呼んで、なんで呼んだのか忘れてたり
collection6-1,talk,natsuno,ときどき、本気で大丈夫？　って思っちゃうよね
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,............
collection6-1,talk,natsuno,......あ
collection6-1,talk,natsuno,わかったかも
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......近所のスーパーの閉店時間に流れる曲かも、これ
collection6-1,talk,natsuno,......
collection6-1,talk,natsuno,......めっちゃ、すっきりした
collection6-1,wait,2
collection6-1,end,questSuccess
-,,,
collection7-1,bg,scenario17
collection7-1,playBgm,environment00
collection7-1,wait,2
collection7-1,talk,natsuno,あ......
collection7-1,talk,natsuno,なんか落ちた......
collection7-1,talk,natsuno,なんだろ、これ......
collection7-1,talk,natsuno,あー
collection7-1,talk,natsuno,押し花だ
collection7-1,talk,natsuno,朝顔の
collection7-1,talk,natsuno,しおりに使ってたのかな
collection7-1,talk,natsuno,詩集のしおりに押し花か......
collection7-1,talk,natsuno,なんか、風情あるね
collection7-1,talk,natsuno,わびさび？
collection7-1,talk,natsuno,......
collection7-1,talk,natsuno,......懐かしいな
collection7-1,talk,natsuno,小学生の頃、授業でつくった気がする
collection7-1,talk,natsuno,こんなきれいにつくれなかったけど......わたしがつくったのも、たぶん、朝顔だったな......
collection7-1,talk,natsuno,......
collection7-1,talk,natsuno,......あの押し花、どこいっちゃったんだろ
collection7-1,talk,natsuno,引き出しの中とかかな
collection7-1,talk,natsuno,何かの本に挟まってるかも
collection7-1,talk,natsuno,昔の学校の教科書とかに挟まってたら......たぶん、捨てちゃってるなぁ
collection7-1,talk,natsuno,引っ越して学校が変わると、教科書も変わっちゃうし
collection7-1,talk,natsuno,前の教科書って、たぶん、お母さんがまとめて捨ててたんだろうな......
collection7-1,pauseBgm
collection7-1,talk,natsuno,......
collection7-1,talk,natsuno,......教科書だけじゃなくてさ
collection7-1,talk,natsuno,引っ越す度に、いろんなもの、捨てちゃうんだ
collection7-1,playBgm,scenario03
collection7-1,talk,natsuno,捨てちゃうっていうか、失くしちゃうっていうか
collection7-1,talk,natsuno,引っ越したあとで見つからない、とか
collection7-1,talk,natsuno,それに、ほら、物が多いと引っ越すのもお金かかっちゃうじゃん？
collection7-1,talk,natsuno,や、小さい頃からそんなこと気にしてたわけじゃないけど......
collection7-1,talk,natsuno,お母さんが捨てちゃったり
collection7-1,talk,natsuno,自分でいらないって言っちゃったり
collection7-1,talk,natsuno,そうやって、よくいろんなもの失くしてたんだ
collection7-1,talk,natsuno,ちっちゃい頃、好きだったぬいぐるみ、お母さんが間違って捨てちゃって
collection7-1,talk,natsuno,ずっと泣いてた
collection7-1,talk,natsuno,確か、にんじんのぬいぐるみ
collection7-1,talk,natsuno,めっちゃきれいなオレンジだった
collection7-1,talk,natsuno,......
collection7-1,talk,natsuno,......今思えば
collection7-1,talk,natsuno,憶えてることだけじゃなくて
collection7-1,talk,natsuno,かたちある物も、一緒に捨てちゃってたんだよね
collection7-1,talk,natsuno,ま、こんなことになって
collection7-1,talk,natsuno,大事に残してたものも、全部、なくなっちゃったんだけど......
collection7-1,talk,natsuno,......もし、そういうのが残ってたら
collection7-1,talk,natsuno,もうちょっと......いろいろ、憶えてられたのかな......
collection7-1,wait,2
collection7-1,end,questSuccess
-,,,
collection8-1,bg,scenario07
collection8-1,playBgm,environment01
collection8-1,wait,2
collection8-1,talk,natsuno,......知らない人の日記、拾っちゃったんだけど
collection8-1,talk,natsuno,読まない方がいい......よね
collection8-1,talk,natsuno,......拾ってこなかった方が
collection8-1,talk,natsuno,よかったかな......
collection8-1,pauseBgm
collection8-1,talk,natsuno,......
collection8-1,talk,natsuno,......でも、なんか
collection8-1,playBgm,scenario03
collection8-1,talk,natsuno,あのまま、あそこに置いてあったら......
collection8-1,talk,natsuno,そのうち雨に濡れたりして、ぼろぼろになっちゃいそうで
collection8-1,talk,natsuno,ほっとけなかったんだよね
collection8-1,talk,natsuno,......誰なのかは、知らないけど
collection8-1,talk,natsuno,その人は、もしかしたら、もう死んじゃってるかもしれないけど......
collection8-1,talk,natsuno,でも、日記はまだここにあって
collection8-1,talk,natsuno,その人が、自分の過ごした毎日を書き残したものだから......
collection8-1,talk,natsuno,そういうのが、なくなっちゃうのは
collection8-1,talk,natsuno,嫌だなって思う
collection8-1,talk,natsuno,......
collection8-1,talk,natsuno,......はは
collection8-1,talk,natsuno,なんか、浸っちゃってるね
collection8-1,talk,natsuno,ごめん
collection8-1,talk,natsuno,どうしても、いろんなことを......後ろ向きっていうか
collection8-1,talk,natsuno,悲しい方に、考えちゃって
collection8-1,talk,natsuno,......やだね。そういうの
collection8-1,talk,natsuno,別に悲しいこととか
collection8-1,talk,natsuno,つらいことばっかりじゃないし
collection8-1,talk,natsuno,楽しいことも、いっぱいあるんだよ
collection8-1,talk,natsuno,......誰に言い訳してるんだろ、って感じだけど
collection8-1,talk,natsuno,......でも
collection8-1,talk,natsuno,あなたに......心配してほしくないっていうか
collection8-1,talk,natsuno,こんな世の中だけど、たぶん、あなたが思ってるほどつらくないっていうか
collection8-1,talk,natsuno,......伝わるかな
collection8-1,talk,natsuno,伝わってね。わかんないかもだけど
collection8-1,talk,natsuno,......
collection8-1,talk,natsuno,......わたしも
collection8-1,talk,natsuno,日記とか、書いてみよっかな
collection8-1,talk,natsuno,毎日、あったことをてきとーなノートに書いて
collection8-1,talk,natsuno,たまに読み返して......
collection8-1,talk,natsuno,そしたら、忘れちゃうことも減るかも......？
collection8-1,talk,natsuno,......
collection8-1,talk,natsuno,......ま
collection8-1,talk,natsuno,絶対、続かないと思うけど
collection8-1,talk,natsuno,そういうの、苦手なんだよね、わたし
collection8-1,talk,natsuno,......はは
collection8-1,talk,natsuno,こういう話を......何気なくできるのが
collection8-1,talk,natsuno,前より、いいなって思えるところかな
collection8-1,talk,natsuno,前は......こんな風に、なんでもかんでも話せなかったもん
collection8-1,talk,natsuno,こんな状況になっちゃったから......なんていうか、いろんなことがどうでもよくなって
collection8-1,talk,natsuno,解放されて、っていうか
collection8-1,talk,natsuno,なんでも話せちゃったり
collection8-1,talk,natsuno,聞いてもらえたり
collection8-1,talk,natsuno,......そういうのは、いいことだなって
collection8-1,talk,natsuno,わたし、思うんだ
collection8-1,wait,2
collection8-1,end,questSuccess
-,,,
collection9-1,bg,scenario14
collection9-1,playBgm,environment04
collection9-1,wait,2
collection9-1,talk,natsuno,この時計......電池切れちゃってるのかな......
collection9-1,talk,natsuno,それとも、壊れてるのかな
collection9-1,talk,natsuno,ガラス、割れちゃってるし......
collection9-1,talk,natsuno,んー......
collection9-1,talk,natsuno,そういえば......お父さんが、使ってる腕時計のネジ巻いてたの、見たことある
collection9-1,talk,natsuno,今でもネジ巻く時計ってあるんだ、って思ったな
collection9-1,talk,natsuno,これも巻いたら動くかな......
collection9-1,talk,natsuno,巻くのって、ここだよね......たぶん......
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,............
collection9-1,talk,natsuno,......だめそう
collection9-1,talk,natsuno,やっぱ壊れてるのかな
collection9-1,talk,natsuno,捨てるか、もとあったところに戻してくるか......
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......なんでこんなの、拾っちゃったんだろ
collection9-1,talk,natsuno,......たぶん
collection9-1,talk,natsuno,お父さんが、こういうのもってたなって思って
collection9-1,talk,natsuno,懐かしくなっちゃったんだろうな......
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......はは。他人ごとみたいに言うじゃん、って？
collection9-1,talk,natsuno,そだね......
collection9-1,pauseBgm
collection9-1,talk,natsuno,『昨日の自分はもう他人』
collection9-1,talk,natsuno,......って、よくお父さんが言ってた
collection9-1,talk,natsuno,いや昨日の自分にも責任をもて、っていつもお母さんに怒られてたな
collection9-1,talk,natsuno,でも......
collection9-1,playBgm,scenario03
collection9-1,talk,natsuno,わたしは、なんか、わかるんだ
collection9-1,talk,natsuno,昨日の自分は、他人だよ
collection9-1,talk,natsuno,なんで昨日あんなことしたんだろ、って思うし
collection9-1,talk,natsuno,昨日の自分のことを......今の自分と同じように、身近には思えない
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......今、初めてそんなこと考えたけど
collection9-1,talk,natsuno,お父さんがあんな風に言ってたのは......転勤多かったせいなのかな
collection9-1,talk,natsuno,数年とか、早いときは半年くらいで働くところが変わって
collection9-1,talk,natsuno,前のところで働いてた自分が、自分とは思えなくなっちゃうとか
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......そういうのは、わたしも一緒かも
collection9-1,talk,natsuno,転校したら、転校する前の自分のこと、自分とは思えなくなっちゃったり
collection9-1,talk,natsuno,今の自分が、自分にとって当たり前すぎて
collection9-1,talk,natsuno,昔のこと、よく思い出せなくなったり
collection9-1,talk,natsuno,そうだなぁ......
collection9-1,talk,natsuno,高校生になって、中学生の頃の自分のこと、よく思い出せなくなっちゃったり、とか
collection9-1,talk,natsuno,そういうの、ない？
collection9-1,talk,natsuno,伝わるかな
collection9-1,talk,natsuno,......お父さんも、同じだったのかな
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......今だって、そうだよ
collection9-1,talk,natsuno,あなたと、こうやって話すのが当たり前になって
collection9-1,talk,natsuno,あなたと出会う前......
collection9-1,talk,natsuno,本当に一人で旅してた頃、どんな感じだったのか
collection9-1,talk,natsuno,どんな、わたし、だったのか......もう、よく思い出せないもん
collection9-1,talk,natsuno,そのときのわたしと、今のわたしは
collection9-1,talk,natsuno,違うって感じが......する
collection9-1,talk,natsuno,......
collection9-1,talk,natsuno,......まぁ、いつもそうなんだろうけど
collection9-1,talk,natsuno,今のわたしの方が......わたしは、好き
collection9-1,wait,2
collection9-1,end,questSuccess
-,,,
collection10-1,bg,location12
collection10-1,playBgm,environment00
collection10-1,wait,2
collection10-1,talk,natsuno,......今から
collection10-1,talk,natsuno,ちょっと痛いことを言います
collection10-1,talk,natsuno,......
collection10-1,talk,natsuno,......世の中がこんなことになって
collection10-1,talk,natsuno,いろんなことが、めちゃくちゃになって
collection10-1,talk,natsuno,人の暮らしは、全部変わっちゃって......
collection10-1,talk,natsuno,......でも
collection10-1,talk,natsuno,こうやって、小さな鉢植えで育ってる草は
collection10-1,talk,natsuno,今までとなんにも変わらずに......
collection10-1,talk,natsuno,今までどおりに、育ってるんだよね......
collection10-1,talk,natsuno,......
collection10-1,fg,survivor00,right-right,0.5,zito
collection10-1,talk,natsuno,............
collection10-1,talk,natsuno,......引かないでよ
collection10-1,talk,natsuno,わかってるよ
collection10-1,talk,natsuno,痛いっていうか、恥ずかしいこと言ってるって
collection10-1,fg,survivor00,right-right,0.5,default
collection10-1,talk,natsuno,でも......思っちゃったんだもん
collection10-1,pauseBgm
collection10-1,talk,natsuno,......
collection10-1,talk,natsuno,......わたしたちはさ
collection10-1,playBgm,scenario04
collection10-1,talk,natsuno,あの頃を境に、何もかもが変わっちゃって
collection10-1,talk,natsuno,全然別の世界に来ちゃったみたいな
