id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main15-1,bg,computer00
main15-2,talk,natsuno,まぁ、もともとわたしの身体を通して、あなたと通話してたわけだし
main15-2,talk,natsuno,夢の中で、イツカみたいに、直接声が聞こえるようになっちゃったのかな......
main15-2,talk,natsuno,......
main15-2,talk,natsuno,......それって
main15-2,talk,natsuno,わたしの身体の変容が、前よりひどくなってるってこと......だよね
main15-2,talk,natsuno,......
main15-2,talk,natsuno,......この変なところも
main15-2,talk,natsuno,目を覚まさないのも
main15-2,talk,natsuno,そのせい、なのかな
main15-2,talk,natsuno,......
main15-2,talk,natsuno,......まぁ
main15-2,talk,natsuno,あなたも、わたしの夢の一部なんだって可能性の方が
main15-2,talk,natsuno,全然、ありそうだけど
main15-2,talk,natsuno,......
main15-2,fg,survivor00,right-right,0.5,serious
main15-2,talk,natsuno,......そんなこと言ってても、しょーがないし
main15-2,talk,natsuno,ちょっと、歩いてみよっか
main15-2,talk,natsuno,夢だって思っても、目覚めそうにないし
main15-2,talk,natsuno,頬っぺたつねっても、だめだったし
main15-2,talk,natsuno,出口......がありそうには、見えないけど
main15-2,talk,natsuno,歩いてみる
main15-2,wait,3
main15-2,end,questSuccess
-,,,
main15-3,bg,scenario24
main15-3,playBgm,scenario07
main15-3,talk,natsuno,え......
main15-3,talk,natsuno,音......？
main15-3,talk,natsuno,んー......
main15-3,talk,natsuno,あなたの声以外にも、何か聞こえるような気はするけど......
main15-3,talk,natsuno,何の音ってわかんないな
main15-3,talk,natsuno,変な模様が浮かんでは消える、この景色と同じで、
main15-3,talk,natsuno,いろんな音が聞こえるような気はするけど、すぐ消えてく......みたいな
main15-3,talk,natsuno,空耳のような気もする......けど
main15-3,talk,natsuno,......
main15-3,wait,2
main15-3,end,questSuccess
-,,,
main15-4,bg,scenario24
main15-4,fg,survivor00,right-right,0,depress
main15-4,playBgm,scenario07
main15-4,wait,3
main15-4,talk,natsuno,......
main15-4,talk,natsuno,......そっか
main15-4,talk,natsuno,アカネさんも......これと同じ夢、見てたのかな
main15-4,fg,survivor00,right-right,0.5,serious
main15-4,talk,natsuno,確かに、そっくりかも
main15-4,talk,natsuno,あなたがアカネさんから聞いたっていう、何もないところを歩く夢と
main15-4,talk,natsuno,......感染者が見る夢、かぁ
main15-4,talk,natsuno,こんなところをさ迷ってるうちに、人を襲ったりしてるんだとしたら
main15-4,talk,natsuno,なんていうか......
main15-4,talk,natsuno,かわいそう、とか、そんなこと言う権利なんかないけど......
main15-4,talk,natsuno,......
main15-4,fg,survivor00,right-right,0.5,depress
main15-4,talk,natsuno,......当たり前だけど
main15-4,talk,natsuno,みんな、生きてた人なんだよね......
main15-4,talk,natsuno,......
main15-4,fg,survivor00,right-right,0.5,serious
main15-4,talk,natsuno,......でも
main15-4,talk,natsuno,わたしは、アカネさんが言ってたってほど、寂しいって感じしない......
main15-4,talk,natsuno,......
main15-4,talk,natsuno,......あなたが
main15-4,talk,natsuno,こうやって、話してくれてるおかげなのかな......
main15-4,talk,natsuno,......
main15-4,talk,natsuno,............
main15-4,fg,survivor00,right-right,0.5,default
main15-4,talk,natsuno,......ねぇ
main15-4,talk,natsuno,今の......
main15-4,talk,natsuno,......
main15-4,talk,natsuno,......気のせい、かな
main15-4,talk,natsuno,今......波の音、聞こえなかった？
main15-4,talk,natsuno,......
main15-4,talk,natsuno,......なんなんだろ
main15-4,talk,natsuno,ときどきね
main15-4,talk,natsuno,音だけじゃなくて......
main15-4,talk,natsuno,何かが、ちらっと見える気がする......
main15-4,talk,natsuno,もしかしたら、このよくわかんない模様みたいなのが、一瞬何かのかたちに見えるだけかもだけど
main15-4,talk,natsuno,ふわっと何かが見えて
main15-4,talk,natsuno,何だったのかわかんないうちに、消えちゃう、みたいな......
main15-4,talk,natsuno,......
main15-4,talk,natsuno,......目の錯覚かな
main15-4,talk,natsuno,疲れてるのかも
main15-4,talk,natsuno,ずっと歩いてるし
main15-4,talk,natsuno,疲れたり、眠たくなったりはしないけど......
main15-4,talk,natsuno,......まぁ
main15-4,talk,natsuno,だって、これが夢なら
main15-4,talk,natsuno,わたしは、ずっと寝てるわけだしね
main15-4,talk,natsuno,眠くなるわけないんだけど......
main15-4,talk,natsuno,......
main15-4,wait,3
main15-4,end,questSuccess
-,,,
main15-5,bg,scenario24
main15-5,wait,3
main15-5,talk,,ぽつりぽつりと言葉を交わしながら、長い時間歩き続けた。
main15-5,talk,,彼女がどんなところを歩いているのか、わからない。
main15-5,talk,,なぜそこにいるのかも、わからない。
main15-5,talk,,もしかしたら、意識を失った感染者たちもみんな、同じように、奇妙な夢の中に閉じ込められているのかもしれない──
main15-5,talk,,でもやっぱり、そんなのただの想像でしかない。
main15-5,wait,1
main15-5,fadeOutTextLine
main15-5,newPage
main15-5,fadeInTextLine
main15-5,wait,1
main15-5,talk,,やがて、口数も減ってきた頃、
main15-5,talk,,彼女に、訊いてみることにした。
main15-5,wait,2
main15-5,end,questSuccess
-,,,
main15-6,bg,scenario24
main15-6,fgClear
main15-6,wait,5
main15-6,fg,survivor00,right-right,1.0,depress
main15-6,wait,2
main15-6,talk,natsuno,......どうって
main15-6,talk,natsuno,......言われても
main15-6,talk,natsuno,......
main15-6,talk,natsuno,そのままの、意味、だよ
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......もう二度と、あなたと話したくないって
main15-6,talk,natsuno,そのまま......だよ
main15-6,playBgm,scenario06
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......だって
main15-6,talk,natsuno,だって、こんな世界、意味なんかなくて......
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......意味がないっていうのが
main15-6,talk,natsuno,今、つらいんじゃないよ
main15-6,talk,natsuno,......でも
main15-6,talk,natsuno,たとえば、アカネさんが
main15-6,talk,natsuno,いつか......死んじゃう、とか
main15-6,talk,natsuno,そういう、いろんなことが
main15-6,talk,natsuno,これから、たくさんあるんだって思う
main15-6,talk,natsuno,......
main15-6,talk,natsuno,そのとき......わたし、ちゃんと立ち直れるのかなって、思う
main15-6,talk,natsuno,生き続ける意味なんかなくて
main15-6,talk,natsuno,世界は簡単に消しちゃえるのに
main15-6,talk,natsuno,それでも......ちゃんと生きていけるのかなって、思って
main15-6,talk,natsuno,そのとき、もう立ち直れないかもしれないって考えると......不安で
main15-6,talk,natsuno,......怖い
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......だから
main15-6,talk,natsuno,もし、今すぐ、一瞬で消えるんだったら
main15-6,talk,natsuno,そうする方法があるんだったら......やっちゃえばいいじゃんって
main15-6,talk,natsuno,わたしは......ずっと、思ってる
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......なのに
main15-6,talk,natsuno,あなたと話してると......
main15-6,talk,natsuno,話していたいって思っちゃう
main15-6,talk,natsuno,あなたと話してないとき......寂しいって、思っちゃう
main15-6,talk,natsuno,そんなの、一時の感情なのに
main15-6,talk,natsuno,それで......何かが解決するわけじゃないのに
main15-6,talk,natsuno,思っちゃうんだ
main15-6,talk,natsuno,わたしたちの『寂しさ』は、過剰だから......
main15-6,talk,natsuno,寂しいって、もっと話していたいって、どうしても、思っちゃう
main15-6,talk,natsuno,......だから
main15-6,talk,natsuno,だから、もう話したくなかった
main15-6,talk,natsuno,あなたとも、アカネさんとも、イツカとも......
main15-6,talk,natsuno,誰とも、話したくなかった
main15-6,talk,natsuno,......
main15-6,talk,natsuno,......ごめん
main15-6,talk,natsuno,わたしの勝手で
main15-6,talk,natsuno,......
main15-6,talk,natsuno,でも......本当に、そう思っちゃって......
main15-6,talk,natsuno,どうしようもなくて......
main15-6,talk,natsuno,......
main15-6,wait,3
main15-6,end,questSuccess
-,,,
main15-7,bg,scenario24
main15-7,playBgm,scenario07
main15-7,fgClear
main15-7,wait,3
main15-7,fg,survivor00,right-right,0.5,serious
main15-7,talk,natsuno,......ね
main15-7,talk,natsuno,ここってさ
main15-7,talk,natsuno,何もなくて
main15-7,talk,natsuno,変な模様とか、ノイズみたいな音が聞こえるばっかりで
main15-7,talk,natsuno,わたし以外、何もなくて
main15-7,talk,natsuno,それって、でも
main15-7,talk,natsuno,わたしたちがいた世界と同じだって、思わない？
main15-7,talk,natsuno,......
main15-7,talk,natsuno,......思わない......かな
main15-7,talk,natsuno,だって
main15-7,talk,natsuno,何もないんだよ
main15-7,talk,natsuno,わたしたちが生きてた世界だって
main15-7,talk,natsuno,本当は......何もないんだよ
main15-7,talk,natsuno,空があって、地面があって、海があるかもしれないけど
main15-7,talk,natsuno,でも、本当は、何もない
main15-7,talk,natsuno,意味も、理由も、ないんだもん
main15-7,talk,natsuno,空とか海があったから、何？　って感じじゃない？
main15-7,talk,natsuno,全部、偶然でできてるってことなら
main15-7,talk,natsuno,じゃあ......この、変な模様とか、意味わかんないノイズと、何が違うの？
main15-7,talk,natsuno,たまたま、それが、わたしには空に見えるってだけで
main15-7,talk,natsuno,それだけのことじゃない？
main15-7,talk,natsuno,......
main15-7,fg,survivor00,right-right,0.5,depress
main15-7,talk,natsuno,......ごめん
main15-7,talk,natsuno,なんか......変なこと、言ってるかもだけど
main15-7,talk,natsuno,でも......なんていうのかな
main15-7,talk,natsuno,暗い気持ちで言ってるわけじゃなくて
main15-7,talk,natsuno,むしろ、楽っていうか
main15-7,talk,natsuno,本当は、今までわたしが生きてた世界だって、このくらい何もないんだろうなって思ったら
main15-7,talk,natsuno,すっきりしたっていうか
main15-7,talk,natsuno,なんか......素直でいられる......みたいな
main15-7,talk,natsuno,......
main15-7,wait,1
main15-7,fgRemove,survivor00,1.0
main15-7,wait,1
main15-7,talk,natsuno,......だから、やっぱり
main15-7,talk,natsuno,わたし、思うんだ
main15-7,talk,natsuno,こんな世界なら、
main15-7,wait,1
main15-7,talk,natsuno,なくなっちゃったっていい、って
main15-7,talk,natsuno,あのコンピュータで......消しちゃった方がいい
main15-7,talk,natsuno,......
main15-7,talk,natsuno,......いっそ
main15-7,wait,1
main15-7,talk,natsuno,あなたが──消してくれたら、いいのに
main15-7,wait,5
main15-7,end,questSuccess
-,,,
main15-8,bg,scenario24
main15-8,playBgm,scenario07
main15-8,fgClear
main15-8,wait,3
main15-8,fg,survivor00,right-right,0.5,serious
main15-8,talk,natsuno,......ねぇ
main15-8,talk,natsuno,今、何か聞こえた？
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......そう、だよね
main15-8,talk,natsuno,聞こえた......よね
main15-8,talk,natsuno,わたしには......本のページをめくってるみたいな音が......聞こえた
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......ねぇ
main15-8,talk,natsuno,ある、かも
main15-8,talk,natsuno,目の錯覚じゃなくて
main15-8,talk,natsuno,ここに......
main15-8,talk,natsuno,本が、ある
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......本だよね、これ
main15-8,talk,natsuno,手で触れるし......
main15-8,talk,natsuno,でも、なんでこれだけ、ここに落ちてたんだろ......
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......ううん
main15-8,talk,natsuno,落ちてたんじゃない......のかも
main15-8,talk,natsuno,これ、見つけたとき
main15-8,talk,natsuno,見る前から、ここに置いてあったって感じじゃなくて
main15-8,talk,natsuno,......なんていうか
main15-8,talk,natsuno,出てきた......っていうか
main15-8,talk,natsuno,えーと......
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......音が聞こえて
main15-8,talk,natsuno,一緒に、ここにあった模様が、本みたいに見えて
main15-8,talk,natsuno,それで......本が出てきた、みたいな
main15-8,talk,natsuno,......
main15-8,talk,natsuno,......わかるよ
main15-8,talk,natsuno,わたし......変なこと言ってる......
main15-8,talk,natsuno,けど......
main15-8,talk,natsuno,でも......そう、なの
main15-8,talk,natsuno,わたしが、空目して
main15-8,talk,natsuno,それが......現実に出てきちゃったみたいな
main15-8,talk,natsuno,そんな感じ......
main15-8,talk,natsuno,......
main15-8,wait,3
main15-8,end,questSuccess
-,,,
main15-9,bg,scenario24
main15-9,wait,3
main15-9,talk,,それからも何度か、同じようなことが起きた。
main15-9,talk,,空目したり、空耳だったり、本当はなかったはずのものが、現れる。
main15-9,talk,,それは鞄だったり、車だったり、棚だったりした。
main15-9,wait,1
main15-9,fadeOutTextLine
main15-9,newPage
main15-9,fadeInTextLine
main15-9,wait,1
main15-9,talk,,話を聞いているうちに、なんとなく、思い当たるところがあった。
main15-9,talk,,たとえば、暗い夜道を歩いているとき。
main15-9,talk,,物陰から猫が飛び出してきたと思ったけれど、よく見たら風に飛ばされたビニール袋だった、みたいな。
main15-9,talk,,そういう見間違いは、珍しいことじゃない。
main15-9,talk,,彼女の目の前で起きているのは、そういうことなのかもしれない。
main15-9,talk,,風に飛ばされたビニール袋が猫に見えて、猫に見えたと思ったら、ビニール袋が猫になった──みたいな。
main15-9,talk,,そんな、ただの──見間違い。
main15-9,wait,3
main15-9,end,questSuccess
-,,,
main15-10,bg,scenario24
main15-10,playBgm,scenario07
main15-10,fgClear
main15-10,wait,3
main15-10,fg,survivor00,right-right,0.5,depress
main15-10,talk,natsuno,何が起きてるんだろ
main15-10,talk,natsuno,わけ、わかんないよね
main15-10,talk,natsuno,今まで、いろんな、わけわかんないことあったけど......
main15-10,talk,natsuno,ぶっちぎりで、わけわかんない
main15-10,talk,natsuno,気味悪い......
main15-10,fg,survivor00,right-right,0.5,serious
main15-10,talk,natsuno,......ような気もするけど
main15-10,talk,natsuno,でも、不思議と、嫌な感じじゃない......んだよね
main15-10,talk,natsuno,変なこと、起きてるんだけど
main15-10,talk,natsuno,でも......すんなり、受け入れられるっていうか
main15-10,talk,natsuno,......
main15-10,talk,natsuno,......もしかしたら
main15-10,talk,natsuno,わたしが今まで生きてた世界も
main15-10,talk,natsuno,本当は、こんな感じなんじゃないかって......気がする
main15-10,talk,natsuno,......
main15-10,talk,natsuno,うまく、説明できないけど
main15-10,talk,natsuno,わたしが、そこにあるって思ったから、そこにあるっていうか
main15-10,talk,natsuno,わたしが見たから、その景色があるっていうか
main15-10,talk,natsuno,......なんか、そんな話、なかったっけ
main15-10,talk,natsuno,えーっと......
main15-10,talk,natsuno,わたしたちは、目で見たものを見てるわけじゃなくて
main15-10,talk,natsuno,頭の中に、つくり出した幻みたいなのを見てる、みたいな
main15-10,talk,natsuno,......そういうやつ
main15-10,talk,natsuno,だから、
main15-10,talk,natsuno,今、この場所がおかしいんじゃなくて
main15-10,talk,natsuno,や。おかしいんだけど......
main15-10,talk,natsuno,そうじゃなくて......
main15-10,talk,natsuno,わたしたちは、本当は、こういう、わけわかんない模様があるだけのところに生きてて
main15-10,talk,natsuno,こうやって、その中に何かを見つけて、ものが見えてるっていうか
main15-10,talk,natsuno,わたしたち自身が、見出してるっていうか......
main15-10,talk,natsuno,......そう
main15-10,talk,natsuno,こうやって話してる声だって、そうだよ
main15-10,talk,natsuno,わたしが喋ってるのは、もしかしたら、なんの意味もない音かもしれないけど
main15-10,talk,natsuno,それをあなたが聞いて
main15-10,talk,natsuno,わたしの声が言葉だってわかるから、ノイズじゃなくて、会話になるっていうか
main15-10,talk,natsuno,言葉を知らなかったら、話し声と、ノイズの区別もつかないっていうか......
main15-10,talk,natsuno,......ええと
main15-10,talk,natsuno,ごめん......
main15-10,talk,natsuno,......あんま、うまく言えない、かも
main15-10,talk,natsuno,......
main15-10,talk,natsuno,......けど
main15-10,talk,natsuno,じゃあ......
main15-10,talk,natsuno,ここは、夢じゃないのかな
main15-10,talk,natsuno,ここは......
main15-10,wait,1
main15-10,talk,natsuno,......現実の世界、なのかも
main15-10,talk,natsuno,......
main15-10,fg,survivor00,right-right,0.5,default
main15-10,talk,natsuno,......そっか
main15-10,talk,natsuno,そうだよ
main15-10,talk,natsuno,だったら
main15-10,pauseBgm
main15-10,wait,1
main15-10,fgRemove,survivor00,1.0
main15-10,wait,1
main15-10,talk,natsuno,ここにも、あのコンピュータが......
main15-10,talk,natsuno,だから、
main15-10,talk,natsuno,それで、
main15-10,talk,natsuno,もう、全部──
main15-10,wait,5
main15-10,end,questSuccess
-,,,
main15-11,bg,scenario24
main15-11,wait,5
main15-11,talk,,声は、そこで途切れた。
main15-11,talk,,通信が途切れたみたいに、ノイズも、何も聞こえなくなった。
main15-11,talk,,呼びかけてみても、返事はなかった。
main15-11,wait,1
main15-11,fadeOutTextLine
main15-11,newPage
main15-11,fadeInTextLine
main15-11,wait,1
main15-11,talk,,彼女は、どうなってしまったのか。
main15-11,talk,,最後に、何を言おうとしていたのか。
main15-11,talk,,何を、しようとしていたのか──
main15-11,talk,,嫌な感じがした。
main15-11,talk,,とにかく、もう一度話をしようと思った。
main15-11,wait,1
main15-11,fadeOutTextLine
main15-11,newPage
main15-11,fadeInTextLine
main15-11,wait,1
main15-11,talk,,必死になって、コンピュータを操作しているうちに、
main15-11,talk,,ふと、また通話が繋がった。
main15-11,talk,,思わず名前を呼んだ。
main15-11,talk,,けれど、
main15-11,talk,,聞こえたのは、彼女の声ではなかった。
main15-11,wait,3
main15-11,end,questSuccess
-,,,
main15-12,bg,scenario23
main15-12,hideStatus
main15-12,playBgm,scenario06
main15-12,fgClear
main15-12,wait,8
main15-12,talk,itsuka,......ごめん
main15-12,talk,itsuka,......ナツノじゃない
main15-12,talk,itsuka,......
main15-12,wait,1
main15-12,fg,survivor06,right-right,0.5,depress
main15-12,wait,1
main15-12,talk,itsuka,長い間、あなたと、通信、繋がらなかったけど
main15-12,talk,itsuka,......どこか、行ってたの？
main15-12,talk,itsuka,......
main15-12,talk,itsuka,............
main15-12,talk,itsuka,......ううん
main15-12,talk,itsuka,そんなの、今は、どうでもいい
main15-12,talk,itsuka,あなたにだって、いろいろあるだろうし......
main15-12,talk,itsuka,......今は、いい
main15-12,talk,itsuka,......
main15-12,talk,itsuka,......何が起きたっていうんだろう
main15-12,talk,itsuka,どうやったら、そんなことになってしまうんだろう
main15-12,talk,itsuka,......
main15-12,talk,itsuka,......ねぇ
main15-12,talk,itsuka,何か知ってるなら、教えてよ
main15-12,talk,itsuka,......
main15-12,talk,itsuka,さっきまで、そこで眠ってたはずなのに──
main15-12,wait,1
main15-12,pauseBgm
main15-12,wait,1
main15-12,fgRemove,survivor06,1.0
main15-12,wait,3
main15-12,talk,itsuka,ナツノが、
main15-12,wait,1
main15-12,talk,itsuka,いなくなった
main15-12,wait,5
main15-12,end,ending,main15
