id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
minamo2-1,bg,scenario25
minamo2-1,talk,minamo,今は、その人たちの......村？　みたいなところにいるんよ
minamo2-1,talk,natsuno,村？
minamo2-1,talk,minamo,そ
minamo2-1,talk,minamo,この町の外れにある、小さい家が集まっとるところで、三十人くらいで暮らしてて
minamo2-1,talk,minamo,井戸水確保して、畑耕して......
minamo2-1,talk,minamo,まぁ、村みたいなもんよね
minamo2-1,talk,natsuno,そう、なんだ......
minamo2-1,talk,natsuno,そんな風に暮らしてる人たちも、いるんだね
minamo2-1,talk,minamo,そうねー
minamo2-1,talk,minamo,経験的には、定住するのって危険なんだけど
minamo2-1,talk,minamo,あそこは山に囲まれとるし
minamo2-1,talk,minamo,麓に下りたこの町も、最初の頃に感染症が流行ったんか、逆に流行る前にみんな逃げ出したんかわからんけど、感染者と会うことほとんどなくて
minamo2-1,talk,minamo,うちが来る数か月前から、ずっとそこで暮らしとるんだって
minamo2-1,talk,natsuno,へぇ......
minamo2-1,talk,natsuno,でも、だったら、人がいっぱいいるってことだよね
minamo2-1,talk,minamo,そりゃ、そうでしょ
minamo2-1,fg,survivor00,right-right,0.5,depress
minamo2-1,talk,natsuno,それって......
minamo2-1,talk,natsuno,......
minamo2-1,talk,minamo,......そうね
minamo2-1,talk,minamo,あそこには、いろんな人がいて
minamo2-1,talk,minamo,小さいけど、社会というか、そういうのがある
minamo2-1,talk,minamo,......息苦しいって思うことも、たくさんある
minamo2-1,talk,minamo,今だって、うちが望んであの村におるってよりは
minamo2-1,talk,minamo,あの村の人たちとばったり出会って、村で過ごしてるうちに出て行きづらくなったってだけだし
minamo2-1,talk,minamo,別に、出て行けるとは思うけど
minamo2-1,talk,minamo,なんていうか、出て生きづらいんよね。空気的に
minamo2-1,talk,natsuno,......
minamo2-1,talk,minamo,......そういう、かたちのないものに縛られる虚しさみたいなのを
minamo2-1,talk,minamo,感じながら、暮らしとる
minamo2-1,talk,minamo,......
minamo2-1,talk,minamo,でも、そうはいっても
minamo2-1,talk,minamo,うちが望んでそうしてるところもあって
minamo2-1,talk,minamo,もう二度と感じられんと思っとった、この息苦しさが、あの村にはあるんよ
minamo2-1,talk,minamo,うちが、その中で生きてみたいって思っとった息苦しさで
minamo2-1,talk,minamo,だから......あの村で生きてみようって、今は思っとる
minamo2-1,talk,natsuno,......
minamo2-1,talk,natsuno,......そっか
minamo2-1,fg,survivor00,right-right,0.5,smile
minamo2-1,talk,natsuno,ミナモがそうしたいって思えるところなんだったら
minamo2-1,talk,natsuno,なんていうか......よかった
minamo2-1,talk,minamo,......
minamo2-1,fg,survivor05,right-left,0.5,smile
minamo2-1,talk,minamo,......相変わらず、ナツノさんは
minamo2-1,talk,minamo,嫌んなるくらい、優しいなぁ
minamo2-1,wait,2
minamo2-1,appendSurvivor,minamo
minamo2-1,end,questSuccess
-,,,
minamo2-2,bg,scenario25
minamo2-2,fg,survivor05,right-left,0
minamo2-2,playBgm,character05
minamo2-2,talk,minamo,えええええええええええ
minamo2-2,talk,minamo,えええええええええええええええええええええええええええ？？？
minamo2-2,talk,minamo,ええ......
minamo2-2,talk,minamo,えー......
minamo2-2,talk,minamo,......
minamo2-2,talk,minamo,......まじ？
minamo2-2,talk,natsuno,......まじ
minamo2-2,talk,minamo,ええ......
minamo2-2,talk,natsuno,......
minamo2-2,talk,natsuno,......ミナモは、もっと冷静に受け止めるかなって思ってた
minamo2-2,talk,natsuno,ちょっと意外
minamo2-2,talk,minamo,いや......
minamo2-2,talk,minamo,冷静に受け止められる人おる？
minamo2-2,talk,minamo,ここがコンピュータの中とか
minamo2-2,talk,minamo,誰だって『えー』ってなるでしょ
minamo2-2,talk,natsuno,まぁ、そうかもだけど......
minamo2-2,talk,natsuno,いきなりこんなこと言われても、信じられなくない？
minamo2-2,talk,minamo,そりゃ、信じれんけど......
minamo2-2,talk,minamo,でも、このわけわからんパンデミックとか
minamo2-2,talk,minamo,スマホの向こうのきみのこととか......わけわからんことばっかだし
minamo2-2,talk,minamo,この世界がコンピュータの中にある、くらいのことは、ありそうかもって感じ？
minamo2-2,talk,natsuno,そっか......
minamo2-2,talk,minamo,......
minamo2-2,talk,minamo,......あー
minamo2-2,talk,minamo,けど
minamo2-2,fg,survivor05,right-left,0.5,smile
minamo2-2,talk,minamo,なんか笑けてきた
minamo2-2,talk,minamo,笑うしかないっていうか
minamo2-2,talk,minamo,......ほんと
minamo2-2,talk,minamo,息苦しいとか
minamo2-2,talk,minamo,生きづらいとか
minamo2-2,talk,minamo,そんなん......
minamo2-2,talk,minamo,ほんとに、ちっさいことなんよなぁ
minamo2-2,wait,2
minamo2-2,fadeOut,1
minamo2-2,newPage
minamo2-2,fg,survivor05,right-left,0,default
minamo2-2,wait,1
minamo2-2,fadeIn,1
minamo2-2,talk,minamo,うちさ
minamo2-2,talk,minamo,村の子供たちに、剣道教えとるんよ
minamo2-2,talk,minamo,ほんとは、教えられるようなアレじゃないけど
minamo2-2,talk,minamo,大人の人たちに剣道の話したら、子供に教えてくれって頼まれて
minamo2-2,talk,minamo,護身術的な？
minamo2-2,talk,minamo,護身術になるような気、あんませんけど......
minamo2-2,talk,minamo,まぁ、あの村の中で遊べるところもあんまないし
minamo2-2,talk,minamo,子供たち、いっつも退屈そうだから
minamo2-2,talk,minamo,退屈しのぎくらいならいいかなとか思って
minamo2-2,talk,natsuno,へぇ......
minamo2-2,talk,natsuno,ミナモ、先生とかできるんだ
minamo2-2,fg,survivor05,right-left,0.5,smile
minamo2-2,talk,minamo,なんそれ
minamo2-2,talk,minamo,失礼じゃん
minamo2-2,talk,natsuno,......や、でも
minamo2-2,talk,natsuno,逆に子供たちに人気そうかも
minamo2-2,talk,minamo,ちょー失礼じゃない？
minamo2-2,talk,minamo,子供たちから大人気なんだけど、ミナモ先生
minamo2-2,fg,survivor00,right-right,0.5,smile
minamo2-2,talk,natsuno,ははは......
minamo2-2,talk,natsuno,ミナモ先生、大人気なんだ
minamo2-2,fg,survivor05,right-left,0,default
minamo2-2,talk,minamo,大人気......は言い過ぎかもしらんけど
minamo2-2,talk,minamo,でも、まぁ
minamo2-2,talk,minamo,みんな、結構真剣に練習してくれて
minamo2-2,talk,minamo,ちょっとやりがいを感じてるところではあったりして
minamo2-2,talk,minamo,......
minamo2-2,talk,minamo,後輩とか、子供とか
minamo2-2,talk,minamo,自分より小さい子に何かを教える、みたいなのって、うち初めてなんよね
minamo2-2,talk,minamo,うちにもあんくらい小さい頃があったはずなのに
minamo2-2,talk,minamo,その子たちが何考えてるんか、よくわからんくて困ったり
minamo2-2,talk,minamo,うちの先生も、最初はこんな気持ちだったんかなぁ、とか思ったり
minamo2-2,talk,minamo,子供たちがどう思ってるんか、じっと考えちゃったり......
minamo2-2,talk,minamo,そうやって、他の誰かのこと、長い時間考えるようになって
minamo2-2,talk,minamo,......うちは、ずっと自分のことばっかり考えてたんかなぁって、最近思う
minamo2-2,talk,minamo,それがだめなことだとは思わんけど
minamo2-2,talk,minamo,自分が一番大事だし
minamo2-2,talk,minamo,自分のこと、ちゃんと考えるのって大事だと思うけど
minamo2-2,talk,minamo,けど......
minamo2-2,talk,minamo,他の誰かを見てて、わかることもある......みたいな
minamo2-2,talk,minamo,そんな感じ？
minamo2-2,talk,natsuno,......
minamo2-2,talk,natsuno,......なんか、それって
minamo2-2,talk,natsuno,お母さんになったみたいだね
minamo2-2,talk,minamo,産んだ覚えがない......
minamo2-2,talk,minamo,......まぁ、でも
minamo2-2,fg,survivor05,right-left,0.5,smile
minamo2-2,talk,minamo,わかる
minamo2-2,talk,minamo,親って、こんな感じ......なんかもしれんね
minamo2-2,wait,2
minamo2-2,end,questSuccess
-,,,
minamo2-3,bg,scenario25
minamo2-3,fg,survivor05,right-left,0
minamo2-3,playBgm,scenario04
minamo2-3,talk,minamo,子供たちに剣道教えててるとさ
minamo2-3,talk,minamo,子供たちのことかわいいって思うし、なんていうか......守ってあげんと、みたいな気持ちになるんよね
minamo2-3,talk,minamo,それで......
minamo2-3,talk,minamo,うちは......子供だったんだなぁって思って
minamo2-3,talk,minamo,言葉どおりの意味でさ
minamo2-3,talk,minamo,うちはまだ十八だし、まぁ、子供なんよ
minamo2-3,talk,minamo,いろんなものに守ってもらって、学校に行って、道場行って
minamo2-3,talk,minamo,そういう意味の......守られて、育てられる立場だったわけじゃん
minamo2-3,talk,minamo,それが、今、あの村だとそうじゃなくて
minamo2-3,talk,minamo,うちより小さい子たちがいて
minamo2-3,talk,minamo,うちは、大人として扱われることもある
minamo2-3,talk,minamo,子供たちを守ってあげんといけん立場になる
minamo2-3,talk,minamo,そしたら
minamo2-3,talk,minamo,そういう、守ってあげんといけん、みたいな気持ちが
minamo2-3,talk,minamo,うちが感じとった......息苦しさの理由の一つなんかもって思った
minamo2-3,talk,minamo,守ってあげるために、子供たちを不自由にすることもあるし
minamo2-3,talk,minamo,理由をちゃんと説明できんまま、何かを強要することもある
minamo2-3,talk,minamo,もちろん、不自由にさせたいんじゃないし、強要したいんじゃないよ
minamo2-3,talk,minamo,でも......どうしても、そうなってしまうときもあって
minamo2-3,talk,minamo,そうなってしまうことをわかってて、それでも、そうせんといけんこともあって
minamo2-3,talk,minamo,きっと、子供たちを苦しめてることもあるだろうなって思う
minamo2-3,talk,minamo,......もしかしたら、うちが感じとったんも
minamo2-3,talk,minamo,そういうことなんかなって気がしてる
minamo2-3,talk,minamo,......
minamo2-3,talk,minamo,......まぁ、だからって
minamo2-3,talk,minamo,じゃあ、仕方ないよねって思うわけじゃないけどね
minamo2-3,talk,minamo,大人たちがうちを守ろうとして、その結果あんな生活だったんだとしても
minamo2-3,talk,minamo,それなら仕方ない、とは思えんし
minamo2-3,talk,minamo,うちが感じとった苦しさを、なかったことにはできん
minamo2-3,talk,minamo,ただ......
minamo2-3,talk,minamo,大人たちも必死だったんかもしれんなぁ、とか
minamo2-3,talk,minamo,当たり前だけど、大人だって人間だし
minamo2-3,talk,minamo,大人一回目なんよなって思って
minamo2-3,talk,minamo,なんか......ちょっと納得した
minamo2-3,talk,minamo,許せるわけでも、受け入れられるわけでもないんだけど
minamo2-3,talk,minamo,そういうことだったんかもね、って納得できるって......結構大事なことなんかもしれん
minamo2-3,talk,natsuno,......
minamo2-3,talk,natsuno,......なんか
minamo2-3,talk,natsuno,ちょっと見ない間に、大人になちゃって
minamo2-3,fg,survivor00,right-right,0.5,smile
minamo2-3,talk,natsuno,わたし、ちょっと寂しいかも
minamo2-3,fg,survivor05,right-left,0.5,smile
minamo2-3,talk,minamo,......いや、誰目線なんよ
minamo2-3,talk,minamo,一応、うちの方がお姉さんなんで
minamo2-3,talk,minamo,大人にもなる
minamo2-3,talk,natsuno,......そっか
minamo2-3,talk,natsuno,大人一回目か......
minamo2-3,talk,natsuno,そんな風に考えたことなかったけど
minamo2-3,talk,natsuno,確かに、そうなんだよね
minamo2-3,talk,minamo,......そ
minamo2-3,fg,survivor05,right-left,0.5,default
minamo2-3,talk,minamo,みんな必死なんよ
minamo2-3,talk,minamo,右も左もわかんくてさ
minamo2-3,talk,minamo,全部うまくやれるわけなんかない
minamo2-3,talk,minamo,でも、子供にどうしていいかわかんないなんて言えないから
minamo2-3,talk,minamo,必死で必死で......
minamo2-3,talk,minamo,なんとか、子供たちを育ててる
minamo2-3,talk,natsuno,......
minamo2-3,talk,natsuno,......ほんとに
minamo2-3,talk,natsuno,なんかミナモ、遠くにいっちゃったなぁ
minamo2-3,talk,minamo,......この世界がコンピュータの中にあるとか
minamo2-3,talk,minamo,そんな話してるナツノさんの方が、よほど遠くに行ってる感あるけど......
minamo2-3,talk,minamo,......
minamo2-3,talk,minamo,......けど
minamo2-3,talk,minamo,ちょっと、そういう大人の気持ちみたいなんがわかってきたりして
minamo2-3,talk,minamo,それはそれで、でも、悲しいっていうか
minamo2-3,talk,minamo,悔しいっていうか
minamo2-3,talk,minamo,だから、うちは息苦しかったんかなぁって思うと
minamo2-3,talk,minamo,それを受け入れちゃいそうになることもあって
minamo2-3,talk,minamo,じゃあ仕方ないよねって気も、ちょっとはして
minamo2-3,talk,minamo,それは嫌だなって思う
minamo2-3,talk,minamo,大人になるって、悔しいし、悲しいなって......思うんよね
minamo2-3,wait,2
minamo2-3,end,questSuccess
-,,,
minamo2-4,bg,scenario25
minamo2-4,fg,survivor05,right-left,0
minamo2-4,playBgm,character05
minamo2-4,talk,natsuno,ミナモは、ずっとその村にいるの？
minamo2-4,talk,minamo,さぁ......
minamo2-4,talk,minamo,どうだろうね
minamo2-4,talk,minamo,今すぐ出て行く予定はないけど
minamo2-4,talk,minamo,ずっとおるんかっていうと......そんなことない気もする
minamo2-4,talk,minamo,ま、感染者がいっぱい出てきて住めんくなることもあるだろうし
minamo2-4,talk,minamo,もしかしたら村の人たちの間で仲たがいとかもあるかもだし
minamo2-4,talk,minamo,うちの意志とは関係なく、出ていくしかないってことの方がありそうだけど......
minamo2-4,talk,minamo,とりあえず、もうしばらくはおるかな
minamo2-4,talk,natsuno,......それは、ミナモがそうしたいから？
minamo2-4,talk,minamo,んー......
minamo2-4,talk,minamo,半々かな
minamo2-4,talk,minamo,うちがそうしたいのもある
minamo2-4,talk,minamo,空気的に、出て行きづらいのもある
minamo2-4,talk,natsuno,......そっか
minamo2-4,talk,minamo,ナツノさんは？
minamo2-4,talk,minamo,これからもずっと一人旅？
minamo2-4,talk,natsuno,ずっと......かどうかは、わかんないけど
minamo2-4,talk,natsuno,いろんなところに行って、いろんなものを見て......っていうのが
minamo2-4,talk,natsuno,わたしには必要なのかなって思うし
minamo2-4,talk,natsuno,しばらくは、まぁ、そうかな
minamo2-4,talk,minamo,自分探しの旅ってやつね
minamo2-4,talk,natsuno,そう、なのかな。たぶん
minamo2-4,talk,natsuno,いつかわたしも、大人になれるようがんばります
minamo2-4,talk,minamo,......
minamo2-4,fg,survivor05,right-left,0.5,smile
minamo2-4,talk,minamo,......ナツノさん、まぁまぁうちのことばかにしてるよね
minamo2-4,fg,survivor00,right-right,0.5,smile
minamo2-4,talk,natsuno,ばかにしてるんじゃないよ
minamo2-4,talk,natsuno,ミナモのこと、いい人だなって思ってるだけ
minamo2-4,talk,minamo,......
minamo2-4,talk,minamo,......うちは、そういうナツノさんがやっぱり得意じゃない
minamo2-4,talk,natsuno,ははは
minamo2-4,talk,minamo,......
minamo2-4,fg,survivor05,right-left,0.5,default
minamo2-4,talk,minamo,......ま
minamo2-4,talk,minamo,あの村で、わかるようになってきたこともたくさんある
minamo2-4,talk,minamo,それはたぶん、一人でいるだけじゃわかんないことだから、感謝してる
minamo2-4,talk,minamo,でも、息苦しいこともあるし
minamo2-4,talk,minamo,わかりたくないって思っちゃうこともたくさんあって
minamo2-4,talk,minamo,親とか大人の気持ちがちょっとわかるようになって、納得して
minamo2-4,talk,minamo,だけど、それでうちの息苦しさが解決するわけじゃない
minamo2-4,talk,minamo,息苦しくても仕方ないよねって思いたくもない
minamo2-4,talk,minamo,それに......
minamo2-4,talk,minamo,うち自身が、今は、子供たちに同じような息苦しさを感じさせとるんかなって思うと
minamo2-4,talk,minamo,それは......すごく嫌だなって思う
minamo2-4,talk,minamo,......
minamo2-4,talk,minamo,......そういう、いろんな気持ちの
minamo2-4,talk,minamo,落としどころ......みたいなのが、いつか見つかったらいいなって
minamo2-4,talk,minamo,今は思っとる
minamo2-4,talk,minamo,だから......もうしばらくは、あの村で暮らしてみる
minamo2-4,talk,natsuno,......うん
minamo2-4,talk,minamo,......
minamo2-4,talk,minamo,ナツノさんに、この世界のこと話してもらえて
minamo2-4,talk,minamo,よかった
minamo2-4,talk,natsuno,......？
minamo2-4,talk,minamo,まだ全部信じられてはない気するけど
minamo2-4,talk,minamo,でも、なんか、すっきりした
minamo2-4,talk,minamo,そんな、世界全部のことに比べたら、うちの悩んどることなんてちっぽけで
minamo2-4,talk,minamo,しょーもない
minamo2-4,talk,minamo,でも、それでも、うちにとってはこの世界の問題と同じくらい大きなことなんよ
minamo2-4,talk,minamo,うちにとってそうなら......やっぱり大事なことなんよねって、思えた
minamo2-4,talk,minamo,だから、ありがと
minamo2-4,talk,natsuno,......うん
minamo2-4,talk,natsuno,よくわかんないけど、よかった
minamo2-4,talk,natsuno,......
minamo2-4,talk,natsuno,じゃあ、わたしは行くね
minamo2-4,talk,minamo,うん
minamo2-4,talk,natsuno,またどこかで見かけたら、声かけていい？
minamo2-4,talk,minamo,もちろん
minamo2-4,talk,natsuno,『げ』とか言わない？
minamo2-4,talk,minamo,言わん言わん
minamo2-4,talk,minamo,......たぶん
minamo2-4,fg,survivor00,right-right,0.5,zito
minamo2-4,talk,natsuno,......
minamo2-4,fg,survivor00,right-right,0.5,smile
minamo2-4,talk,natsuno,......じゃあ
minamo2-4,talk,natsuno,またね、ミナモ
minamo2-4,fg,survivor05,right-left,0.5,smile
minamo2-4,talk,minamo,うん
minamo2-4,talk,minamo,またね
minamo2-4,wait,1
minamo2-4,fgRemove,survivor05,1.5
minamo2-4,wait,3
minamo2-4,removeSurvivor,minamo
minamo2-4,end,ending,minamo2
-,,,
