id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main0-1,bg,scenario01
main0-3,talk,natsuno,すごいよ
main0-3,talk,natsuno,いつもの満員電車って、全然よゆーじゃんって思っちゃったもん
main0-3,talk,natsuno,なのに、途中で止まっちゃって
main0-3,talk,natsuno,お父さんともお母さんとも、友達ともはぐれちゃうし
main0-3,talk,natsuno,電車に乗ってた人たちも、散り散りになっちゃって
main0-3,talk,natsuno,もう、ほんと
main0-3,talk,natsuno,大変だったんだから
main0-3,talk,natsuno,......
main0-3,fg,survivor00,right-right,0.5,serious
main0-3,talk,natsuno,......や、大変なのは、今もなんだけど
main0-3,talk,natsuno,ま、でも
main0-3,talk,natsuno,東京の港に飛行機が落ちたり
main0-3,talk,natsuno,隣のマンションから人が落ちてくのが見えたり
main0-3,talk,natsuno,いきなり街から出ないといけなくなったり......
main0-3,talk,natsuno,そんなのと比べたら
main0-3,talk,natsuno,平和......なんだけどね
main0-3,talk,natsuno,......
main0-3,fg,survivor00,right-right,0.5,depress
main0-3,talk,natsuno,......本当は、東京だけじゃなくて、ほかにもいろんなところで似たようなことがあったらしいんだけど
main0-3,talk,natsuno,町ひとつ全部燃えちゃったり
main0-3,talk,natsuno,たくさん......人が死んだり
main0-3,talk,natsuno,でも、もうそのときには、スマホもほとんど繋がらなくなっちゃってたから
main0-3,talk,natsuno,どこで何があったのか、ほんとのところはわかんない
main0-3,talk,natsuno,......
main0-3,fg,survivor00,right-right,0.5,serious
main0-3,talk,natsuno,......そう
main0-3,talk,natsuno,だから......
main0-3,talk,natsuno,なんで、電波もないのに、通話できてるの？
main0-3,pauseBgm
main0-3,talk,natsuno,......
main0-3,talk,natsuno,なんで......
main0-3,talk,natsuno,どうして、何も知らないの？
main0-3,wait,2
main0-3,end,questSuccess,
-,,,
main0-4,bg,computer00,
main0-4,wait,2,
main0-4,playBgm,scenario00,
main0-4,talk,,物置の中で、古いコンピュータを見つけた──
main0-4,talk,,それが、はじまりだった。
main0-4,talk,,コンピュータが眠っていたのは、天国にいってしまった祖母が、物置にしていた部屋。
main0-4,talk,,遺してくれたものを整理しているところで、偶然目に入った。
main0-4,talk,,ずいぶん古いコンピュータだった。
main0-4,talk,,とても動くとは思えなかったくらい。
main0-4,talk,,でも、電源に繋げてみれば、わずかな時間をかけて画面がついて。
main0-4,talk,,ちょっとびっくりして、少しだけ中を覗いてみた。
main0-4,talk,,いくつか映像データみたいなのがあって。
main0-4,talk,,きっとどこか旅行に行ったときのビデオだろうと思った。
main0-4,talk,,何度か、祖母と一緒に旅行に行ったことがある。
main0-4,talk,,もうずいぶん前のことだけれど。
main0-4,talk,,それで、懐かしい気持ちになって。
main0-4,talk,,データを一つ、開いてみた。
main0-4,talk,,でも、
main0-4,talk,,聞こえてきたのは、
main0-4,talk,,蝉の騒がしい夏の音。
main0-4,talk,,知らない少女の声だった。
main0-4,wait,1,
main0-4,fadeOutTextLine
main0-4,newPage,
main0-4,fadeInTextLine
main0-4,wait,1,
main0-4,talk,,少女の声が教えてくれる。
main0-4,talk,,半年前に始まった、感染症の流行のこと。
main0-4,talk,,今までに出会ったことのない、未知のウイルスの話。
main0-4,talk,,どこで生まれ、どうやって広まったのか、どんな種類のウイルスなのか、何一つわからない。
main0-4,talk,,わかっているのは、ただ、感染すると身体が崩壊し、正気を失ってしまうということだけ。
main0-4,talk,,正気を失って、他の人々を襲うようになる。
main0-4,talk,,首から上がなくなったって動き続ける。
main0-4,talk,,感染して、意識を失った人々は、果たして生きているのか死んでいるのか──
main0-4,talk,,そんなことを話しているうちに、すべては手遅れになった。
main0-4,talk,,三か月前、高校が閉鎖された。
main0-4,talk,,二か月前、港に飛行機が墜落した。
main0-4,talk,,一か月前、住んでいた街から出ていかなければならなくなった。
main0-4,talk,,たったの半年だった。
main0-4,talk,,たった半年で。
main0-4,talk,,今まであった日常は、あっけなく終わった。
main0-4,talk,,そして彼女は──ナツノは、住んでいた東京を飛び出した。
main0-4,talk,,ナツノ。
main0-4,talk,,壊れてしまった世界で、一人で生きる高校二年生の少女。
main0-4,talk,,コンピュータを通してだけれど、彼女と確かに言葉を交わした。
main0-4,talk,,録音ではない。
main0-4,talk,,彼女は確かに、そこにいて、生きている。
main0-4,wait,1,
main0-4,fadeOutTextLine
main0-4,newPage,
main0-4,fadeInTextLine
main0-4,talk,,でも。
main0-4,talk,,当たり前だけれど。
main0-4,talk,,この世界で、そんな未曾有の感染症の流行は起こっていない。
main0-4,talk,,昨日だって、学校帰りに寄り道をする高校生たちの姿を見かけた。
main0-4,talk,,いや、高校生なら今は夏休みのはずだから、補習とか部活の帰りだったのかもしれない。
main0-4,talk,,夏休みの、暇な高校生のいたずらだろうか。
main0-4,talk,,そうかもしれない。
main0-4,pauseBgm
main0-4,talk,,でも、もし、
main0-4,talk,,そうじゃなかったとしたら。
main0-4,wait,2
main0-4,end,questSuccess
-,,,
main0-5,bg,scenario01
main0-5,fg,survivor00,right-right,0,serious
main0-5,talk,natsuno,電波が通じてないはずなのに、通話できるのも
main0-5,talk,natsuno,あなたが、なんにも知らないのも
main0-5,talk,natsuno,世の中がこんなことになってないっていうのも
main0-5,talk,natsuno,全然、わけわかんない
main0-5,talk,natsuno,嘘ついてる......
main0-5,talk,natsuno,......んじゃ、ないんだろうなぁ
main0-5,talk,natsuno,そんな嘘つく意味、わかんないし
main0-5,talk,natsuno,通話できちゃってるのは、ほんとなんだもん......
main0-5,talk,natsuno,しかもビデオ通話......
main0-5,pauseBgm
main0-5,talk,natsuno,......
main0-5,talk,natsuno,............
main0-5,fg,survivor00,right-right,0.5,smile
main0-5,talk,natsuno,......ま、いっか
main0-5,playBgm,character00
main0-5,talk,natsuno,改めて、わたしナツノ。よろしく
main0-5,talk,natsuno,......何がって
main0-5,talk,natsuno,話し相手にくらいなってよ
main0-5,talk,natsuno,もう何日も喋る相手もいなくって、退屈してたの
main0-5,talk,natsuno,いいでしょ？　喋るくらい
main0-5,talk,natsuno,ね？
main0-5,fgRemove,survivor00,1
main0-5,talk,natsuno,......
main0-5,talk,natsuno,......それにさ
main0-5,talk,natsuno,今までは、運がよくてここまで逃げてこられたけど
main0-5,talk,natsuno,わたし、今日死ぬかもしれないんだし
main0-5,talk,natsuno,死ぬとき一人って、なんか寂しいじゃん？
main0-5,wait,1
main0-5,fadeOut,1
main0-5,newPage
main0-5,fg,survivor00,right-right,0
main0-5,wait,1
main0-5,playBgm,character00
main0-5,fadeIn,1
main0-5,talk,natsuno,ちょうどね、今からそこのアパートに物色に行くの
main0-5,talk,natsuno,食べ物とか残ってそうにはないけど......
main0-5,talk,natsuno,何か使えるもの、あるかもしれないし
main0-5,talk,natsuno,......犯罪だって？
main0-5,fg,survivor00,right-right,0.5,smile
main0-5,talk,natsuno,はは。そうかもね、確かに
main0-5,fg,survivor00,right-right,0.5,default
main0-5,talk,natsuno,......あなた、本当に、なんともない世界にいるんだね
main0-5,talk,natsuno,でもこっちじゃ、そんなの気にしてらんないから
main0-5,talk,natsuno,まだ死にたくないしね
main0-5,talk,natsuno,そーだなぁ......
main0-5,pushItem,gun00
main0-5,pushItem,ammo00
main0-5,pushItem,ammo00
main0-5,pushItem,ammo00
main0-5,pushItem,heal00
main0-5,pushItem,heal00
main0-5,talk,natsuno,わたし、今、<button>ハンドガン</button>と<button>ハンドガンの弾</button>、それから<button>包帯</button>をもってるんだけど
main0-5,talk,natsuno,どうしてハンドガンが、って？
main0-5,talk,natsuno,ちょっと前に、その辺で拾ったの
main0-5,talk,natsuno,結構、落ちてるよ。こんなご時世だからね
main0-5,talk,natsuno,そんなのいちいち気にしてたら、やってらんないよ？
main0-5,talk,natsuno,ま、とにかく
main0-5,talk,natsuno,感染者とかと鉢合わせちゃうかもしれないし......そしたら、わたし、テンパっちゃったりするかもだから、
main0-5,talk,natsuno,そういうとき、声かけてくれると助かるかもって思うんだけど
main0-5,talk,natsuno,いいかな？
main0-5,talk,natsuno,いいよね
main0-5,talk,natsuno,ちょっと練習しとこっか
main0-5,talk,natsuno,<button>ハンドガン</button>って言ってみて
main0-5,label,request_input,
main0-5,waitCall,ハンドガン,input_ok,input_ng,
main0-5,label,input_ng,
main0-5,talk,natsuno,違うって
main0-5,talk,natsuno,<button>ハンドガン</button>って言ってみて
main0-5,jump,request_input,
main0-5,label,input_ok,
main0-5,equipWeapon,gun00,
main0-5,talk,natsuno,ハンドガンを装備したよ
main0-5,talk,natsuno,......うん、いい感じ
main0-5,talk,natsuno,やっぱ、一人より心強いや
main0-5,talk,natsuno,危なくなったら、<button>包帯</button>とか声かけてくれると助かるかも
main0-5,talk,natsuno,持ってても、自分じゃ焦ってて気がつかなかったりするかもだから
main0-5,talk,natsuno,お願い
main0-5,talk,natsuno,さ......じゃあ、行こっか
main0-5,wait,1,
main0-5,pauseBgm,
main0-5,fadeOut,1,
main0-5,newPage,,
main0-5,bg,location00,
main0-5,wait,1,
main0-5,playBgm,environment00,
main0-5,fadeIn,1,
main0-5,talk,natsuno,......
main0-5,talk,natsuno,......アパート、ついたよ
main0-5,talk,natsuno,中に入ってみる......
main0-5,talk,natsuno,......あ
main0-5,talk,natsuno,わたし、勝手にいろいろ調べるけど
main0-5,talk,natsuno,あなたも、何かありそうなとこ見つけたら、言ってね
main0-5,talk,natsuno,調べてみるから
main0-5,talk,natsuno,......さて
main0-5,end,questStart
-,,,
main0-6,bg,location00
main0-6,playBgm,environment00
main0-6,talk,natsuno,......ここはこんなもんかなぁ
main0-6,talk,natsuno,やっぱり、あんまり物は残ってないなぁ
main0-6,talk,natsuno,......まぁでも
main0-6,talk,natsuno,こうしてないと、明日食べるものにも困っちゃうから
main0-6,talk,natsuno,地道に家捜しするしかないんだよね
main0-6,talk,natsuno,はーあ
main0-6,talk,natsuno,こんなの......全然、想像してなかったな
main0-6,talk,natsuno,あなたと話してると......なんだか、半年前までの暮らしのこと、思い出しちゃう
main0-6,fg,survivor00,right-right,0.5,serious
main0-6,talk,natsuno,みんな......どこかで元気にしてるかな
main0-6,wait,1
main0-6,fadeOut,1
main0-6,newPage
main0-6,bg,scenario01,
main0-6,wait,1
main0-6,fg,survivor00,right-right,0,default
main0-6,fadeIn,1
main0-6,talk,natsuno,......あれ
main0-6,talk,natsuno,こんなところに......
main0-6,fg,survivor00,right-right,0.5,smile
main0-6,talk,natsuno,へぇ。かわいい
main0-6,talk,natsuno,......
main0-6,talk,natsuno,これ......キー刺さったままじゃん
main0-6,talk,natsuno,ガソリンも入ってる......？
main0-6,talk,natsuno,......使えるかも！
main0-6,wait,1,
main0-6,pauseBgm,
main0-6,fadeOut,1,
main0-6,newPage,,
main0-6,bg,scenario00,
main0-6,wait,1,
main0-6,fadeIn,1,
main0-6,playBgm,character00,
main0-6,wait,1,
main0-6,talk,natsuno,ねぇ、見て見て
main0-6,talk,natsuno,バスみたいな車見つけたよ
main0-6,talk,natsuno,かわいくない？
main0-6,talk,natsuno,しばらくは、これに乗って北を目指そっかな
main0-6,talk,natsuno,......運転免許？
main0-6,talk,natsuno,そんなの持ってないけど......ま、ノリでいけるでしょ！
main0-6,talk,natsuno,アクセル踏んだら進むんだよね？
main0-6,talk,natsuno,だいじょーぶだって
main0-6,talk,natsuno,ね
main0-6,talk,natsuno,あなたも
main0-6,talk,natsuno,一緒に、来てくれるでしょ？
main0-6,wait,2,
main0-6,fadeOut,1,
main0-6,end,ending,main0
