id,stage,text<jpn>
scene_garden_a02,garden,雨が少ないせいだろうか、花がしおれてしまっている。
scene_garden_b00,garden,コンクリートブロックで囲まれた庭だった。
scene_garden_b01,garden,高い塀で囲まれて、玉砂利が敷かれている。
scene_garden_b02,garden,砂利が敷き詰められていた。
-,,
scene_tent_a00,tent,獣でも入り込んだのだろう、中はずいぶん荒らされている。
scene_tent_a01,tent,天井の柱から、小さな明かりが吊り下げられている。
scene_tent_a02,tent,風のせいだろう、支柱が傾いてしまっている。
scene_tent_b00,tent,寝袋や、空になった缶詰が残ったままだった。
-,,
scene_grassland_a00,grassland,土を掘り返したり、たき火をした跡が残っている。
scene_grassland_a01,grassland,ところどころで白い小さな花が咲いている。
scene_grassland_a02,grassland,遠くに白のトレーラーハウスが停まっている。
scene_grassland_b00,grassland,辺り一面、緑だった。
scene_grassland_b01,grassland,穏やかな景色が広がっている。
scene_grassland_b02,grassland,ずいぶん背の高くなった芝生が一面に広がっていた。
-,,
scene_riverside_a00,riverside,透明な水の中を魚が泳いでいるのが見える。
scene_riverside_a01,riverside,角の取れた石が底に転がっているのが見えた。
scene_riverside_a02,riverside,水源はずっと山の上の方だろう。
scene_riverside_b00,riverside,穏やかな流れが涼しげだった。
scene_riverside_b01,riverside,澄んだ水と穏やかな空気が流れている。
scene_riverside_b02,riverside,野鳥の声が聞こえた。
-,,
scene_beach_a00,beach,誰かの置いていったゴミや漂着物がぽつぽつ見つかる。
scene_beach_a01,beach,見渡す限り真っ白だった。
scene_beach_a02,beach,浜は、弧を描くようにして広がっている。
scene_beach_b00,beach,波は穏やかだった。
scene_beach_b01,beach,波が大きな音を立てて、風が強い。
scene_beach_b02,beach,打ち寄せる波が激しい。
-,,
scene_shore_a00,shore,少し前まで誰かがいたのだろうか、荷物が潮水に濡れている。
scene_shore_a01,shore,気をつけないと、靴が濡れてしまう。
scene_shore_a02,shore,濃い色の海藻が流されてきているのが見える。
scene_shore_b00,shore,波打ち際で跳ねる水しぶきが力強かった。
scene_shore_b01,shore,潮風と一緒に穏やかな時間が流れている。
-,,
scene_library_a00,library,ぎっしり詰まった本棚がどこまでも続いている。
scene_library_a01,library,窓から差す光を背表紙が全部吸い取ってしまって薄暗い。
scene_library_a02,library,書架はところどころ歯抜けになっている。
scene_library_b00,library,通路が狭い。
scene_library_b01,library,大きな本がずらっと並んでいた。
-,,
scene_machineRoom_a00,machineRoom,何に使うのかわからない機械がずらっと並んでいる。
scene_machineRoom_a01,machineRoom,緑色のマットに油のシミが滲んでいる。
scene_machineRoom_a02,machineRoom,真っ黒なゴムの切れ端がドラム缶に詰め込まれている。
scene_machineRoom_b00,machineRoom,静まり返っていて気味が悪い。
scene_machineRoom_b01,machineRoom,広い空間に足音が響き渡る。
-,,
scene_carryIn_a00,carryIn,シャッターが開いたまま、がらんとしている。
scene_carryIn_a01,carryIn,運び込まれたものがそのまま放置されている。
scene_carryIn_a02,carryIn,奥の倉庫には真っ暗闇が広がっているばかり。
scene_carryIn_b00,carryIn,荷物が積み上げられていた。
scene_carryIn_b02,carryIn,車一台が停まれる広さしかない。
-,,
scene_parking_a00,parking,乗り捨てられた車が乱雑に停まっている。
scene_parking_a01,parking,主を失った車が静かにたたずむ。
scene_parking_a02,parking,ほとんど自動車は残っていない。
scene_parking_b00,parking,アスファルトが焦げつくほどに暑い。
scene_parking_b02,parking,出口に精算機があった。
-,,
scene_gallery_a00,gallery,古い遺跡からの出土品が並べられていた。
scene_gallery_a01,gallery,恐竜や太古の生き物の化石が吊るされている。
scene_gallery_a02,gallery,古い書物がガラスの向こうに並んでいる。
scene_gallery_b00,gallery,暗闇の中にたたずむ展示物が不気味だった。
scene_gallery_b01,gallery,広くて奥まで光が届かない。
scene_gallery_b02,gallery,あまりの静けさに足が震える。
-,,
scene_attractions_a00,attractions,メンテナンスされなくなったせいか、ところどころガタついて見える。
scene_attractions_a01,attractions,風に揺られて、きぃきぃと音を立てていた。
scene_attractions_a02,attractions,何があったのか、脱ぎ捨てられた着ぐるみが土を被っている。
scene_attractions_b00,attractions,錆びついて動きそうもない。
scene_attractions_b02,attractions,もう二度と動き出すこともないだろう。
-,,
scene_hospitalRoom00,hospitalRoom,白くて広々としている。
scene_hospitalRoom01,hospitalRoom,本当はそんなに広くないはずだけれど、殺風景な部屋は嫌に広々としている。
scene_hospitalRoom02,hospitalRoom,白いシーツが畳まれていた。その几帳面さに胸が痛くなる。
scene_hospitalRoom03,hospitalRoom,壁の白さが眩しい。窓からの日差しはわずかでも、白い部屋は暗がりから立ち上がる。
-,,
scene_classroom00,classroom,放課後の教室だって、こんなに静かではなかった。
scene_classroom01,classroom,机も椅子も整頓されている。<br>明日の朝になれば、また子供たちがやってくるかも、と思ってしまう。
scene_classroom02,classroom,クリーム色のカーテンが風になびいている。
scene_classroom03,classroom,どうしてだろう、学校の教室というのは、独特の仄暗さがある。
-,,
scene_underpass00,underpass,明かりのない道がどこまでも続いている。
scene_underpass01,underpass,強い風が吹き抜けていく。<br>どこからきて、どこへいくのだろう。
scene_underpass02,underpass,足音がずっと遠くまで響いていく。
scene_underpass03,underpass,見てわかるくらいの湿気だった。
-,,
scene_dining00,dining,テーブルにも埃が積もっていた。
scene_dining01,dining,窓から差す光を、磨かれたグラスが鋭く返す。
scene_dining02,dining,これから一日が始まるのだと思うくらい、手入れが行き届いていた。
scene_dining03,dining,テーブルの上に、食べかけの料理がほんの少しだけ残っていた。
-,,
scene_marble00,marble,いったい何が起きているのだろう。<br>ノイズのような、そうではないような、奇妙な音が聞こえてくる。
scene_marble01,marble,意味のない音の連なりが、急に、よく知った音色に聞こえたりする。
scene_marble02,marble,足音だけが響いているような気がする。<br>でも、ということは、響くだけの広がりがあるのだろうか。
scene_marble03,marble,匂いなんて何も感じないだろう。<br>何もない、まったくの無臭というのは、どんな感じなのだろうか。
-,,
